Segmented Element,POS,Dependecies
第二十三,NUM,nummod
章,NUM,mark:clf
半導,NOUN,compound:nn
體製,NOUN,compound:nn
造概,NOUN,compound:nn
論,PUNCT,nmod:topic
"
 
",SPACE,punct
第二十三,NUM,nummod
章,NUM,mark:clf
半導,NOUN,compound:nn
體製,NOUN,compound:nn
造概,NOUN,compound:nn
論,PUNCT,punct
"
 
",SPACE,punct
近幾,ADV,advmod
年來,PUNCT,punct
，,PUNCT,punct
隨著,ADP,case
電子,NOUN,compound:nn
科技,NOUN,conj
、,PUNCT,punct
網路,NOUN,compound:nn
等,PART,etc
相關,ADJ,amod
技術,NOUN,nmod:assmod
的,PART,case
進步,NOUN,dep
，,PUNCT,punct
以及,CCONJ,cc
全球,NOUN,compound:nn
電子,NOUN,compound:nn
市場,NOUN,compound:nn
消費,NOUN,compound:nn
水準,NOUN,nmod:assmod
的,PART,case
提昇,NOUN,nmod:prep
，,PUNCT,punct
個人,NOUN,compound:nn
電腦,NOUN,conj
、,PUNCT,punct
多媒體,NOUN,conj
、,PUNCT,punct
工作站,NOUN,conj
、,PUNCT,punct
網路,NOUN,conj
、,PUNCT,punct
通信,NOUN,compound:nn
相關,ADJ,amod
設備,NOUN,compound:nn
等,PART,etc
電子,NOUN,compound:nn
產品,NOUN,nmod:assmod
的,PART,case
需求,NOUN,nsubj
量,PUNCT,punct
激增,VERB,ROOT
，,PUNCT,punct
帶動,VERB,conj
整個,DET,det
世界,NOUN,compound:nn
半導體,NOUN,compound:nn
產業,NOUN,nmod:assmod
的,PART,case
蓬勃,ADJ,amod
發展,NOUN,dobj
，,PUNCT,punct
而,ADV,advmod
在,ADP,case
台灣,PROPN,nmod:prep
，,PUNCT,punct
半導體,NOUN,compound:nn
業更,NOUN,nsubj
儼然,ADV,advmod
成為,VERB,conj
維繫,VERB,dep
國家,NOUN,compound:nn
經濟,NOUN,compound:nn
動脈,NOUN,dobj
的,PART,mark
一,NUM,dep
個,NUM,dep
主力,NOUN,dobj
。,PUNCT,punct
基本上,ADV,advmod
半導,NOUN,compound:nn
體製,NOUN,nsubj
造為,VERB,cop
一,NUM,dep
垂,ADJ,amod
直分,NOUN,amod
工細,VERB,nsubj
密且,VERB,dep
高,ADJ,amod
附加,ADJ,amod
價值,NOUN,dep
的,PART,mark
產業,NOUN,ROOT
，,PUNCT,punct
其,PRON,compound:nn
快速,VERB,amod
的,PART,mark
成長,NOUN,nsubj
也,ADV,advmod
會,VERB,aux:modal
帶動,VERB,conj
其他,DET,det
週邊,NOUN,compound:nn
產業,NOUN,nmod:assmod
的,PART,case
繁榮,NOUN,dobj
，,PUNCT,punct
下圖,NOUN,nsubj
所,PART,aux:prtmod
示為,VERB,conj
一,NUM,dep
典型,VERB,amod
的,PART,mark
半導,NOUN,compound:nn
體產,NOUN,compound:nn
業體,NOUN,compound:nn
系,NOUN,compound:nn
架構,NOUN,dobj
。,PUNCT,ROOT
" 
 
 
",SPACE,punct
在,ADP,case
這個,DET,det
體系,NOUN,nmod:prep
中,PART,case
，,PUNCT,punct
半導體,NOUN,compound:nn
製造,NOUN,nsubj
，,PUNCT,punct
也,ADV,advmod
就是,ADV,dep
一般,ADV,advmod
所,PART,aux:prtmod
稱,VERB,acl
的,PART,mark
晶圓,NOUN,compound:nn
加工,NOUN,parataxis:prnmod
（,PUNCT,punct
Wafer,NOUN,parataxis:prnmod
fabrication,NOUN,ROOT
）,PUNCT,punct
，,PUNCT,punct
是,VERB,cop
資,NOUN,conj
金與,CCONJ,cc
技術,NOUN,nsubj
最,ADV,advmod
為,ADV,advmod
密集,VERB,amod
之,PART,mark
處,NOUN,conj
，,PUNCT,punct
伴隨,VERB,acl
著晶,NOUN,aux:asp
圓,NOUN,compound:nn
加工,NOUN,dobj
的,PART,mark
上游,NOUN,compound:nn
產,NOUN,nsubj
業則,NOUN,advmod
包括,VERB,conj
產品,NOUN,compound:nn
設計,NOUN,conj
（,PUNCT,punct
IC,PUNCT,punct
design,NOUN,parataxis:prnmod
）,PUNCT,punct
、,PUNCT,punct
晶圓,NOUN,compound:nn
製造,NOUN,dep
（,PUNCT,punct
Wafer,PUNCT,punct
manufacture,NOUN,parataxis:prnmod
）,PUNCT,punct
、,PUNCT,punct
以及,CCONJ,cc
光罩,NOUN,compound:nn
（,PUNCT,punct
Photo,PUNCT,punct
mask,NOUN,parataxis:prnmod
）,PUNCT,punct
製造,NOUN,dobj
等,PART,etc
，,PUNCT,punct
下游,NOUN,compound:nn
產業,NOUN,nsubj
則更,ADV,advmod
為龐,VERB,dep
大,VERB,conj
，,PUNCT,punct
其中,NOUN,nsubj
包括,VERB,conj
一般,ADV,amod
所,PART,aux:prtmod
稱半,VERB,compound:nn
導體,NOUN,compound:nn
後段,NOUN,compound:nn
製程,NOUN,compound:nn
（,PUNCT,punct
Back,PUNCT,parataxis:prnmod
-,ADJ,amod
end,NOUN,compound:nn
processes,NOUN,parataxis:prnmod
）,PUNCT,punct
的,PART,case
IC,PUNCT,compound:nn
封裝,NOUN,dep
（,PUNCT,punct
Packaging,PUNCT,parataxis:prnmod
）,PUNCT,punct
、,PUNCT,punct
測試,NOUN,conj
（,PUNCT,punct
Testing,PUNCT,parataxis:prnmod
）,PUNCT,punct
、,PUNCT,punct
包裝,NOUN,dep
（,PUNCT,punct
Assembly,PUNCT,parataxis:prnmod
