Entity,Count,Ratio
溶劑,37,0.67%
等,32,0.58%
2,29,0.52%
製程,29,0.52%
3,22,0.4%
其,20,0.36%
萃取,20,0.36%
晶圓,20,0.36%
方式,19,0.34%
處理,18,0.32%
月,18,0.32%
回收,18,0.32%
削油,17,0.31%
清洗,16,0.29%
晶片,16,0.29%
切削油,16,0.29%
-,15,0.27%
表面,15,0.27%
系統,14,0.25%
可,14,0.25%
中,14,0.25%
離子,14,0.25%
或,14,0.25%
有,13,0.23%
一,13,0.23%
1,13,0.23%
原料,13,0.23%
氣體,13,0.23%
設備,13,0.23%
用途,12,0.22%
混酸,12,0.22%
水泥,12,0.22%
成本,11,0.2%
為,11,0.2%
後,11,0.2%
醋酸,11,0.2%
污泥,11,0.2%
.,11,0.2%
溫度,11,0.2%
工廠,11,0.2%
蝕刻,11,0.2%
廢棄物,11,0.2%
利用,11,0.2%
技術,11,0.2%
比,11,0.2%
磷酸,11,0.2%
反應,10,0.18%
時間,10,0.18%
產生,10,0.18%
分離,10,0.18%
機,10,0.18%
操作,10,0.18%
產品,10,0.18%
資料,9,0.16%
濃度,9,0.16%
8,9,0.16%
使用,9,0.16%
結果,9,0.16%
問題,9,0.16%
成分,9,0.16%
高,8,0.14%
矽晶圓,8,0.14%
公司,8,0.14%
資源,8,0.14%
優點,8,0.14%
方法,8,0.14%
和,8,0.14%
磨料,8,0.14%
溶液,8,0.14%
主要,8,0.14%
雜質,8,0.14%
廢溶劑,8,0.14%
硫酸,8,0.14%
時,8,0.14%
所示,7,0.13%
能,7,0.13%
91,7,0.13%
廢酸,7,0.13%
污染,7,0.13%
能源,7,0.13%
來源,7,0.13%
機相,7,0.13%
產業發展雙月刊,7,0.13%
矽晶,7,0.13%
矽晶圓片,7,0.13%
回收系統,7,0.13%
晶片表面,7,0.13%
酸,7,0.13%
研磨,7,0.13%
圓片,7,0.13%
流程,7,0.13%
6,7,0.13%
圖,7,0.13%
5.3,7,0.13%
劑,7,0.13%
晶圓製造後段製程之環境特性分析,7,0.13%
而,7,0.13%
燃料,7,0.13%
