Entity,EntityIndex,Relation,RelationIndex
"['製造業資源', '應用技術手冊', '：經濟部工業局出版', '96 年8 月      編著    序   半 ', '體 製 造', 'IC設', '', '晶 圓 ', ' 造、IC 封 裝', '測', ' 等 階 段']","[1, 5, 12, 18, 22, 25, 27, 30, 37, 39, 43]","['化', ' 計', '製', 'IC']","[2, 26, 31, 38]"
"['動', '棄 物', ' 源 化是', '向', '際 ', ' 永 續 經', '', '一 ']","[0, 3, 7, 9, 11, 15, 17, 23]","['廢 ', ' 資', ' 邁 ', '', ' 營', '施 ']","[1, 4, 8, 13, 16, 21]"
"[' 晶 圓製 造 ', '各類廢 棄', '資 源', '實 際 執 ', '情 形 彙整 成']","[6, 11, 13, 18, 24]","['將', '業 ', ' 物', ' 化', '行 ']","[1, 7, 12, 14, 19]"
"['謝 朝 陽 科 技 大 學 環 境 工 程 與 管 理系 王 文 裕 助', ' 教 授、 晶 ', '科 技 公 司 蔡 永 興 副 ', '經 理 、 合 ', '科 技 股 份 有 限公 司 章 長 原 經 理 及 工 業 技 術 研 究 院廖 錦 聰 ', '資 料 蒐', ' 編 ', '台 灣 ', '學 ', '境 ', '程 ', '究 所', ' 勤 益 科 技 大 學化工 系 郭 貹 隆 教 授', '', '新科 ', '大學 工 ', '翁 文', '院 長 ', '審 訂']","[13, 18, 25, 30, 43, 50, 53, 55, 57, 59, 61, 63, 72, 74, 77, 81, 84, 87, 91]","[' 參 ', '撰', '大 ', '工 ', '技 ', '等']","[46, 54, 56, 60, 78, 88]"
"['  謹 識   ', '年8 月I  目 錄    頁碼第一章 前言', '1', ' 緣起 ...........................................................................................................1', '技術', '內容說明...................................................................................2第二', '.....................................................................................................32.1產業發展沿革...........................................................................................3', '製程', '6第三章', '特性與清理', '.........................................................................133.1廢棄物來源及特性..................................................................................13', '產生量及清理現況.....................................................................18第四', '清潔', '...................................................................................................224.1環境化設計', '...............................224.2', '管理..................................................................................................32第五章廢棄物資源化技術', '46', '廢矽晶圓資源化技術..............................................................................46', '廢酸', '化技術............................................', '5.3廢溶劑資源化技術', '55', '無機污', '資源', '.....................................725.5', '削油資源', '78II第六章廢棄物資源化案例................................................................................84', '廢酸資源化技術案例..............................................................................846.2', '資源化', '.........................................................................966.3廢切削油資源化', '例....................................................................', '第七章技術評估與設備選用', '..........................................................', '1057.1', '技術評估流程............................................................................1057.2資源化', '選用程序', '1077.3資源化成本分析....................................................................................114  參考', '................................................................................................................', '  圖 目 錄    圖2.1-12005~2021年', '晶圓材料', '發展', '................................................5圖', '-1西門子式多晶矽', '..................................................................7   圖2.2-2單晶矽', '流程.......................................................................................8', '3.1-1典型矽晶圓製造流程', '污染源產生圖', '圖3.1-2廢矽晶頭尾', '15圖', '-3廢矽晶', '底料.......................................................................................16   圖3.1-', '矽', '破片.............................................................................................', '4.1-1矽晶圓片的主要', '流程及晶圓片類', '.............................................3圖4.1-2矽', '拋', '製造', '.....................................................................24圖4.1-3環境', '分析之作業', '.....................................................................25', '4.2', ' 全流', '清洗程序', '38圖4.2-2十二吋拋光片清洗流程.........................................................................38', '-', '滿足線寬小於', 'μm', '超純水系統的', '.................', '圖5.1', '1矽晶圓製成太陽能電池流程', '48', '5.2-1', '製造流程...............................................................................', '   圖', '-1布雷登有機', '回收流程.....................................................................57', '5.3-2溶劑', '法', '...................................................................', '57圖5.3', '3活性碳吸附再生', '.............................................................................', '-', '催化燃燒', '流程...................................................................................58   圖5.3', '5', '混合廢溶劑蒸餾', '流程.............................................................61圖', '6', '簡單', '回收', '.....................................................................2  圖5.3-7萃取精餾', '簡圖.................................................................................63IV', '5.3-', '滲透', '分離', '...............................................................................64', '5.3-9', '原理示意圖.....................................................................................', '圖', '-10', '噴注式', '示意圖....................................................................68', '5.3-11旋轉窯焚化爐示意', '.............................................................................69圖5.4-1無機性', '泥替代水泥原料再利用', '................................................74   圖', '2機性污泥再利用於', '陶瓷時之柵板流程.....................................74', '5.4-3無機性污泥替代磚塊', '再利用流程', '76圖5.4', '4', '污泥替代人工', '原料再利用', '....................................', '5.4', '5中鋼公司', '利用氟化', '前', '處理', '.....................................', '圖5.5-', '廢切削油', '分離之', '81圖5.5-2遠心分離機', '原理............................................................................82', '-', '廢切削油多重離心回收系統', '.........................................................83', '6.1-1矽晶', '廢混', '溶劑', '流程', '...................90圖6.1', '2廢混酸以2-乙基己醇為', '等溫萃取線及醋酸的麥泰 ', '液：2mol/L醋酸']","[3, 12, 14, 19, 21, 27, 39, 41, 45, 49, 60, 71, 73, 80, 84, 94, 97, 105, 107, 111, 118, 120, 122, 124, 130, 133, 146, 155, 158, 169, 172, 179, 181, 184, 194, 197, 207, 210, 221, 224, 226, 230, 238, 248, 252, 261, 265, 273, 277, 281, 290, 292, 295, 304, 309, 317, 319, 322, 330, 334, 337, 339, 342, 347, 360, 363, 367, 370, 378, 380, 383, 390, 392, 396, 401, 403, 408, 413, 418, 420, 422, 426, 432, 434, 438, 441, 448, 450, 454, 460, 463, 465, 467, 475, 480, 483, 485, 487, 491, 495, 500, 502, 505, 507, 513, 521, 529, 537, 541, 549, 557, 565, 569, 573, 575, 579, 583, 585, 589, 592, 595, 598, 600, 602, 606, 610, 615, 624, 629, 632, 640, 643, 648, 652, 655, 658, 664, 672, 680, 686]","['廢棄物', '5.2', '..................................................................................', '5.4', '廢切', '廢溶劑', '技術案', '程序', '.........', '設備', '文獻', '矽', '生產', '其', '料', '3.1', '晶圓', '製造', '晶圓', '光片', '特性', '', '圖', '型', '50', '吸收', '流程', '-', '蒸餾', '圖', '8', '爐', '5.4', '燒製', '', '.................................................', '流程', '加工', '過', '圖', '5.5', '圖', '平衡']","[46, 106, 119, 121, 131, 156, 170, 180, 182, 195, 208, 222, 249, 262, 274, 278, 293, 305, 318, 320, 331, 333, 361, 373, 402, 419, 433, 462, 466, 481, 484, 509, 542, 550, 553, 570, 584, 599, 611, 630, 631, 644, 660]"
"['磷酸三丁酯', '圖法', '94圖6.2-', 'D 廠廢溶劑資源化處理', '96   圖', '-', 'D 廠', '丙醇資源化處理流程.............................................................', '6.2-', 'E 廠', '資源化處理', '..................................................................99圖6.3-1', '切割', '圖...........................................................................102圖6.3-', ' 線切割機', '回收', '..........', '104圖6.3-3遠心分離機', '...............................................................................104圖7.1-', '資源', '規劃評估實驗流程..........................................................106', '7.2-1', '化設備', '流程...........................................................................109            VI 表 目 錄   ', '3.2-1', '圓片製造業廢棄物產出情形', '現況....................................18 表3.2-', '收受矽晶圓片製造業', '機構名單.................................................', ' 表', '-1單位', '晶圓拋光片', '消耗之原物料數量...........................................', '27', '4.1-', '矽晶圓拋片之污染負荷', '28 表', '-3 矽晶圓製造', '環境特性分析結果彙整表', '30 表', '4', '晶圓', '生命週期分析', '廠內數據之比較.........', ' 表4.2', '1', '酸蝕刻製程與鹼蝕刻製程的比較.....................................', ' 表4.2-', 'SEMI標準的超高純度化學', '', '指標......................................43 表4.2-', '各種常用', '氣體的顏色標識............................................................44', '5.3-1常見', '溶劑.....................................................................................56 表', '-2氣態廢溶劑回收技術之優缺點比較....................................................59', '-3可由滲透蒸發', '分離或純化之產物.................................................', ' 表5.3-4水泥窯', '廢溶劑作為輔助燃料認定原則', '........................................70 表5.3', '5半導體製造業及光電', '元件製造業之混合廢溶劑再', '規定71 表6', '-1', '蝕刻之廢混酸組成.........................................................................89   表', '-1 異丙醇', '規格.................................................................................98', '第一章前言1.1緣起', '年來']","[2, 4, 10, 17, 21, 23, 26, 34, 38, 41, 45, 52, 54, 63, 67, 69, 71, 80, 86, 88, 97, 101, 104, 112, 116, 123, 131, 135, 139, 141, 145, 149, 156, 158, 161, 169, 172, 178, 185, 188, 191, 193, 199, 208, 211, 213, 225, 229, 235, 237, 244, 248, 256, 262, 268, 280, 288, 295, 302, 309, 314, 320, 328, 333, 336, 344, 349, 353, 361, 364]","['作', '分析', '流程', '.................................................................', '97', '圖', '晶圓', '切削劑', '1', '資源', '矽晶', '廢棄物', '.', '4.1', '-', ' 矽', '工廠', '晶圓片', '2', '試劑', '瓶裝', '67', '工業']","[3, 5, 18, 19, 35, 36, 53, 68, 87, 102, 117, 136, 157, 173, 190, 192, 195, 214, 230, 236, 249, 296, 350]"
"['國家', ' 濟發展及國民生活水準', '改善']","[0, 7, 15]","['提昇', '帶', '來', '忽視']","[8, 9, 10, 13]"
"['矽晶圓材料', '8吋與12 ', '矽晶圓長晶、切割', '作業']","[3, 8, 14, 20]","['進口', '進行', '至', '等']","[0, 4, 16, 18]"
"['國內業者具有', '', '', '', '優勢']","[2, 5, 8, 11, 14]","['高', '精度', '品質', '效率', '成本']","[3, 4, 7, 10, 13]"
"['矽晶圓', ' 造業者', '環境', '投資']","[0, 3, 5, 8]","['製', '保護', '高']","[1, 6, 10]"
"['', '許多', '處']","[2, 5, 10]","['諱言', '有', '臻', '完善']","[1, 4, 7, 8]"
[],[],"['回收', '處置']","[0, 3]"
"['矽晶 圓製造業', '廢棄物資源', '技術手冊', '工作']","[2, 5, 9, 11]","['進行', '化', '編寫']","[3, 6, 10]"
"['業界', '廢棄物資源', '技術之認知']","[2, 5, 10]","['提昇', ' 化', '專業']","[1, 6, 7]"
"['矽晶圓製造業', '廢棄物資源化', '手冊編撰']","[2, 6, 9]","['進行', '技術', '工作']","[3, 7, 10]"
"['矽晶圓', '業者', '生產與廢棄 物資源', '技術之認知']","[3, 5, 12, 17]","['提升', '製造', '清潔', '化', '專業']","[1, 4, 7, 13, 14]"
"['廢棄物', '意願']","[1, 5]","['提高', '回收', '利用']","[0, 2, 4]"
"['資源', '技術']","[3, 5]","['推廣', '化']","[2, 4]"
"['第五章：針對適用', '國內外較成熟', '', '化技術', '探 ', '說明']","[4, 12, 17, 20, 22, 24]","['該', '較', '', '資源', '進行', '討']","[6, 14, 17, 18, 21, 23]"
"['章', '資源', '技術評估流程', '資源', '設備之選用程序及成本分析之要項']","[0, 3, 8, 10, 20]","['提供', '化', '購置', '化']","[2, 4, 9, 11]"
"['業者', '資源', '技術與設備之參考']","[0, 2, 8]","['選用', '化']","[1, 3]"
"['地殼表面', '', '', '', '二氧', ' 矽礦石']","[1, 3, 5, 7, 10, 13]","['取', '不盡', '用', '不竭', '化']","[2, 4, 6, 8, 11]"
"['純度', '晶矽']","[3, 5]","['製成', '高', '多']","[0, 1, 4]"
"['製造廠', '此', '晶矽']","[0, 4, 6]","['多', '加', '熱', '融解']","[5, 7, 8, 9]"
"['其', '地']","[0, 2]","['緩慢', '拉出', '成形']","[1, 3, 4]"
"['晶矽', '直徑', '小的單晶矽晶棒']","[1, 5, 10]","['多', '拉成', '不同', '大', '']","[0, 3, 4, 6, 8]"
"['矽晶、大同矽晶及漢磊', '公司', '矽晶圓材料']","[8, 10, 14]","['有', '從事', '製造']","[1, 11, 15]"
"['矽晶圓', '後段製程']","[3, 7]","['從事', '製造']","[1, 4]"
"['12吋矽晶圓片廠則有', '', '建廠', '階段']","[6, 8, 12, 14]","['生產', '', '完成']","[0, 8, 13]"
"['晶圓', '面積', '67.99億平方英吋']","[0, 3, 8]","['出貨', '達']","[2, 4]"
"['磊晶、', '處理', '冷']","[4, 7, 9]","['包括', '拋光', '熱', '緩慢', '卻', '等']","[0, 1, 5, 8, 10, 11]"
"['晶圓', '技術', '研發階段']","[1, 4, 8]",['拋光'],[3]
['晶矽的原料'],[5],"['製造', '多']","[1, 2]"
"['純度多', '過程先', '', '加']","[3, 6, 9, 11]","['製造', '高', '晶矽', '熱', '還']","[0, 1, 4, 12, 13]"
"['若', '冶金級', '晶塊置於', '化床']","[0, 3, 6, 8]","['多', '流體']","[4, 7]"
"['目前', '', '晶矽', '製程']","[1, 5, 7, 9]","['廣泛', '使用', '多', '純化']","[3, 4, 6, 8]"
"['晶體中', '差排效應']","[4, 7]","['有', '造成', '出現']","[0, 2, 5]"
"['高零差排 產能', '缺陷的矽晶棒']","[4, 9]","['產生', '低', '生長']","[0, 5, 6]"
['尺寸的矽晶棒'],[4],"['生產', '大']","[0, 1]"
"['矽晶', '生產低功率的積 體電路元件']","[2, 10]","['生產', '用於']","[0, 4]"
"['CZ 法較', '單晶矽晶棒']","[2, 9]","['用於', '生產', '大', '尺寸']","[4, 5, 6, 7]"
"['晶矽原料', '摻雜物置入', '坩堝內']","[6, 9, 12]","['多', '其', '石英']","[3, 7, 10]"
"['3', '堝內融熔液體的溫度穩定']","[1, 11]","['成長', '後']","[2, 12]"
"['晶種', '差排', ' 象']","[1, 3, 5]","['使', '產生', '現']","[0, 2, 4]"
"['時', '晶種', ' 速', '上']","[1, 4, 6, 8]","['成長', '快', '提升']","[0, 5, 9]"
"['晶棒拉離液面', '晶矽體', '情況']","[3, 8, 10]","['造成', '轉成', '多', '失敗']","[0, 5, 6, 9]"
"['加工', '經', '法長成單晶', '後']","[1, 4, 8, 10]","['   多', '矽晶棒']","[2, 9]"
['晶 棒'],[4],"['進行', '黏著']","[2, 5]"
"['晶圓', '製程中', '污染微粒後']","[1, 4, 8]","['讓', '釋出']","[0, 5]"
"['晶圓', '研磨盤間']","[0, 4]",['盛裝'],[1]
"['酸性反應', '反應']","[1, 4]","['為', '放熱']","[2, 3]"
"['此方式特點', '成本', '毒氣', '問題']","[2, 4, 9, 11]","['為', '低', '無', '排放']","[3, 6, 8, 10]"
"['上', '晶圓', '650℃~800℃間爐管中']","[0, 2, 11]",['置於'],[3]
"['晶圓中晶格之缺陷', '消除', '缺陷']","[6, 10, 12]","['利用', '來', '控制', '其他']","[1, 7, 8, 11]"
"['方法', '機械應力控制上及其', '上', '處理']","[0, 7, 10, 13]","['清洗', '仔細', ' 當']","[9, 12, 15]"
"['碎片之機會', '目的在於', '製程所', '微缺陷']","[7, 11, 15, 19]","['減低', '碰撞', '產生', '改善', '前', '']","[0, 2, 4, 12, 13, 17]"
"['過後', '目視檢查是否', '或']","[1, 6, 9]","['清洗', '做', '缺口']","[0, 3, 8]"
['晶圓表面'],[2],"['進行', '拋光']","[0, 3]"
"['時', '晶圓', '蠟', '或', '夾持', '固定於']","[1, 4, 6, 8, 10, 12]","['拋光', '鑲理', '方式', '拋光盤']","[0, 7, 11, 13]"
"['SiO2的懸浮矽酸膠', '等拋光劑加於', '中', '拋光']","[7, 11, 13, 15]",['具'],[1]
"['晶圓與各種', '機物及各種粒子接觸']","[3, 10]","['有', '導致', '污染']","[4, 11, 12]"
"['通常', '方法之濕式', '方法']","[0, 5, 14]","['為', '最', '且', '成本']","[7, 8, 10, 12]"
"['矽晶圓', '流程', '今']","[2, 4, 6]","['製造', '無', '大', '變化']","[3, 8, 10, 11]"
"['矽晶圓', '程中可能', '廢棄物之種類予以']","[3, 8, 15]","['係', '製造', '']","[0, 4, 10]"
"['人員', '廢棄物', '資源', '參考']","[2, 4, 7, 12]","['供', '相關', '從事', '清理', '利用', '工作']","[0, 1, 3, 5, 9, 10]"
"['其', '電壓下', '單晶矽晶棒矽晶棒', '切片、圓', '研磨、蝕刻、熱', '去疵', '作業']","[0, 5, 11, 15, 22, 25, 27]","['成為', '導電', '']","[1, 7, 24]"
"['廢矽晶頭尾料、廢石英坩堝', '矽晶堝底料、 矽晶圓破損片', '浦潤滑油、廢切削油及無機性污泥']","[7, 16, 24]","['產生', '廢', '泵']","[0, 8, 17]"
"['此時', '廢棄物']","[0, 3]","['產生', '通稱為']","[1, 5]"
"['14-圖', '-1典型矽晶圓製造流程及其', '產生圖原料', '製程', '廢水廢氣廢棄物單晶生長熔化晶頸', '晶冠成長晶身成長尾部成長晶圓加工切片 圓邊研磨蝕刻熱處理去疵晶圓拋光', '清洗', '晶矽原料 石英坩堝 摻雜物水無機性污泥品質檢查', '圓片廢氣廢溶劑', '-15', '圖3.1-2廢矽晶頭尾料2廢石', '堝與廢矽晶堝底料 石英坩堝', '能影響長晶', '良率與品質之重要']","[3, 12, 17, 19, 27, 46, 48, 61, 65, 68, 78, 87, 91, 98]","['添加物', '晶圓', ' 多', '破損晶', '廢液', '-', '英坩', '是', '過程']","[18, 47, 49, 62, 66, 69, 79, 88, 92]"
"['石英坩堝外側', '一具', '密度']","[2, 5, 9]","['為', '高', '氣泡']","[3, 6, 7]"
