Entity,EntityIndex,Relation,RelationIndex
"['', '廢棄物問題']","[1, 14]","['生', '是', '解', '決']","[0, 2, 8, 9]"
"['廢棄物資源化', '國際化', '經營', '措施之一']","[6, 13, 18, 24]","['動', '是', '邁', '向', '', '一']","[0, 7, 8, 9, 23, 24]"
"['有鑑', '此']","[1, 3]","['有', '鑑', '於']","[0, 1, 2]"
"['業者', '經驗']","[6, 12]","['能', '提', '供', '汲', '取']","[0, 1, 2, 9, 10]"
"['容', '有', '']","[0, 2, 6]","['有', '錯', '誤', '']","[2, 3, 4, 6]"
"['濟部工業局', ' \n中', '國968月', '\n\n目', '\n\n', '1', '1.1緣起..........', '1.2', '手冊內容', '2第二', '\n產業概況3', '.1產業發展沿革...........................................................................', '\n\n2.2製程概述6\n\n第三章', '特性與清理現況13', '3.1廢棄物來源及特性13\n\n', '.2', '清理現況..........................................................18', '第四', '清潔', '22\n\n4.1環境化', '22\n\n4.', '廠內', '32\n\n', '廢棄物', '技術.................................................................................', '\n\n5.1', '晶圓資源化技術..............................................................................46\n\n', '廢酸資源化', '.....................................................................................49', '5.3廢溶劑', '技術..................................................................................55\n\n5.4', '污泥資源化技術........................................72\n\n5.5', '削油資源化技術78\n\n\x0c\n \n\n\n第六章', '廢棄物', '化案.........................................84\n\n6.1廢酸', '技術案..............................................................................84', '6', '劑資源化', '..........................................96\n\n', '削油資源化', '102\n\n第七章\n技術', '設備選', '程序..........................................................105\n\n7.1資源化', '評估', '105', '7.', '資源化設備選用', '107\n\n7.3資源化成本分析114\n\n參考文獻119\n\n\x0c\n \n\n\n', '\n目\n \n\n圖2.1-1', '年矽晶圓材料技術', '趨勢5\n\n', '2.2', '西門子式多晶矽的生產流程7\n\n', '2.2', '單晶', '8', '圖', '矽晶圓製造流程及其污染源產生圖............................................14圖', '-2廢矽晶頭尾料15\n\n', '-3廢', '堝底16', '-', '矽晶圓破片16\n\n圖4.1', '矽晶', '主要', '流程及晶圓片類別3\n\n', '4.1-2矽晶', '光片之製造流程24\n\n圖4.1', '環境特性分析之作業', '25\n\n', '全', '容器', '程序38\n\n圖', '2-2', '吋拋光片', '流程38\n\n', '2-3滿足', '小於', '.25μm製程用型的超純水', '流程', '圖', '1矽晶圓製成太陽', '電池流程', '圖', '-1矽晶', '.............................................................', '\n\n圖', '3-1布雷登有機溶劑回收流程57\n\n圖', '溶劑', '流程57\n\n圖5.', '碳吸附再生流程58', '圖', '3-', '催化', '58', '圖5.', '-5有', '合廢溶劑蒸餾回收流程', '圖5.3-6廢溶', '單蒸餾回收裝置...................................................................', '\n\n圖5.3-7萃取精餾裝置簡圖63\n\n\x0c\n \n\n\n圖5.', '8滲透蒸發分離原理.....................................................................64\n\n', '3-9透析原理', '圖66\n\n圖5.', '10', '噴注式焚化爐示', '68\n\n圖5.', '旋轉窯焚化爐示意圖69\n\n圖', '1無機性污泥替代水泥原料', '流程74\n\n圖5.4-2機性', '再利用於燒', '陶瓷時之柵板流程....................................', '\n\n圖5.4', '無機性', '原料再利用流程76', '5.4-', '無機性', '替代', '骨材原料再', '流程77', '圖5.4', '中鋼公司再利用氟化', '泥前加工', '流程77\n\n', '廢切', '濾與分離', '備', '\n\n圖5.5', '分離', '作原理', '82', '圖', '-3廢切', '離心', '範例', '\n\n圖6', '1-1', '混酸', '萃取流程及質量平衡', '90\n\n圖', '.', '廢混酸', '-', '醇為', '劑', '溫萃', '', '麥泰\n', '分析', '.', '-3廢', '以2-', '醇萃取', '洗滌段', '機相濃度關係\n', '滌液', 'm', '醋酸']","[4, 7, 12, 15, 19, 23, 27, 30, 33, 36, 41, 49, 58, 65, 73, 76, 83, 85, 87, 92, 97, 99, 102, 106, 110, 113, 120, 123, 127, 132, 138, 146, 155, 157, 166, 170, 172, 177, 181, 185, 192, 195, 203, 205, 207, 209, 213, 227, 236, 241, 245, 247, 257, 259, 261, 265, 267, 281, 288, 292, 295, 299, 307, 309, 312, 319, 323, 332, 338, 341, 345, 348, 353, 355, 358, 362, 366, 369, 378, 381, 384, 391, 394, 397, 401, 405, 408, 419, 422, 428, 435, 437, 440, 442, 445, 448, 452, 458, 464, 470, 484, 494, 501, 507, 510, 514, 519, 528, 535, 544, 548, 555, 559, 561, 569, 573, 575, 577, 581, 584, 587, 593, 596, 600, 604, 608, 610, 614, 617, 620, 622, 624, 627, 630, 633, 637, 639, 645, 651, 655, 657, 660, 663, 666, 669, 671, 673, 677, 680, 685, 688, 692, 696, 700, 706, 708, 710, 712]","['工', '局', '1.2', '技術', '說明', '第二', '\n\n', '2', '.', '...........................................................................', '章', '\n', '廢棄物', '特性', '13', '3.1', '2', '產生量', '', '第四', '清潔', '設計', '\n\n', '4.', '2', '廠內', '管理', '章', '46', '5.1', '..............................................................................', '\n\n', '5.2', '技術', '3', '55', '5.4', '無機', '5.5', '廢切', '資源化', '章', '\n\n', '.', '84', '\n\n', '2', '廢溶', '技術案', '資源化', '技術案', '\n\n', '第七', '評估', '用', '105', '技術', '流程', '105', '\n\n', '\n\n\x0c\n \n', '圖', '1-1', '\n\n', '圖', '1', '-2', '單晶', '\n\n', '3.1', '1', '典型', '矽', '晶圓', '製造', '流程', '圖', '-2', '16', '\n\n', '圖', '3.1', '4.1', '矽晶', '矽晶', '圓拋', '光片', '', '製造', '\n\n', '圖', '2-1', '圖', '於', '0', '流程', '\n\n', '流程', '48', '製造', '圖', '3-1', '圖', '5.', '3-2', '溶劑', '3', '吸附', '\n\n', '催化', '58', '機混', '流程', '61', '\n\n', '圖', '...................................................................', '2', '\n\n', '5.', '5.', '3', '-', '8', '\n\n', '圖', '5.', '3', '5.', '3', '-', '5.', '3', '11', '旋轉', '原料', '再', '利用', '流程', '於燒', '製', '陶瓷', '', '74', '污泥', '替代', '磚塊', '\n\n', '圖', '5.4', '無機性', '污泥', '77', '5.4', '5', '中鋼', '\n\n', '圖', '5.5', '1', '廢切', '圖', '分離', '機運', '5.5', '多重', '回收', '系統', '範例', '83', '\n\n', '圓片化', '學蝕', '刻廢', '流程', '', '質量', '...................', '1-2', '2', '乙', '基己', '醇為', '醋酸', '-', '91', '\n\n', '圖', '6', '.', '1', '基己', '後', '數', '有', '醋酸']","[2, 4, 30, 31, 34, 36, 42, 43, 44, 49, 58, 59, 60, 61, 65, 67, 76, 78, 79, 85, 87, 93, 96, 97, 98, 99, 100, 104, 111, 113, 118, 120, 121, 124, 130, 136, 138, 139, 146, 147, 149, 155, 162, 164, 170, 171, 174, 175, 178, 185, 186, 188, 189, 193, 196, 199, 204, 206, 207, 208, 226, 228, 236, 245, 246, 248, 260, 261, 266, 268, 269, 270, 271, 272, 273, 274, 281, 283, 295, 296, 297, 298, 307, 309, 323, 324, 325, 326, 327, 341, 342, 344, 353, 369, 370, 381, 383, 394, 395, 403, 408, 410, 419, 420, 421, 422, 429, 432, 436, 442, 445, 453, 458, 459, 460, 461, 470, 471, 472, 474, 484, 485, 486, 487, 494, 495, 496, 497, 507, 508, 509, 519, 520, 521, 522, 535, 536, 537, 538, 548, 549, 550, 552, 556, 562, 563, 564, 570, 571, 572, 575, 576, 584, 587, 588, 589, 600, 601, 602, 603, 604, 613, 617, 618, 625, 629, 631, 632, 633, 634, 635, 641, 642, 643, 648, 649, 650, 652, 658, 662, 664, 665, 666, 674, 679, 681, 682, 683, 684, 685, 686, 694, 698, 701, 702, 712]"
"['作', '分析', '圖6', '1', '5廢混酸以', '三丁酯', '取劑的等溫萃', '', '', '－泰(', '分析', '\n\n圖6.', '廢', '以磷酸三丁酯', '分離後的洗滌段', '有', '相濃\n', '醋酸']","[3, 5, 9, 11, 16, 18, 23, 25, 27, 31, 33, 38, 40, 44, 49, 51, 54, 61]","['A=', '-', '\n\n', '.', '1', '-', '5', '硝酸', '\n\n', '以', '三丁酯', '萃取', '分離', '後', '', '洗', '滌液']","[0, 2, 7, 10, 11, 12, 13, 26, 35, 42, 44, 45, 46, 47, 48, 57, 58]"
"['作', '分析', '\n\n圖', '.', '廢混酸經', '', '後之廢氫']","[3, 5, 9, 11, 16, 18, 23]","['A=', '-', '\n\n\x0c\n \n']","[0, 2, 7]"
"['磷酸三丁酯', '等', '麥－泰(-分析', '94', '圖6.', '9以水自磷酸', '脫除', '等', '其麥－', '(-', '圖法分析94', '2-1', '資源化處理', '.................................................................96\n\n圖6', '2-2廠廢異丙醇資源化處理流程', '\n\n圖6.', '廠廢溶劑資源化處理程.', '\n\n', '6.31晶圓切割', '比較圖102\n\n圖6.3', '線切', '削劑', '系統104\n\n圖6.3-3', '分離機結構圖104\n\n圖7.', '資源化系統規劃評估', '106\n\n圖7.2-1資源化設備評估流程', '109', '\n\n表\n目\n \n\n表3.', '圓片', '業廢棄物產出', '清理現況', '....18', '.', '收受矽晶圓片製造業廢棄物機構名單................................................20\n\n表4.1', '單位', '圓拋光片', '原', '27', '表4.1-2單位矽晶圓拋片之污染負荷............................................................28', '表4.1', '矽晶圓', '工廠環境特性分析結果', '30\n\n', '-', '矽晶圓製造工廠生命週期分析的環境特性', '內數據之比較.........30\n\n表4.2-1晶圓片的酸蝕刻製程與鹼蝕刻', '比較', '34\n\n表4.2-2標準的超高純', '學試劑的技術指標', '43\n\n表4.', '各種常用瓶裝', '顏色標識..............................................44\n\n', '5.', '常見', '劑56', '5.', '廢溶劑回收', '優缺點比', '...................................................59\n\n', '5.', '可', '滲透蒸發技術', '或', '產物.................................................', '5.3', '水泥窯使用廢溶劑作為輔助燃料認定原則........................................70', '表5.3-', '半導體製', '光電材料及', '業之混', '規定.71', '表61-1', '蝕刻', '混酸', '\n\n表6', '2-1異丙醇之工業規格98', '-\n\n第一章', '\n\n1.1', '\n\n近']","[1, 7, 14, 16, 20, 25, 27, 31, 36, 40, 44, 48, 52, 58, 66, 71, 78, 80, 85, 92, 94, 97, 104, 112, 117, 128, 130, 140, 143, 147, 151, 155, 159, 173, 175, 178, 182, 184, 197, 200, 203, 209, 214, 217, 228, 247, 250, 259, 265, 270, 275, 282, 284, 287, 291, 294, 299, 304, 308, 310, 313, 317, 319, 323, 328, 339, 344, 347, 352, 357, 364, 368, 371, 373, 378, 385, 390, 393, 396]","['萃取', '－', '圖', '.', '1', '磷酸', '脫除', '酸', '等', '', '94', '圖', '溶劑', '處理', '流程', '\n\n', '資源化', '.', '\n\n', '圖', '\n\n', '圖', '6.3', '-3', '評估', '實驗', '流程', '流程', '.', '2-1', '矽晶', '現況', '..', '..', '1', '光片', '所', '消耗', '原', '物料', '27', '表', '矽晶', '28', '\n\n', '表', '4.1', '-3', '整表', '30', '4', '特性', '內', '數據', '比', '蝕刻', '製程', '4.', '2-3', '常見', '', '有', '機溶', '\n\n', '比', '較', '...................................................', '技術', '分離', '或', '純化', '水泥窯', '-', '5', '半導', '體製', '造業', '材料', '', '元件', '混', '合廢', '再', '71', '\n\n', '廢', '組成', '異丙醇']","[4, 11, 18, 20, 21, 25, 27, 29, 31, 34, 44, 45, 50, 52, 53, 56, 64, 78, 80, 81, 90, 91, 92, 104, 117, 118, 119, 128, 140, 141, 142, 151, 152, 153, 174, 178, 179, 180, 182, 183, 184, 186, 190, 197, 198, 199, 200, 201, 211, 213, 218, 228, 230, 231, 233, 247, 248, 270, 271, 286, 287, 288, 289, 292, 304, 305, 306, 317, 318, 319, 320, 330, 344, 345, 346, 347, 348, 351, 352, 353, 357, 358, 360, 364, 365, 372, 374, 381]"
"['技術', '工業之發\n展而']","[1, 10]","['技術', '能', '展而', '進步']","[1, 4, 10, 11]"
