Relation,Count,Ratio
回收,110,6.27%
有,89,5.08%
為,85,4.85%
利用,70,3.99%
進行,65,3.71%
化,64,3.65%
高,58,3.31%
使用,57,3.25%
萃取,56,3.19%
產生,49,2.8%
清洗,42,2.4%
製造,41,2.34%
大,37,2.11%
不同,33,1.88%
用,30,1.71%
系統,29,1.65%
多,29,1.65%
廢,28,1.6%
來,28,1.6%
生產,25,1.43%
低,25,1.43%
採用,24,1.37%
含,22,1.25%
處理,20,1.14%
包括,20,1.14%
分離,20,1.14%
使,19,1.08%
提供,19,1.08%
加工,19,1.08%
造成,18,1.03%
具有,17,0.97%
達到,17,0.97%
熱,17,0.97%
應用,16,0.91%
形成,16,0.91%
無,16,0.91%
拋光,16,0.91%
作為,16,0.91%
後,15,0.86%
分為,15,0.86%
重要,15,0.86%
發展,15,0.86%
達,15,0.86%
超,15,0.86%
降低,15,0.86%
用於,15,0.86%
小,14,0.8%
成長,14,0.8%
控制,14,0.8%
設備,13,0.74%
-,13,0.74%
清潔,13,0.74%
擴散,13,0.74%
相關,13,0.74%
減少,13,0.74%
於,12,0.68%
具,12,0.68%
成為,12,0.68%
操作,12,0.68%
避免,12,0.68%
晶圓,12,0.68%
更,12,0.68%
純化,12,0.68%
提高,12,0.68%
分,11,0.63%
了,11,0.63%
技術,11,0.63%
酸,11,0.63%
類,11,0.63%
拋,11,0.63%
在,11,0.63%
收集,11,0.63%
係,11,0.63%
需要,10,0.57%
穩定,10,0.57%
有效,10,0.57%
不,10,0.57%
如下,10,0.57%
適當,10,0.57%
固定,10,0.57%
混合,10,0.57%
增加,10,0.57%
水,10,0.57%
流程,10,0.57%
生成,9,0.51%
污染,9,0.51%
至,9,0.51%
廣泛,9,0.51%
做為,9,0.51%
降,9,0.51%
溶劑,9,0.51%
加,9,0.51%
料,9,0.51%
考慮,9,0.51%
維持,9,0.51%
選擇,9,0.51%
經過,9,0.51%
蒸餾,9,0.51%
不易,9,0.51%
影響,9,0.51%
快,8,0.46%
讓,8,0.46%
消耗,8,0.46%
稱為,8,0.46%
改善,8,0.46%
簡單,8,0.46%
完成,8,0.46%
採,8,0.46%
製,8,0.46%
組成,8,0.46%
添加,8,0.46%
排放,8,0.46%
資源,7,0.4%
配合,7,0.4%
供,7,0.4%
等,7,0.4%
邁向,7,0.4%
殘留,7,0.4%
含有,7,0.4%
裝置,7,0.4%
輸送,7,0.4%
到,7,0.4%
加入,7,0.4%
吸附,7,0.4%
開始,7,0.4%
直接,7,0.4%
去,7,0.4%
程序,7,0.4%
通入,7,0.4%
吸收,7,0.4%
成分,7,0.4%
在於,7,0.4%
做,7,0.4%
成,7,0.4%
切削,7,0.4%
發生,7,0.4%
實際,7,0.4%
焚化,7,0.4%
圖,7,0.4%
工廠,6,0.34%
注意,6,0.34%
符合,6,0.34%
佳,6,0.34%
均勻,6,0.34%
決定,6,0.34%
中,6,0.34%
選用,6,0.34%
密閉,6,0.34%
爐,6,0.34%
委託,6,0.34%
進入,6,0.34%
差,6,0.34%
燃燒,6,0.34%
供應,6,0.34%
分析,6,0.34%
溶解,6,0.34%
採購,6,0.34%
切削油,6,0.34%
切割,6,0.34%
製程,6,0.34%
製成,6,0.34%
清除,6,0.34%
排出,6,0.34%
潔淨,6,0.34%
規劃,6,0.34%
化學,6,0.34%
矽晶,6,0.34%
種,6,0.34%
純度,6,0.34%
是,6,0.34%
研磨,6,0.34%
方式,6,0.34%
生長,6,0.34%
洗滌,6,0.34%
需,6,0.34%
複雜,6,0.34%
泥,5,0.29%
磷酸,5,0.29%
相對,5,0.29%
利,5,0.29%
 成,5,0.29%
伴隨,5,0.29%
好,5,0.29%
時,5,0.29%
提出,5,0.29%
達成,5,0.29%
經濟,5,0.29%
過,5,0.29%
附,5,0.29%
：,5,0.29%
通過,5,0.29%
不斷,5,0.29%
獲得,5,0.29%
氫,5,0.29%
各,5,0.29%
廢水,5,0.29%
可,5,0.29%
產出,5,0.29%
投資,5,0.29%
受到,5,0.29%
再生,5,0.29%
設計,5,0.29%
取得,5,0.29%
脫水,5,0.29%
3,5,0.29%
小於,5,0.29%
反,5,0.29%
嚴格,5,0.29%
廢棄物,5,0.29%
顯示,5,0.29%
去除,5,0.29%
有機,5,0.29%
或,5,0.29%
妥善,5,0.29%
平均,5,0.29%
準備,4,0.23%
結果,4,0.23%
結合,4,0.23%
純,4,0.23%
和,4,0.23%
防止,4,0.23%
其,4,0.23%
納入,4,0.23%
執行,4,0.23%
