Entity,Count,Ratio
測品,17,2.09%
晶片,11,1.35%
產品,8,0.98%
其,8,0.98%
封裝,7,0.86%
測試機台,7,0.86%
晶圓,6,0.74%
等,6,0.74%
測試程式,6,0.74%
一,6,0.74%
過程,6,0.74%
電路,6,0.74%
技術,6,0.74%
二,6,0.74%
製程,5,0.61%
不同,5,0.61%
成品,5,0.61%
三,5,0.61%
引腳,5,0.61%
晶粒,5,0.61%
客戶,5,0.61%
功能,5,0.61%
測試,5,0.61%
導線架,4,0.49%
表面黏著技術,4,0.49%
級矽,4,0.49%
環境,4,0.49%
表面,4,0.49%
我們,4,0.49%
框架,4,0.49%
方式,4,0.49%
晶種,4,0.49%
四,4,0.49%
上,4,0.49%
電子元件,4,0.49%
就是,3,0.37%
引腳插入型,3,0.37%
樹脂,3,0.37%
接合,3,0.37%
目的,3,0.37%
五,3,0.37%
種,3,0.37%
部份,3,0.37%
高,3,0.37%
在,3,0.37%
塑膠封裝,3,0.37%
印字,3,0.37%
它,3,0.37%
問題,3,0.37%
腳數,3,0.37%
膠帶,3,0.37%
定位,3,0.37%
包裝型式,2,0.25%
分類機,2,0.25%
包裝容器,2,0.25%
情形,2,0.25%
其流程,2,0.25%
應用,2,0.25%
後,2,0.25%
去電子零件與基板,2,0.25%
其功能,2,0.25%
可,2,0.25%
封裝方式,2,0.25%
圓柱,2,0.25%
將晶圓,2,0.25%
基版,2,0.25%
待測品,2,0.25%
外觀,2,0.25%
多台分類機,2,0.25%
完成,2,0.25%
小球,2,0.25%
小,2,0.25%
客戶的要求,2,0.25%
成型,2,0.25%
封裝型態,2,0.25%
晶粒座,2,0.25%
有,2,0.25%
成本,2,0.25%
腳,2,0.25%
訊號,2,0.25%
記憶,2,0.25%
試機台,2,0.25%
資料,2,0.25%
針測,2,0.25%
銀膠,2,0.25%
間電路的通暢,2,0.25%
雜質,2,0.25%
電子產品,2,0.25%
電子零件快速,2,0.25%
電性訊號,2,0.25%
電路圖,2,0.25%
高溫,2,0.25%
兩種,2,0.25%
連接,2,0.25%
離子純水,2,0.25%
狀態,2,0.25%
表面黏著技術為一方便,2,0.25%
維持,2,0.25%
所,2,0.25%
結果,2,0.25%
批,2,0.25%
接合技術,2,0.25%
方便,2,0.25%
是否,2,0.25%
晶,2,0.25%
機械機構,2,0.25%
檢測,2,0.25%
檢驗,2,0.25%
步驟,2,0.25%
測試機台的測試頭,2,0.25%
準容器,2,0.25%
為,2,0.25%
產生,2,0.25%
用,2,0.25%
真空,2,0.25%
真空區,2,0.25%
組裝連接,2,0.25%
其中,2,0.25%
（,2,0.25%
