Entity,EntityIndex,Relation,RelationIndex
"['電子科技', '等', '']","[1, 3, 6]",[],[]
"['成長', '週邊產業的繁榮']","[2, 10]","['快速', '會', '帶動']","[0, 4, 5]"
"['一', '半導體產業體系架構']","[2, 9]","['示為', '典型', '架構']","[1, 3, 9]"
"['資', '技術', '處']","[0, 2, 7]",['密集'],[5]
"['其中', '稱半導體後段製程']","[0, 7]","['包括', '稱半']","[1, 4]"
"['一', '產業體系']","[0, 5]","['結合', '緊密']","[1, 2]"
"['一', '提煉']","[0, 2]","['提煉', '成單']","[2, 3]"
"['其製造過程', '將矽石', '一樣']","[2, 4, 8]","['是', '冶金', '一', '樣']","[3, 6, 7, 8]"
"['二', '']","[1, 6]","['二', '中', '']","[1, 4, 6]"
"['三', '狀晶圓的圓周邊緣', '磨具', '圓弧形']","[1, 7, 9, 13]","['磨具', '研磨', '成光滑']","[9, 10, 11]"
"['可', '未來製程', '設光阻層', '磊晶層的平坦度']","[1, 4, 7, 11]","['可', '增加', '中鋪', '設光']","[1, 2, 5, 6]"
"['晶圓', '鏡面']","[0, 2]","['鏡面', '平滑']","[2, 4]"
"['拋光', '機械與化學加工方式']","[0, 7]","['是', '方式', '進行']","[1, 7, 9]"
"['加工', '將晶圓', '研磨機內']","[0, 2, 6]","['是', '放置', '研磨']","[1, 3, 5]"
"['晶圓', '化學溶劑', '表面', '金屬碎屑', '雜質']","[2, 5, 7, 11, 14]","['需用', '溶劑', '清除', '殘留']","[3, 5, 6, 8]"
"['五', '晶片', '條件', '退火']","[1, 4, 9, 11]","['五', '控制', '條件', '退火']","[1, 7, 9, 11]"
"['晶片', '晶片', '狀態']","[0, 4, 7]","['達到', '可', '進行', '加工']","[1, 2, 3, 5]"
"['晶片', '環境', '檢查']","[2, 5, 10]","['環境', '進行', '嚴格']","[5, 7, 8]"
"['九', '晶片', '容器包裝']","[1, 6, 12]","['檢驗', '設計', '容器', '包裝']","[4, 9, 11, 12]"
"['晶片', '', '狀態']","[0, 3, 6]","['維持', '無塵', '潔淨']","[1, 2, 4]"
"['三', '處理製程 \r\n  \r\n', '處理步驟通常', '先', '', '後']","[0, 4, 9, 12, 15, 17]","['晶圓', '適當', '後']","[11, 14, 17]"
"['晶圓', '微影的製程']","[2, 7]",['進行'],[4]
"['晶圓', '一層光阻']","[2, 6]",['晶圓'],[2]
"['就是', '線路圖部份']","[1, 6]","['需要', '部份']","[3, 6]"
"['整片晶圓', '行磷原子的植入']","[2, 7]","['晶圓', '進']","[2, 3]"
"['我們', '電路', '電晶體及部份的字元線']","[1, 6, 13]","['構成', '所需']","[4, 7]"
['設計圖案'],[4],"['提供', '圖案']","[1, 4]"
"['', '晶圓']","[0, 2]","['晶圓', '建立', '完成']","[2, 4, 5]"
"['加工結果', '規格內', '製作', '層第二', '電路']","[3, 6, 10, 13, 16]","['檢驗', '在', '第一']","[1, 5, 11]"
"['矽晶圓上', '電晶體', '電子元件', '', '會', '測試區作', '量測']","[2, 4, 8, 13, 15, 20, 22]","['矽晶', '製造', '完成', '', '被', '電性', '電性']","[1, 3, 12, 13, 16, 18, 21]"
"['二', '蝕刻', '黃光定', '我們', '電路圖']","[0, 2, 5, 8, 12]","['黃光定', '義出', '需要', '電路圖']","[5, 6, 10, 12]"
"['三', '本區的製造過程', '中']","[0, 7, 10]","['擴散', '中']","[2, 10]"
['真空'],[3],"['需要', '抽成']","[1, 2]"
"['就是', '層薄薄']","[0, 7]","['上', '一', '']","[2, 4, 7]"
"['真空區', '一站', '為晶圓允收區']","[1, 5, 9]","['真', '空區', '有', '稱']","[0, 1, 3, 6]"
"['過程', '有缺陷']","[0, 3]",['有'],[2]
"['一電性量測值的變異', '一道', '製程', '異常']","[6, 9, 11, 15]","['變異', '判斷', '是否', '發生']","[6, 7, 12, 13]"
