Relation,Count,Ratio
有,43,9.11%
為,24,5.08%
不同,19,4.03%
進行,14,2.97%
完成,11,2.33%
高,11,2.33%
連接,10,2.12%
提供,10,2.12%
來,10,2.12%
黏,10,2.12%
包括,9,1.91%
製造,9,1.91%
需要,9,1.91%
接合,8,1.69%
用,7,1.48%
加工,7,1.48%
利用,7,1.48%
作,7,1.48%
不,6,1.27%
稱,6,1.27%
使用,6,1.27%
快速,6,1.27%
使,6,1.27%
待,6,1.27%
稱為,6,1.27%
經過,6,1.27%
避免,6,1.27%
去,5,1.06%
相關,5,1.06%
產生,5,1.06%
分為,4,0.85%
加,4,0.85%
做,4,0.85%
沾附,4,0.85%
好,4,0.85%
烘烤,4,0.85%
多,4,0.85%
示,4,0.85%
相同,4,0.85%
確保,4,0.85%
熱,4,0.85%
一樣,4,0.85%
自動,4,0.85%
放,4,0.85%
接受,4,0.85%
封裝,3,0.64%
搬運,3,0.64%
測,3,0.64%
分,3,0.64%
小,3,0.64%
大,3,0.64%
清晰,3,0.64%
維持,3,0.64%
植入,3,0.64%
設計,3,0.64%
切除,3,0.64%
、,3,0.64%
有所,3,0.64%
重要,3,0.64%
潔淨,3,0.64%
增加,3,0.64%
必要,3,0.64%
正常,3,0.64%
料,3,0.64%
達成,3,0.64%
不斷,3,0.64%
具有,3,0.64%
結合,3,0.64%
接上,2,0.42%
適當,2,0.42%
完,2,0.42%
接腳,2,0.42%
蓬勃,2,0.42%
排成,2,0.42%
適用,2,0.42%
檢驗,2,0.42%
鋼製,2,0.42%
長,2,0.42%
定位,2,0.42%
裝,2,0.42%
成為,2,0.42%
達到,2,0.42%
指定,2,0.42%
置於,2,0.42%
置放,2,0.42%
考慮,2,0.42%
送到,2,0.42%
輸出,2,0.42%
堅固,2,0.42%
送至,2,0.42%
引腳,2,0.42%
批待,2,0.42%
通暢,2,0.42%
賴,2,0.42%
自動化,2,0.42%
抽測,2,0.42%
延伸,2,0.42%
平滑,2,0.42%
縮小,2,0.42%
對應,2,0.42%
射,2,0.42%
旋轉,2,0.42%
拋光,2,0.42%
指,2,0.42%
步驟,2,0.42%
粗糙,2,0.42%
剪切,2,0.42%
真,2,0.42%
用於,2,0.42%
符合,2,0.42%
判斷,2,0.42%
看到,2,0.42%
分離,2,0.42%
拉,2,0.42%
伸出,2,0.42%
出貨,2,0.42%
低,2,0.42%
出,2,0.42%
在於,2,0.42%
主要,2,0.42%
利,2,0.42%
具,2,0.42%
為主,2,0.42%
生產,2,0.42%
傳遞,2,0.42%
傳送,2,0.42%
不易,2,0.42%
磨削,2,0.42%
生成,2,0.42%
確定,2,0.42%
點上,2,0.42%
短,2,0.42%
測品,2,0.42%
受到,2,0.42%
發生,2,0.42%
發揮,2,0.42%
固定,2,0.42%
一,2,0.42%
陶瓷,2,0.42%
見,2,0.42%
沖洗,2,0.42%
需,2,0.42%
上,2,0.42%
包覆,2,0.42%
叫做,2,0.42%
降,2,0.42%
化,2,0.42%
去除,2,0.42%
預燒,2,0.42%
預設,2,0.42%
看,2,0.42%
減少,2,0.42%
相連,1,0.21%
能源,1,0.21%
能,1,0.21%
至,1,0.21%
脫落,1,0.21%
興起,1,0.21%
薄,1,0.21%
腐蝕,1,0.21%
看好,1,0.21%
相當,1,0.21%
細密,1,0.21%
置,1,0.21%
研磨,1,0.21%
維繫,1,0.21%
細分,1,0.21%
純化,1,0.21%
組裝,1,0.21%
紅,1,0.21%
粘貼,1,0.21%
結成,1,0.21%
融化,1,0.21%
給予,1,0.21%
簡,1,0.21%
等級,1,0.21%
等,1,0.21%
緊密,1,0.21%
碰撞,1,0.21%
第一,1,0.21%
縮,1,0.21%
缺少,1,0.21%
穩定,1,0.21%
種,1,0.21%
移轉到,1,0.21%
移至,1,0.21%
置入,1,0.21%
示為,1,0.21%
美觀,1,0.21%
翻轉,1,0.21%
處理,1,0.21%
 Handler,1,0.21%
表示,1,0.21%
靠,1,0.21%
不良品,1,0.21%
不良,1,0.21%
不變,1,0.21%
不要,1,0.21%
不方便,1,0.21%
不到,1,0.21%
不佳,1,0.21%
異常,1,0.21%
牢靠,1,0.21%
拉斷,1,0.21%
拉引成,1,0.21%
更為,1,0.21%
龐大,1,0.21%
黏著,1,0.21%
麼,1,0.21%
高低,1,0.21%
首先,1,0.21%
預防,1,0.21%
預定,1,0.21%
說,1,0.21%
量激增,1,0.21%
力,1,0.21%
切削,1,0.21%
都,1,0.21%
見下,1,0.21%
降溫,1,0.21%
