Entity,Count,Ratio
製程,92,0.7%
晶圓,84,0.64%
技術,58,0.44%
晶片,56,0.42%
我們,54,0.41%
產品,49,0.37%
溶劑,44,0.33%
蝕刻,40,0.3%
中,35,0.27%
二,35,0.27%
設備,33,0.25%
處理,31,0.24%
資料來源,31,0.24%
表面,30,0.23%
廢水,29,0.22%
市場,28,0.21%
方式,27,0.2%
成本,26,0.2%
氣體,26,0.2%
萃取,25,0.19%
三,25,0.19%
過程,24,0.18%
清洗,24,0.18%
測品,24,0.18%
功能,24,0.18%
客戶,23,0.17%
這,23,0.17%
台積電,22,0.17%
廠商,22,0.17%
研磨,22,0.17%
時間,20,0.15%
後,20,0.15%
測試,20,0.15%
元件,19,0.14%
資源,19,0.14%
反應,19,0.14%
產業,19,0.14%
為,19,0.14%
月,18,0.14%
矽,18,0.14%
公司,18,0.14%
問題,18,0.14%
切削油,18,0.14%
發展,18,0.14%
步驟,17,0.13%
產生,17,0.13%
圖,17,0.13%
結果,17,0.13%
四,17,0.13%
需求,17,0.13%
工廠,16,0.12%
方法,16,0.12%
操作,16,0.12%
削油,16,0.12%
離子,16,0.12%
回收,16,0.12%
一個,16,0.12%
目的,15,0.11%
部份,15,0.11%
情況,15,0.11%
原料,15,0.11%
製造,15,0.11%
行業,15,0.11%
種,15,0.11%
資料,14,0.11%
光罩,14,0.11%
環境,14,0.11%
污泥,14,0.11%
系統,14,0.11%
利用,14,0.11%
半導體,14,0.11%
（）,14,0.11%
高,14,0.11%
"

",14,0.11%
設計,14,0.11%
測試機台,14,0.11%
機,13,0.1%
加工,13,0.1%
晶矽,13,0.1%
氣罩,13,0.1%
薄膜,13,0.1%
電子,13,0.1%
雜質,13,0.1%
台灣,13,0.1%
"
",13,0.1%
應用,13,0.1%
影響,13,0.1%
用途,13,0.1%
晶棒,12,0.09%
2007,12,0.09%
濃度,12,0.09%
廢棄物,12,0.09%
水泥,12,0.09%
溶液,12,0.09%
材料,12,0.09%
晶圓製造商,12,0.09%
矽晶,12,0.09%
高溫,12,0.09%
引腳,12,0.09%
分離,12,0.09%
五,12,0.09%
電路,12,0.09%
磷酸,12,0.09%
挑戰,11,0.08%
收益,11,0.08%
收益率,11,0.08%
矽晶圓片,11,0.08%
光阻,11,0.08%
於,11,0.08%
研究,11,0.08%
空氣,11,0.08%
缺陷,11,0.08%
醋酸,11,0.08%
酸,11,0.08%
10,11,0.08%
2005,11,0.08%
半,11,0.08%
晶體,11,0.08%
階段,11,0.08%
業者,11,0.08%
生產,11,0.08%
污染,11,0.08%
設備商,10,0.08%
工藝,10,0.08%
切割,10,0.08%
不同,10,0.08%
國內,10,0.08%
溫度,10,0.08%
廢液,10,0.08%
程序,10,0.08%
導線,10,0.08%
廢溶劑,10,0.08%
經濟部工業局,10,0.08%
硫酸,10,0.08%
材料,10,0.08%
2000,10,0.08%
晶圓表面,10,0.08%
晶,10,0.08%
控制,10,0.08%
成品,10,0.08%
現象,9,0.07%
單晶,9,0.07%
物質,9,0.07%
半導體製程,9,0.07%
"
0.",9,0.07%
零件,9,0.07%
此時,9,0.07%
能源,9,0.07%
混酸,9,0.07%
矽晶圓,9,0.07%
化學,9,0.07%
廢,9,0.07%
接點,9,0.07%
低,9,0.07%
規格,9,0.07%
電晶體,9,0.07%
封裝,9,0.07%
環保技術輔導計畫,9,0.07%
全球,9,0.07%
業,9,0.07%
趨勢,9,0.07%
晶片表面,9,0.07%
目,9,0.07%
硝酸,8,0.06%
廠,8,0.06%
許多,8,0.06%
金屬,8,0.06%
廢氣,8,0.06%
位置,8,0.06%
廢酸,8,0.06%
毒性,8,0.06%
檢測,8,0.06%
製程技術,8,0.06%
樹脂,8,0.06%
成長,8,0.06%
規劃,8,0.06%
作用,8,0.06%
成分,8,0.06%
劑,8,0.06%
分析,8,0.06%
2001,8,0.06%
"

 

",8,0.06%
各種,8,0.06%
微影,8,0.06%
流程,8,0.06%
尺寸,8,0.06%
指標,8,0.06%
內容,8,0.06%
排放,8,0.06%
印字,8,0.06%
11,8,0.06%
原因,8,0.06%
"
-",8,0.06%
拋光,8,0.06%
投資,8,0.06%
電路,8,0.06%
2004,7,0.05%
2006,7,0.05%
"

圖",7,0.05%
一層,7,0.05%
調整,7,0.05%
內,7,0.05%
一種,7,0.05%
製造成本,7,0.05%
分子,7,0.05%
液體,7,0.05%
污染物,7,0.05%
回收系統,7,0.05%
12,7,0.05%
切片,7,0.05%
氮氣,7,0.05%
所示,7,0.05%
閘極,7,0.05%
資本支出,7,0.05%
費用,7,0.05%
氫氟,7,0.05%
日本,7,0.05%
優點,7,0.05%
擴散,7,0.05%
定位,7,0.05%
增加,7,0.05%
周期,7,0.05%
矽晶圓製造後段製程之環境特性分析,7,0.05%
檢驗,7,0.05%
收益概率,7,0.05%
積體電路,7,0.05%
種類,7,0.05%
外,7,0.05%
晶種,7,0.05%
層,7,0.05%
機相,7,0.05%
說明,7,0.05%
產業發展雙月刊,7,0.05%
台積,7,0.05%
中芯國際,7,0.05%
進行,7,0.05%
機會,7,0.05%
後者,7,0.05%
第一期,7,0.05%
待測品,7,0.05%
大小,7,0.05%
本案,7,0.05%
磨料,7,0.05%
民國91,7,0.05%
晶粒,6,0.05%
"


0",6,0.05%
體,6,0.05%
半導體業,6,0.05%
半導體產業,6,0.05%
工作,6,0.05%
選擇,6,0.05%
"


",6,0.05%
變化,6,0.05%
原,6,0.05%
晶粒,6,0.05%
原理,6,0.05%
下圖,6,0.05%
循環,6,0.05%
業界,6,0.05%
處,6,0.05%
圖6,6,0.05%
前,6,0.05%
水,6,0.05%
框架,6,0.05%
應,6,0.05%
膠帶,6,0.05%
真空,6,0.05%
塑膠,6,0.05%
較,6,0.05%
未來,6,0.05%
波動,6,0.05%
萃取劑,6,0.05%
未,6,0.05%
維持,6,0.05%
載具,6,0.05%
測試程式,6,0.05%
晶圓製程設備,6,0.05%
經,6,0.05%
生料,6,0.05%
導線架,6,0.05%
接合,6,0.05%
製程設備,6,0.05%
狀態,6,0.05%
代工,6,0.05%
機溶劑,6,0.05%
民國90,6,0.05%
矽晶圓製造業,6,0.05%
鑄模,6,0.05%
錫球,6,0.05%
作業,6,0.05%
供應商,6,0.05%
產能,6,0.05%
段,6,0.05%
準備,5,0.04%
吸收,5,0.04%
成為,5,0.04%
工藝製程,5,0.04%
化,5,0.04%
2017年,5,0.04%
差異,5,0.04%
製程控制,5,0.04%
訊號,5,0.04%
代表,5,0.04%
晶圓代工,5,0.04%
其目,5,0.04%
20,5,0.04%
沸點,5,0.04%
鋁,5,0.04%
過程中,5,0.04%
1.,5,0.04%
風險,5,0.04%
圖案,5,0.04%
再利用,5,0.04%
良品,5,0.04%
預期,5,0.04%
獲,5,0.04%
脫水,5,0.04%
進,5,0.04%
分配比,5,0.04%
2002,5,0.04%
液面,5,0.04%
條件,5,0.04%
量產,5,0.04%
直徑,5,0.04%
膜,5,0.04%
摩爾定律,5,0.04%
升,5,0.04%
試劑,5,0.04%
封膠,5,0.04%
二氧化矽,5,0.04%
離子,5,0.04%
吸附,5,0.04%
企業,5,0.04%
點,5,0.04%
半導,5,0.04%
b,5,0.04%
矽晶棒,5,0.04%
差排,5,0.04%
蝕刻製程,5,0.04%
因素,5,0.04%
測試程序,5,0.04%
80,5,0.04%
管理,5,0.04%
金屬離子,5,0.04%
丙醇,5,0.04%
槽,5,0.04%
%,5,0.04%
切削,5,0.04%
13,5,0.04%
劑回收,5,0.04%
元素,5,0.04%
去除,5,0.04%
"
0",5,0.04%
石英,5,0.04%
電子產品,5,0.04%
離子水,5,0.04%
水分,5,0.04%
引腳插入型,5,0.04%
燃料,5,0.04%
方向,5,0.04%
線寬,5,0.04%
範圍,5,0.04%
效果,5,0.04%
體系,5,0.04%
構裝,5,0.04%
商業模式,5,0.04%
工程,5,0.04%
無塵室,5,0.04%
氫氟酸,5,0.04%
越,5,0.04%
電子元件,5,0.04%
措施,5,0.04%
包裝,5,0.04%
短期,5,0.04%
其功能,5,0.04%
焚化,5,0.04%
數據,5,0.04%
美國,5,0.04%
4.,5,0.04%
工業,5,0.04%
藥液,5,0.04%
65,4,0.03%
基版,4,0.03%
廢水處理,4,0.03%
結構,4,0.03%
有限,4,0.03%
1999,4,0.03%
現在,4,0.03%
化學溶液,4,0.03%
晶片功能,4,0.03%
測試機台的測試頭,4,0.03%
輸送,4,0.03%
溫度,4,0.03%
載體,4,0.03%
效應,4,0.03%
規模,4,0.03%
廢混酸,4,0.03%
包含,4,0.03%
包裝容器,4,0.03%
化學工業出版社,4,0.03%
溫,4,0.03%
準容器,4,0.03%
經濟,4,0.03%
包裝型式,4,0.03%
矽晶圓拋光片,4,0.03%
連接,4,0.03%
記憶,4,0.03%
約,4,0.03%
冷卻,4,0.03%
坩鍋,4,0.03%
電鍍,4,0.03%
90奈米,4,0.03%
空間,4,0.03%
焚化爐,4,0.03%
粉末,4,0.03%
簡單,4,0.03%
介紹,4,0.03%
機物,4,0.03%
矽單晶拋光片的加工技術,4,0.03%
原子,4,0.03%
可行性試驗,4,0.03%
數據,4,0.03%
設備廠商,4,0.03%
反應室,4,0.03%
熱量,4,0.03%
反應槽,4,0.03%
均,4,0.03%
競爭力,4,0.03%
"導體公司案

",4,0.03%
第一卷,4,0.03%
會,4,0.03%
差排現象,4,0.03%
體積,4,0.03%
半導體業者,4,0.03%
結晶罐中,4,0.03%
效率,4,0.03%
e,4,0.03%
dislocation,4,0.03%
區域,4,0.03%
電漿,4,0.03%
19,4,0.03%
十,4,0.03%
佈線,4,0.03%
機械機構,4,0.03%
電腦,4,0.03%
進料,4,0.03%
磷酸三丁酯,4,0.03%
機構,4,0.03%
細分,4,0.03%
級矽,4,0.03%
半導體材料,4,0.03%
過去,4,0.03%
整合,4,0.03%
為成品,4,0.03%
穩定,4,0.03%
特性,4,0.03%
穩定性,4,0.03%
多種,4,0.03%
製造流程,4,0.03%
比重,4,0.03%
備,4,0.03%
圓邊,4,0.03%
污染質為,4,0.03%
汲極,4,0.03%
批,4,0.03%
打線接合技術,4,0.03%
一道步驟,4,0.03%
手冊,4,0.03%
真空區,4,0.03%
製程世代,4,0.03%
蒸餾,4,0.03%
其特點,4,0.03%
客戶的要求,4,0.03%
製程反應室,4,0.03%
"機

",4,0.03%
做,4,0.03%
氧化,4,0.03%
晶圓代工廠商,4,0.03%
聯電,4,0.03%
容器,4,0.03%
電子組件,4,0.03%
容易,4,0.03%
資源化,4,0.03%
塑膠封裝,4,0.03%
膠羽,4,0.03%
風車,4,0.03%
2008,4,0.03%
其優點,4,0.03%
污染源,4,0.03%
開始,4,0.03%
元,4,0.03%
單晶結構,4,0.03%
下面幾道作業,4,0.03%
光,4,0.03%
採用,4,0.03%
"-

",4,0.03%
表4.1,4,0.03%
光阻劑,4,0.03%
術,4,0.03%
先機,4,0.03%
先,4,0.03%
研發,4,0.03%
表面黏著技術,4,0.03%
針測製程,4,0.03%
技術顧問單位,4,0.03%
水相,4,0.03%
度區,4,0.03%
指引作用,4,0.03%
持續,4,0.03%
水質,4,0.03%
5.3,4,0.03%
優勢,4,0.03%
產出,4,0.03%
投資機會,4,0.03%
投資成本,4,0.03%
該系統,4,0.03%
時,4,0.03%
大部分,4,0.03%
磊晶,4,0.03%
晶圓製程,4,0.03%
晶圓板,4,0.03%
機器,4,0.03%
電,4,0.03%
依據,4,0.03%
股份,4,0.03%
個,4,0.03%
矽晶柱,4,0.03%
考量,4,0.03%
削劑,4,0.03%
60,4,0.03%
減廢,4,0.03%
測,4,0.03%
氣,4,0.03%
材質,4,0.03%
相對,4,0.03%
瑕疵,4,0.03%
考慮,4,0.03%
美國市場,4,0.03%
生產過程,4,0.03%
圖5.3,4,0.03%
困難,4,0.03%
現況,4,0.03%
酸鹼,4,0.03%
機械,4,0.03%
必須,4,0.03%
地方,4,0.03%
吸收劑,4,0.03%
密度,4,0.03%
腳數,4,0.03%
保護,4,0.03%
混合,4,0.03%
機台,4,0.03%
機台測試,4,0.03%
"混合物
",4,0.03%
情形,4,0.03%
性能,4,0.03%
試,4,0.03%
疫情,4,0.03%
製造商,4,0.03%
成,4,0.03%
右圖,3,0.02%
顧問,3,0.02%
圓片,3,0.02%
科技,3,0.02%
各家,3,0.02%
圓,3,0.02%
單晶矽,3,0.02%
