Entity,EntityIndex,Relation,RelationIndex
"['', '內部增益', '其靈敏度', '光子水準']","[1, 4, 7, 12]","['高', '使', '達到']","[2, 5, 9]"
"['陽光條件下', '距離', '時', '訊噪', '性能']","[7, 10, 13, 18, 20]","['明亮', '進行', '長', '測', '提供', '佳']","[3, 8, 9, 11, 14, 16]"
"['其他優勢', '電源偏置', '溫度變化敏感性']","[1, 7, 14]","['包括', '低', '低']","[2, 4, 10]"
"['應用', '市場', '方案']","[2, 6, 8]","['實現', '廣大']","[1, 4]"
['其他感知模式互補'],[5],"['通過', '提供', '冗餘']","[0, 7, 8]"
"['安森美半導體汽車感測部門', '總監', '', '解析度深度數據', '挑戰的微光條件下', '識別物體']","[3, 5, 11, 15, 23, 28]","['資深', '表示', '提供', '高', '充滿', '準確']","[4, 7, 10, 12, 18, 25]"
"['距離、高性價比', '方案']","[7, 9]","['提供', '遠']","[1, 2]"
"['我們', '我們的感測器組合']","[0, 7]",['加強'],[3]
"['多樣化', '感知模式']","[1, 6]","['提供', '互補']","[0, 3]"
"['技術與市場分析師', '汽車全', '一個關鍵', '部分']","[4, 17, 23, 25]","['表示', '視為', '實現', '自主', '化', '組成']","[6, 14, 15, 18, 19, 24]"
"['符合車規', '性能水準的感測器']","[2, 9]","['生產', '具有', '足夠']","[0, 4, 5]"
"['半導體全製程', '晶圓', '出廠']","[2, 6, 8]","['介紹', '到']","[3, 7]"
"['晶片', '03', '30', '技術', '于資訊', '基本', '晶圓', '經過', '', 'Cleaning）']","[3, 10, 12, 14, 19, 24, 30, 32, 34, 39]","['看完', '知道', '製造', '有', '困難', '製程', '先', '適當']","[0, 2, 4, 5, 7, 22, 31, 33]"
"['蝕刻', '技術']","[2, 6]",['利用'],[1]
"['整片晶圓', '原子的植入']","[3, 8]","['進行', '磷']","[4, 5]"
"['製程', '此']","[0, 3]",['進行'],[1]
"['我們', '電路', '電晶體及部份的字符線']","[0, 5, 13]","['構成', '集成', '需']","[3, 4, 7]"
"['金屬', '製程']","[2, 4]","['進行', '化']","[1, 3]"
"['每一道步驟', '後', '一些電性', '物理特性']","[5, 8, 14, 17]","['加工', '完', '進行', '量測']","[6, 7, 11, 18]"
"['矽晶圓上', '電晶體', '其它電子組件', '最後', '產品', '電性測試區作電性量測']","[4, 6, 10, 12, 17, 24]","['製造', '加工', '完成', '送到']","[5, 14, 15, 20]"
"['2', '蝕刻', '我們', '電路圖']","[0, 2, 7, 11]","['經過', '定義', '出', '需要']","[3, 5, 6, 9]"
"['', '空區']","[2, 5]","['稱', '為', '真']","[1, 3, 4]"
"['', '膜區']","[3, 7]","['稱', '為', '薄']","[2, 4, 6]"
"['空區中', '一站', '晶圓', '區']","[3, 6, 8, 11]","['真', '有', '稱為', '收']","[1, 4, 7, 10]"
"['我們', '晶片']","[1, 5]",['製造'],[3]
"['某一電性量測值的變異判斷某一道', '製程', '任何']","[10, 12, 15]","['相關', '發生', '異常']","[11, 14, 16]"
"['純度', '矽礦', '熔爐中']","[3, 7, 10]","['高', '放入']","[5, 8]"
"['矽晶柱', '要求的電性特質']","[4, 9]","['使', '產生', '出來', '擁有']","[0, 1, 2, 5]"
"['所有物質', '後', '單晶的矽晶柱']","[4, 6, 11]","['需要', '融化', '長成']","[1, 5, 8]"
"['以下', '所有晶柱', '製程', '介紹']","[0, 4, 6, 8]","['長成', '做']","[5, 7]"
"['此種', '排差', '控制', '差局', '頸部的成長']","[1, 3, 8, 13, 18]","['零', '為', '排', '限']","[2, 10, 12, 14]"
"['晶體', '', '變化', '來', '', '直徑']","[0, 7, 10, 12, 16, 18]","['成長', '拉速', '固定', '']","[1, 6, 15, 16]"
"['晶棒', '階段的拉速']","[2, 6]","['成長', '降低']","[3, 10]"
"['尾部', '晶體', '需要', '長度後']","[0, 6, 11, 15]","['成長', '成長', '固定']","[1, 7, 9]"
"['頭尾的晶棒', '外徑', '切片', '處理']","[4, 8, 11, 15]","['裁', '切掉', '進行', '研磨']","[0, 1, 7, 9]"
"['以下', '晶柱的後', '製程', '介紹']","[0, 5, 7, 9]","['處理', '做']","[6, 8]"
"['其邊緣', '平面', '直角']","[1, 5, 9]","['垂直', '切割', '為', '銳利']","[2, 4, 6, 7]"
"['製程中', '微粒的來源']","[3, 7]","['為', '污染']","[1, 4]"
"['半導體', '中']","[4, 6]",['製成'],[5]
"['計算機數值', '機台', '切片晶圓的邊緣形狀與外徑尺寸']","[3, 5, 15]","['化', '自動', '修整']","[4, 6, 7]"
"['同時', '晶圓表面', '平坦度']","[0, 3, 10]","['使', '達到', '進行', '拋光', '處理']","[1, 4, 6, 7, 8]"
"['蝕刻', '前述', '後']","[0, 6, 9]","['加工', '製程']","[7, 8]"
"['表面', '應力', '一層損傷層']","[0, 3, 8]","['加工', '形成']","[2, 5]"
"['製程', '邊緣', '表面', '兩種邊緣', 'Polishing']","[1, 4, 7, 11, 15]","['區分為', '拋光', '拋光', '拋光']","[3, 5, 8, 12]"
"['晶圓', '機械強度']","[2, 8]","['使', '具備', '佳']","[1, 3, 5]"
"['設備', '技術層面']","[3, 7]","['需要', '昂貴', '高']","[1, 4, 9]"
"['不良品', '成本']","[3, 6]","['避免', '增加', '製造']","[1, 4, 5]"
"['製程', '測試配件']","[1, 7]","['針測', '換上', '不同']","[0, 3, 4]"
"['測試廠', '測試機台的使用率']","[2, 8]","['為', '提高']","[3, 4]"
"['測試的服務', '晶片測試的訂單']","[5, 11]","['提供', '接受']","[1, 7]"
"['其流程', '下面幾道作業', '1', '測', '作', 'Sorting）', '', '目', '一顆晶粒的電氣特性']","[1, 6, 9, 12, 14, 19, 22, 24, 35]","['包括', '產品', '（', '是']","[2, 15, 17, 25]"
"['良率的高低', '晶圓', '過程']","[3, 7, 10]","['判', ' 斷', '製造', '有誤']","[5, 6, 8, 12]"
"['良品率', '時', '晶圓', '過程一切']","[0, 2, 4, 7]","['高', '表示', '製造', '正常']","[1, 3, 5, 8]"
"['晶圓', '過程中']","[2, 6]","['表示', '製造']","[0, 3]"
"['電路的產品', '其', '晶圓針', '時', '測試結果數據', '雷射修補機中']","[4, 7, 10, 12, 18, 23]","['擁有', '測', '產生', '送往']","[0, 11, 14, 20]"
"['產品', '其電性功能', '分類', 'Bin']","[5, 9, 11, 15]","['測試', '作', '分']","[3, 10, 14]"
"['等級產品的評價依據', '最後', '產品', '外觀檢驗', '作業']","[7, 9, 12, 15, 19]","['作為', '不同', '作']","[0, 2, 13]"
"['電性功能測試', '產品之各種電性參數', '測試', '產品']","[2, 10, 12, 15]","['進行', '確定', '正常', '運作']","[11, 14, 17, 18]"
"['測試之機台', '產品', '測試項目', '測試程序', '外觀檢驗之項目']","[3, 6, 10, 16, 22]","['不同', '加載', '不同', '繁多']","[7, 12, 13, 23]"
"['表面', '技術的發展']","[2, 7]",['黏'],[3]
"['分類機會', '其每顆', '測品的電性測試結果', '分類', '此', '產品', '過程', '分類機內', '裝置']","[1, 5, 11, 14, 16, 18, 23, 27, 30]","['作', '分', '有', '升溫']","[13, 19, 28, 29]"
"['者', '同一測試機台上多台分類機', '測試程序同時', '測品的測試']","[1, 11, 17, 23]","['不同', '進行', '不同', '批待']","[13, 18, 19, 20]"
"['本', '測品的現象']","[6, 10]","['產生', '批待', '產生']","[3, 7, 11]"
"['其目', '測品一個高溫', '電壓', '電流的環境']","[1, 9, 12, 16]","['在於', '提供', '高', '高']","[2, 3, 10, 13]"
"['後', '96個小時內', '測品', '物理特性', '前', '測試機台測試']","[2, 9, 11, 15, 18, 24]","['消退', '完成']","[17, 19]"
"['內容', '位置歪斜度及內容的清晰度']","[0, 9]","['包括', '等']","[1, 11]"
"['人工', '抽驗']","[3, 7]","['利用', '進行', '檢腳']","[2, 4, 5]"
"['產品', '烘烤爐中', '烘烤']","[0, 4, 6]","['進', '進行']","[2, 5]"
"['產品', '客戶手中之前', '水氣的腐蝕', '測品的質量']","[1, 7, 12, 17]","['使', '送至', '影響待']","[0, 3, 14]"
"['測試廠', '', '服務']","[0, 4, 9]","['提供', '所謂']","[2, 3]"
"['引腳', '型']","[2, 4]","['為', '插入']","[1, 3]"
"['表面', '型']","[3, 6]","['為', '黏']","[2, 4]"
"['外觀及', '應用', '下圖', '構裝名稱', '應用產品', ',ROM', '敘述如下', '（1', '）', '', 'IC的兩']","[3, 5, 8, 12, 15, 18, 65, 68, 73, 75, 82]","['常見', '相關', '請見', '     Single In-Line Package(SIP) Power Transistor      Dual In-Line Package(DIP) SRAM', '：']","[0, 4, 6, 16, 66]"
"['另一種', '表面', '技術的構裝方式']","[3, 6, 12]","['有別於', '適用', '黏']","[0, 4, 7]"
"['系列型態', '', '', '', '']","[2, 9, 14, 17, 22]","['包括', '有']","[3, 4]"
"['產品', '', '', '']","[5, 8, 11, 13]","['包括', '主要', '有']","[3, 7, 9]"
"['電子構裝', '技術', '必須', '', '', '連接']","[2, 4, 8, 11, 13, 15]",['製造'],[3]
