Entity,EntityIndex,Relation,RelationIndex
['安森美半導體'],[2],[],[]
"['今天', '系列矽光電倍增管（']","[0, 8]",['發表'],[1]
"['將光學雷達', '能力擴展', '廣泛', '感測方案陣容']","[2, 7, 11, 15]","['到', '其', '']","[8, 9, 11]"
"['是', '上首款符合', '']","[2, 6, 8]",['車規'],[7]
"['汽車產業', '領域', '不', '']","[4, 6, 9, 12]","['滿足', '需求']","[1, 13]"
"['是', '1', '素陣列']","[2, 4, 8]","['-', '-', '×', '像']","[0, 1, 5, 7]"
"['安森美半導體', '市場的製程']","[3, 7]","['基於', '領先']","[0, 4]"
"['紅外', '']","[3, 7]","['可', '實現']","[0, 1]"
"['905奈米', 'nm', '業界的18.5％的光子偵測效率']","[5, 7, 20]","['nm', '處達', '到', '領先']","[7, 9, 10, 11]"
"['', '增益使', '敏度可', '水準']","[0, 3, 6, 9]","['其靈', '達到', '單光子']","[4, 7, 8]"
['功能'],[1],"['結合', '使用']","[3, 4]"
['返回信號'],[6],"['可以', '檢測', '微弱']","[0, 1, 3]"
[],[],[],[]
['反射目標'],[4],['是'],[1]
['距離'],[7],"['能', '偵測', '到', '遠']","[1, 2, 3, 5]"
[],[],[],[]
"['產品', '（', '協會）和按照', '推動', '）的技術規範']","[1, 4, 11, 16, 21]","['符合', '-']","[2, 3]"
['近年來'],[3],['\r\n\r\n'],[0]
"['其', '功能組']","[1, 5]","['獨特', '組']","[2, 5]"
"['市場', '感測應用', '感測器']","[4, 8, 10]","['成', '為廣']","[1, 2]"
"['能', '', '條件下', '距時', '', '比性能']","[0, 3, 6, 10, 13, 16]","['在', '', '下', '長距', '最佳', '']","[1, 3, 6, 8, 12, 13]"
"['優勢', '電源偏置', '溫度變化敏感性']","[1, 6, 12]",['包括'],[2]
"['其', '光電二極體', '', '', '產品']","[1, 7, 10, 12, 15]","['使', '成為', '使用']","[0, 2, 3]"
"['採用', '製程生產']","[0, 3]",['大批量'],[1]
['偵測器成本'],[5],"['可', '實現']","[0, 1]"
['市場的方案'],[8],"['實現', '應用', '市場']","[2, 3, 6]"
"['激光', '物體的距離', '汽車', '和', '應用領域']","[2, 6, 10, 12, 15]","['\r\n\r\n', '使用', '測量', '跨越']","[0, 1, 3, 8]"
['汽車領域'],[2],['領域'],[2]
"['可用於', '駕駛', '系統（）']","[1, 5, 9]","['提升', '安全性', '和']","[2, 3, 4]"
"['', '感知模式', '冗餘']","[1, 4, 8]","['模式', '互補', '提供']","[4, 5, 7]"
"['車道保持', '交通擁堵輔助', '功能']","[3, 7, 9]",['輔助'],[0]
"['普遍', '使用']","[1, 7]","['正', '自動']","[0, 4]"
['機器人運輸'],[2],[],[]
['環境'],[5],"['安全', '導航']","[1, 4]"
"['於-', '']","[2, 4]","['受益', '於']","[0, 1]"
