Segmented Element,POS
安森美半導體,
（,PARENTHESISCATEGORY
ON Semiconductor,FW
）,PARENTHESISCATEGORY
，,COMMACATEGORY
今天,Nd
發表,VC
新,VH
的,DE
RDM,FW
系列,Na
矽光電倍增管,
（,PARENTHESISCATEGORY
SiPM,FW
）,PARENTHESISCATEGORY
 ,FW
陣列,Na
，,COMMACATEGORY
將,P
光學,Na
雷達,Na
 ,FW
（,PARENTHESISCATEGORY
LiDAR,FW
）,PARENTHESISCATEGORY
 ,FW
感測器,Na
能力,Na
擴展到,VC
其,Nep
廣泛,VH
的,T
智慧感測方案,
陣容,Na
。,PERIODCATEGORY
ArrayRDM-0112A20-QFN,
是,SHI
市場,Nc
上,Ncd
首,Nes
款,Nf
符合,VJ
車規,Na
的,DE
SiPM,FW
產品,Na
，,COMMACATEGORY
以,P
滿足,VHC
汽車,Na
產業,Na
及,Caa
其他,Neqa
領域,Na
LiDAR,FW
應用,Na
中,Ng
不斷,D
增長,VHC
的,DE
需求,Na
。,PERIODCATEGORY
ArrayRDM-0112A20-QFN,
是,SHI
單片,Na
1,Neu
×,FW
12,Neu
 ,FW
SiPM,FW
像素,Na
陣列,Na
，,COMMACATEGORY
基於,P
安森美半導體,
領先,VJ
市場,Nc
的,T
RDM製程,
，,COMMACATEGORY
可,D
實現,VC
對,P
近,VH
紅,VH
外 ,Na
（,PARENTHESISCATEGORY
NIR,FW
）,PARENTHESISCATEGORY
 ,FW
光,Na
的,DE
高,VH
靈敏度,Na
，,COMMACATEGORY
從而,Cbb
在,P
905,Neu
奈米,Nf
（,PARENTHESISCATEGORY
nm,FW
）,PARENTHESISCATEGORY
處,D
達到,VJ
領先,VH
業界,Nc
的,DE
18.5,Neu
％,Nf
的,DE
光子,Na
偵測,Nv
效率,Na
 ,FW
（,PARENTHESISCATEGORY
PDE,FW
）,PARENTHESISCATEGORY
。,PERIODCATEGORY
SiPM,FW
的,DE
高,VH
內部,Ncd
增益,Nv
使,VL
其,Nep
靈敏度,Na
可,D
達到,VJ
單,A
光子,Na
水準,Na
，,COMMACATEGORY
該,D
功能,Na
與,Caa
高,VH
PDE,FW
結合,Nv
使用,Nv
，,COMMACATEGORY
可以,D
檢測,VC
最,Dfa
微弱,VH
的,DE
返回,VCL
信號,Na
。,PERIODCATEGORY
因此,Cbb
，,PERIODCATEGORY
即使,Cbb
是,SHI
低,VH
反射,Nv
目標,Na
，,COMMACATEGORY
也,D
能,D
偵測到,VC
更,D
遠,VH
的,DE
距離,Na
。,PERIODCATEGORY
此外,Cbb
，,COMMACATEGORY
該,Nes
產品,Na
符合,VJ
AEC-Q102,
（,PARENTHESISCATEGORY
國際汽車電子協會,
）,PARENTHESISCATEGORY
和,Caa
按照,P
 ,FW
IATF,FW
 ,FW
16949,Neu
（,PARENTHESISCATEGORY
國際汽車推動小組,
）,PARENTHESISCATEGORY
的,DE
技術,Na
規範,Na
開發,Nv
。,PERIODCATEGORY
    ,PER
SiPM,FW
技術,Na
近年,Nd
來,D
蓬勃,VH
發展,VC
，,COMMACATEGORY
由於,Cbb
其,Nep
獨特,VH
的,DE
功能組,Na
，,COMMACATEGORY
已,D
成為,VG
廣大,VH
市場,Nc
深度,Na
感測,Nv
應用,Na
的,DE
首選,Na
感測器,Na
