Relation,Count,Ratio
為,238,6.83%
高,153,4.39%
回收,124,3.56%
製造,110,3.16%
化,109,3.13%
利用,101,2.9%
包括,91,2.61%
產生,89,2.55%
進行,88,2.53%
來,72,2.07%
進行,70,2.01%
不同,65,1.87%
提供,64,1.84%
新,63,1.81%
萃取,61,1.75%
清洗,61,1.75%
增加,60,1.72%
相關,58,1.66%
成長,57,1.64%
生產,57,1.64%
採用,54,1.55%
低,53,1.52%
經過,49,1.41%
加工,48,1.38%
達到,48,1.38%
發展,47,1.35%
讓,44,1.26%
成為,44,1.26%
熱,44,1.26%
分為,43,1.23%
晶圓,42,1.21%
廢,42,1.21%
處理,41,1.18%
先進,40,1.15%
降低,39,1.12%
控制,37,1.06%
製程,36,1.03%
設備,34,0.98%
含,34,0.98%
類,34,0.98%
提高,33,0.95%
拋光,33,0.95%
作為,33,0.95%
減少,33,0.95%
設計,33,0.95%
相對,32,0.92%
了,31,0.89%
影響,30,0.86%
維持,30,0.86%
系統,29,0.83%
稱為,29,0.83%
進入,28,0.8%
利用,28,0.8%
用於,28,0.8%
考慮,28,0.8%
不,28,0.8%
加,28,0.8%
分,28,0.8%
獲得,28,0.8%
做,27,0.77%
快速,26,0.75%
持續,26,0.75%
投資,26,0.75%
應用,25,0.72%
需,25,0.72%
後,24,0.69%
於,24,0.69%
無,24,0.69%
技術,24,0.69%
污染,23,0.66%
作,23,0.66%
製作,22,0.63%
符合,22,0.63%
通過,22,0.63%
操作,22,0.63%
固定,22,0.63%
接合,22,0.63%
擴散,22,0.63%
縮小,21,0.6%
製,21,0.6%
吸收,21,0.6%
投入,21,0.6%
代工,21,0.6%
吸附,21,0.6%
具,21,0.6%
超,21,0.6%
包含,20,0.57%
分離,20,0.57%
供,20,0.57%
開始,20,0.57%
研磨,20,0.57%
在於,20,0.57%
收集,19,0.55%
降,19,0.55%
穩定,18,0.52%
具備,18,0.52%
發生,18,0.52%
達,18,0.52%
確保,18,0.52%
成,17,0.49%
結合,17,0.49%
排放,17,0.49%
產品,17,0.49%
測,17,0.49%
半導體,17,0.49%
產出,16,0.46%
選擇,16,0.46%
黏,16,0.46%
係,16,0.46%
組成,16,0.46%
更,16,0.46%
不斷,16,0.46%
生成,16,0.46%
超額,15,0.43%
佳,15,0.43%
酸,15,0.43%
時,15,0.43%
認為,15,0.43%
適當,15,0.43%
不易,15,0.43%
出現,15,0.43%
稱,15,0.43%
連接,15,0.43%
成本,15,0.43%
去除,15,0.43%
完整,14,0.4%
提升,14,0.4%
洗滌,14,0.4%
植入,14,0.4%
薄,14,0.4%
料,14,0.4%
清潔,14,0.4%
顯示,14,0.4%
焚化,14,0.4%
烘烤,14,0.4%
長,14,0.4%
中,14,0.4%
確定,13,0.37%
寬,13,0.37%
均勻,13,0.37%
曝光,13,0.37%
純化,13,0.37%
實際,13,0.37%
排出,13,0.37%
改善,13,0.37%
採,13,0.37%
提出,13,0.37%
沒有,13,0.37%
自動,13,0.37%
沉積,13,0.37%
做為,13,0.37%
傳統,12,0.34%
變動,12,0.34%
切割,12,0.34%
水,12,0.34%
個,12,0.34%
擁有,12,0.34%
實現,12,0.34%
採購,12,0.34%
複雜,12,0.34%
添加,12,0.34%
混合,12,0.34%
適合,12,0.34%
快,12,0.34%
規劃,12,0.34%
廣泛,12,0.34%
廢水,12,0.34%
放,12,0.34%
進,12,0.34%
表面,12,0.34%
裝置,12,0.34%
處理,12,0.34%
指,12,0.34%
決定,12,0.34%
清除,12,0.34%
滿足,12,0.34%
分析,12,0.34%
區分為,11,0.32%
矽,11,0.32%
運用,11,0.32%
配合,11,0.32%
燃燒,11,0.32%
微,11,0.32%
資源,11,0.32%
保護,11,0.32%
拋,11,0.32%
導致,11,0.32%
潔淨,11,0.32%
製成,11,0.32%
欲,11,0.32%
合作,11,0.32%
介紹,11,0.32%
處於,11,0.32%
市場,10,0.29%
改變,10,0.29%
占,10,0.29%
短,10,0.29%
簡單,10,0.29%
成熟,10,0.29%
選用,10,0.29%
用來,10,0.29%
達成,10,0.29%
超過,10,0.29%
開發,10,0.29%
整合,10,0.29%
帶動,10,0.29%
含有,10,0.29%
切削,10,0.29%
示,10,0.29%
為主,10,0.29%
接受,10,0.29%
說,10,0.29%
觀察,10,0.29%
消耗,10,0.29%
接觸,10,0.29%
降低,10,0.29%
矽晶,9,0.26%
構裝,9,0.26%
晶矽,9,0.26%
設定,9,0.26%
氧化,9,0.26%
取代,9,0.26%
化學,9,0.26%
調整,9,0.26%
供應,9,0.26%
出貨,9,0.26%
較,9,0.26%
波動,9,0.26%
蒸餾,9,0.26%
種,9,0.26%
蝕刻,9,0.26%
分配,9,0.26%
回,9,0.26%
行業,9,0.26%
晶片,9,0.26%
適用,9,0.26%
屬,9,0.26%
委託,9,0.26%
邁向,9,0.26%
提,9,0.26%
流程,9,0.26%
提昇,9,0.26%
率,9,0.26%
%,9,0.26%
磷酸,8,0.23%
溶劑,8,0.23%
測試,8,0.23%
平均,8,0.23%
真,8,0.23%
壓,8,0.23%
推進,8,0.23%
輸送,8,0.23%
重複,8,0.23%
蒸發,8,0.23%
氣體,8,0.23%
支出,8,0.23%
利,8,0.23%
成分,8,0.23%
再生,8,0.23%
研究,8,0.23%
圖,8,0.23%
帶,8,0.23%
設,8,0.23%
節,8,0.23%
密閉,8,0.23%
評估,8,0.23%
常用,8,0.23%
純,8,0.23%
破壞,8,0.23%
量,8,0.23%
困難,8,0.23%
一樣,8,0.23%
「,8,0.23%
沖洗,8,0.23%
送往,8,0.23%
建立,8,0.23%
導入,8,0.23%
自動化,8,0.23%
顯著,8,0.23%
呈現,8,0.23%
見,8,0.23%
過程,8,0.23%
過,8,0.23%
廢棄,8,0.23%
切割,8,0.23%
置於,8,0.23%
切削油,8,0.23%
擴大,8,0.23%
反,8,0.23%
泥,8,0.23%
檢測,8,0.23%
通入,8,0.23%
負責,7,0.2%
力,7,0.2%
研發,7,0.2%
妥善,7,0.2%
支援,7,0.2%
屬於,7,0.2%
追求,7,0.2%
全球化,7,0.2%
攪拌,7,0.2%
厚,7,0.2%
發現,7,0.2%
正,7,0.2%
方式,7,0.2%
少,7,0.2%
說,7,0.2%
時間,7,0.2%
著,7,0.2%
位於,7,0.2%
面臨,7,0.2%
異,7,0.2%
二,7,0.2%
封裝,7,0.2%
上行,7,0.2%
廢氣,7,0.2%
所謂,7,0.2%
脫水,7,0.2%
若,7,0.2%
開,7,0.2%
年,7,0.2%
推動,7,0.2%
從事,7,0.2%
領先,7,0.2%
嚴格,7,0.2%
解決,7,0.2%
完,7,0.2%
轉換,7,0.2%
作業,7,0.2%
擴張,7,0.2%
滲透,7,0.2%
量測,7,0.2%
伴隨,7,0.2%
輸出,7,0.2%
溶解,7,0.2%
切,7,0.2%
成形,7,0.2%
殘留,7,0.2%
連接,7,0.2%
足夠,7,0.2%
出來,7,0.2%
生長,7,0.2%
液,7,0.2%
附,7,0.2%
吸,7,0.2%
值得,7,0.2%
帶來,7,0.2%
排,7,0.2%
產業,7,0.2%
難,6,0.17%
高達,6,0.17%
有關,6,0.17%
反應,6,0.17%
 成,6,0.17%
有機,6,0.17%
小於,6,0.17%
材料,6,0.17%
寬鬆,6,0.17%
氫,6,0.17%
代表,6,0.17%
維護,6,0.17%
置,6,0.17%
參考,6,0.17%
預期,6,0.17%
蝕,6,0.17%
檢驗,6,0.17%
經濟,6,0.17%
融化,6,0.17%
應,6,0.17%
交換,6,0.17%
因應,6,0.17%
成立,6,0.17%
裝,6,0.17%
細分,6,0.17%
將,6,0.17%
佔,6,0.17%
10,6,0.17%
製造商,6,0.17%
精確,6,0.17%
細微,6,0.17%
委外,6,0.17%
光阻,6,0.17%
變成,6,0.17%
方法,6,0.17%
新鮮,6,0.17%
從,6,0.17%
準備,6,0.17%
執行,6,0.17%
定,6,0.17%
分成,6,0.17%
溶於,6,0.17%
放置,6,0.17%
轉往,6,0.17%
分開,6,0.17%
近,6,0.17%
送,6,0.17%
送到,6,0.17%
建議,6,0.17%
這樣,6,0.17%
大於,6,0.17%
判斷,6,0.17%
加速,6,0.17%
前,6,0.17%
獲取,6,0.17%
特別,6,0.17%
遠,6,0.17%
負,6,0.17%
周期,6,0.17%
變得,6,0.17%
內,6,0.17%
容易,6,0.17%
探討,6,0.17%
試,6,0.17%
積體,6,0.17%
消除,6,0.17%
兩,6,0.17%
詳細,6,0.17%
繁多,5,0.14%
清晰,5,0.14%
移動,5,0.14%
發展出,5,0.14%
產製,5,0.14%
缺少,5,0.14%
留下,5,0.14%
當,5,0.14%
包裝,5,0.14%
取,5,0.14%
促進,5,0.14%
稀釋,5,0.14%
建構,5,0.14%
受,5,0.14%
濃度,5,0.14%
依賴,5,0.14%
則,5,0.14%
考,5,0.14%
加熱,5,0.14%
加溫,5,0.14%
空氣,5,0.14%
燒結,5,0.14%
比較,5,0.14%
都,5,0.14%
發揮,5,0.14%
修正,5,0.14%
典型,5,0.14%
瞭解,5,0.14%
細,5,0.14%
沾附,5,0.14%
良率,5,0.14%
碰撞,5,0.14%
良好,5,0.14%
減低,5,0.14%
量產,5,0.14%
濾,5,0.14%
冷卻,5,0.14%
沈積,5,0.14%
絕對,5,0.14%
吃緊,5,0.14%
停留,5,0.14%
差,5,0.14%
工廠,5,0.14%
龐大,5,0.14%
納入,5,0.14%
溶,5,0.14%
相當,5,0.14%
 化,5,0.14%
紅,5,0.14%
確認,5,0.14%
約,5,0.14%
平衡,5,0.14%
微粒,5,0.14%
強,5,0.14%
永續,5,0.14%
白,5,0.14%
污,5,0.14%
廢液,5,0.14%
作用,5,0.14%
明顯,5,0.14%
電路,5,0.14%
變,5,0.14%
安裝,5,0.14%
擴產,5,0.14%
蒸,5,0.14%
機構,5,0.14%
送至,5,0.14%
IC,5,0.14%
接,5,0.14%
整理,5,0.14%
~,5,0.14%
收縮,5,0.14%
放入,5,0.14%
外,5,0.14%
整體,5,0.14%
構成,5,0.14%
趨於,5,0.14%
趨弱,5,0.14%
超高,5,0.14%
電子,5,0.14%
持有,5,0.14%
散熱,5,0.14%
久,5,0.14%
步驟,5,0.14%
堝,5,0.14%
批待,5,0.14%
單晶,5,0.14%
該,5,0.14%
搶得,5,0.14%
覆蓋,5,0.14%
設置,5,0.14%
運轉,5,0.14%
採取,5,0.14%
增大,4,0.11%
接近,4,0.11%
晶體,4,0.11%
推出,4,0.11%
原物料,4,0.11%
捕集,4,0.11%
增速,4,0.11%
針測,4,0.11%
出,4,0.11%
計算,4,0.11%
突破,4,0.11%
協助,4,0.11%
參考,4,0.11%
積極,4,0.11%
減廢,4,0.11%
鍍,4,0.11%
數,4,0.11%
上市,4,0.11%
淘汰,4,0.11%
長成,4,0.11%
變化,4,0.11%
混入,4,0.11%
知,4,0.11%
謹慎,4,0.11%
旋轉,4,0.11%
請,4,0.11%
說明,4,0.11%
接腳,4,0.11%
趨緩,4,0.11%
平坦,4,0.11%
揮發,4,0.11%
離子,4,0.11%
進展,4,0.11%
到達,4,0.11%
進步,4,0.11%
濕,4,0.11%
操,4,0.11%
部份,4,0.11%
切成,4,0.11%
運輸,4,0.11%
摻雜,4,0.11%
趨勢,4,0.11%
切除,4,0.11%
剩下,4,0.11%
特,4,0.11%
物質,4,0.11%
割,4,0.11%
搭配,4,0.11%
燒成,4,0.11%
搬運,4,0.11%
燃,4,0.11%
離,4,0.11%
利,4,0.11%
進口,4,0.11%
D,4,0.11%
準確,4,0.11%
劣化,4,0.11%
零件,4,0.11%
希望,4,0.11%
強大,4,0.11%
敘述,4,0.11%
流,4,0.11%
滲,4,0.11%
SiC,4,0.11%
