Relation,Count,Ratio
為,155,3.18%
包括,93,1.91%
產生,90,1.85%
進行,90,1.85%
提供,79,1.62%
必須,78,1.6%
製程,74,1.52%
高,70,1.44%
會,66,1.35%
進行,65,1.33%
增加,63,1.29%
利用,60,1.23%
"
",57,1.17%
回收,56,1.15%
分為,54,1.11%
採用,53,1.09%
製造,52,1.07%
晶圓,51,1.05%
清洗,51,1.05%
於,51,1.05%
需,51,1.05%
圖,49,1.01%
測試,48,0.98%
發展,44,0.9%
技術,44,0.9%
後,43,0.88%
達到,43,0.88%
所示,41,0.84%
做,40,0.82%
"

",40,0.82%
提高,39,0.8%
分離,39,0.8%
低,39,0.8%
中,38,0.78%
影響,37,0.76%
去除,37,0.76%
成,37,0.76%
生產,37,0.76%
控制,35,0.72%
成為,35,0.72%
減少,35,0.72%
設備,34,0.7%
蝕刻,34,0.7%
新,34,0.7%
過程,33,0.68%
不同,33,0.68%
應用,32,0.66%
方式,31,0.64%
考慮,31,0.64%
所需,31,0.64%
萃取,30,0.62%
處理,30,0.62%
進入,30,0.62%
研磨,30,0.62%
成長,30,0.62%
利用,30,0.62%
維持,28,0.57%
應,27,0.55%
作為,27,0.55%
廢水,26,0.53%
晶片,25,0.51%
系統,24,0.49%
資料,24,0.49%
矽晶,24,0.49%
進,23,0.47%
產品,23,0.47%
結合,23,0.47%
符合,23,0.47%
反應,22,0.45%
開始,22,0.45%
封裝,22,0.45%
稱為,22,0.45%
表面,21,0.43%
顯示,21,0.43%
操作,21,0.43%
包含,21,0.43%
稱,21,0.43%
具備,20,0.41%
流程,20,0.41%
公司,20,0.41%
發生,19,0.39%
固定,19,0.39%
選擇,19,0.39%
產,18,0.37%
拋光,18,0.37%
評估,18,0.37%
說明,18,0.37%
特性,18,0.37%
決定,18,0.37%
溶劑,18,0.37%
提升,17,0.35%
設計,17,0.35%
出現,17,0.35%
用於,17,0.35%
達,17,0.35%
分析,17,0.35%
收集,16,0.33%
夠,16,0.33%
"

 

",16,0.33%
獲,16,0.33%
加工,16,0.33%
超過,16,0.33%
投入,16,0.33%
廢氣,15,0.31%
樣,15,0.31%
予以,15,0.31%
表,15,0.31%
觀察,15,0.31%
經過,15,0.31%
定,15,0.31%
污泥,15,0.31%
為主,15,0.31%
穩定,15,0.31%
製作,14,0.29%
出,14,0.29%
將會,14,0.29%
酸,14,0.29%
作,14,0.29%
磷酸,14,0.29%
機,14,0.29%
須,14,0.29%
" 
 
",14,0.29%
代表,14,0.29%
降低,14,0.29%
"


",14,0.29%
研究,14,0.29%
氣體,14,0.29%
程序,14,0.29%
水,13,0.27%
先,13,0.27%
排放,13,0.27%
規劃,13,0.27%
長,13,0.27%
沒有,13,0.27%
需求,13,0.27%
構裝,13,0.27%
加熱,13,0.27%
2007,13,0.27%
混合,13,0.27%
生成,13,0.27%
時間,13,0.27%
烘烤,13,0.27%
確定,13,0.27%
氧化,12,0.25%
處於,12,0.25%
認為,12,0.25%
複雜,12,0.25%
離子,12,0.25%
成本,12,0.25%
讓,12,0.25%
金屬,12,0.25%
整合,12,0.25%
擴散,12,0.25%
吸附,12,0.25%
導致,12,0.25%
資源化,12,0.25%
純化,12,0.25%
導體,12,0.25%
改善,12,0.25%
加溫,12,0.25%
運用,11,0.23%
改變,11,0.23%
出來,11,0.23%
預期,11,0.23%
滿足,11,0.23%
具,11,0.23%
污染,11,0.23%
放,11,0.23%
送至,11,0.23%
股份,11,0.23%
持續,11,0.23%
均,11,0.23%
係,11,0.23%
矽,11,0.23%
縮,11,0.23%
調整,11,0.23%
通過,11,0.23%
適合,11,0.23%
適當,11,0.23%
確保,11,0.23%
產出,11,0.23%
12,11,0.23%
規格,11,0.23%
適用,11,0.23%
包裝,11,0.23%
空氣,10,0.21%
通入,10,0.21%
產業,10,0.21%
完整,10,0.21%
研發,10,0.21%
切割,10,0.21%
槽,10,0.21%
實現,10,0.21%
合作,10,0.21%
裝置,10,0.21%
作用,10,0.21%
加,10,0.21%
體,10,0.21%
含,10,0.21%
指,10,0.21%
排出,10,0.21%
保護,10,0.21%
採,10,0.21%
短,10,0.21%
步驟,10,0.21%
提出,10,0.21%
組成,10,0.21%
高溫,10,0.21%
達成,10,0.21%
環境,10,0.21%
方法,10,0.21%
簡單,10,0.21%
建立,10,0.21%
結果,10,0.21%
功能,9,0.18%
吸收,9,0.18%
開發,9,0.18%
製成,9,0.18%
