Entity,EntityIndex,Relation,RelationIndex
"['SiPM', '陽光條件下', '距離', '時', '訊噪', '性能']","[0, 7, 10, 13, 18, 20]","['明亮', '進行', '長', '測', '提供', '佳']","[3, 8, 9, 11, 14, 16]"
"['其他優勢', '電源偏置', '溫度變化敏感性']","[1, 7, 14]","['包括', '低', '低']","[2, 4, 10]"
['其他感知模式互補'],[5],"['通過', '提供', '冗餘']","[0, 7, 8]"
"['安森美半導體汽車感測部門', '總監', '', '解析度深度數據', '挑戰的微光條件下', '地識別物體']","[3, 5, 11, 15, 23, 28]","['資深', '表示', '提供', '高', '充滿', '準確']","[4, 7, 10, 12, 18, 25]"
['距離、高性價比的LiDAR方案'],[9],"['提供', '遠']","[1, 2]"
"['多樣化', '感知模式']","[1, 6]","['提供', '互補']","[0, 3]"
"['符合車規', '性能水準的感測器']","[2, 9]","['生產', '具有', '足夠']","[0, 4, 5]"
"['半導體全製程', '晶圓', '出廠']","[2, 6, 8]","['介紹', '到']","[3, 7]"
"['晶片', '2020-03', '30', '技術工程師', '發表于資訊晶圓處理', '基本晶圓', '步驟通常是晶圓', '經過', '清洗']","[3, 10, 12, 15, 21, 25, 30, 32, 35]","['看完', '知道', '製造', '有', '困難', '製程', '先', '適當']","[0, 2, 4, 5, 7, 22, 31, 33]"
"['CVP', '方式', '二氧化矽上']","[0, 3, 10]","['沈積', '長成']","[4, 7]"
"['製程', '此']","[0, 3]",['進行'],[1]
"['每一道步驟', '後', '一些電性', '物理特性']","[5, 8, 14, 17]","['加工', '完', '進行', '量測']","[6, 7, 11, 18]"
"['最後', '產品', '電性測試區作電性量測']","[0, 5, 12]","['加工', '完成', '送到']","[2, 3, 8]"
"['FAB廠內', '四大區', '黃光本區的作用', '照相', '技術']","[2, 7, 14, 17, 21]","['分為', '在於', '利用', '顯微', '縮小']","[5, 15, 16, 18, 19]"
['感光劑'],[2],"['採用', '易', '曝光']","[1, 3, 4]"
"['2', '蝕刻', '我們', '電路圖']","[0, 2, 7, 11]","['經過', '定義', '出', '需要']","[3, 5, 6, 9]"
"['空區中', '一站', '晶圓', '區']","[3, 6, 8, 11]","['真', '有', '稱為', '收']","[1, 4, 7, 10]"
"['某一電性量測值的變異判斷某一道', '製程', '任何']","[10, 12, 15]","['相關', '發生', '異常']","[11, 14, 16]"
"['以下', '所有晶柱', '製程', '介紹']","[0, 4, 6, 8]","['長成', '做']","[5, 7]"
"['功率', '過程', '時']","[1, 7, 9]","['低', '融化', '費', '久']","[3, 5, 8, 11]"
"['晶體', '', '變化的調整來', '晶棒直徑']","[0, 4, 9, 15]","['成長', '拉速', '固定', '']","[1, 3, 12, 13]"
"['晶棒', '階段的拉速']","[2, 6]","['成長', '降低']","[3, 10]"
"['尾部', '晶體', '長度後']","[0, 3, 9]","['成長', '成長', '固定']","[1, 4, 6]"
"['以下', '晶柱的後', '製程', '介紹']","[0, 5, 7, 9]","['處理', '做']","[6, 8]"
"['半導體', '中']","[4, 6]",['製成'],[5]
"['蝕刻', '前述', '後']","[0, 3, 6]","['加工', '製程']","[4, 5]"
"['表面', '應力', '一層損傷層']","[0, 3, 8]","['加工', '形成']","[2, 5]"
"['製程', '邊緣', '表面', '兩種邊緣']","[1, 4, 7, 11]","['區分為', '拋光', '拋光', '拋光']","[3, 5, 8, 12]"
"['晶圓', '機械強度']","[2, 8]","['使', '具備', '佳']","[1, 3, 5]"
"['設備', '技術層面']","[3, 7]","['需要', '昂貴', '高']","[1, 4, 9]"
"['晶圓', '（Chip Probing']","[0, 3]",[],[]
"['不良品', '成本']","[3, 6]","['避免', '增加', '製造']","[1, 4, 5]"
"['半導體', '中']","[0, 2]",[],[]
"['製程', '測試配件']","[1, 7]","['針測', '換上', '不同']","[0, 3, 4]"
"['測試的服務', '晶片測試的訂單']","[5, 11]","['提供', '接受']","[1, 7]"
"['其流程', '下面幾道作業：晶圓針測並作', '測', '目', '測試', '一顆晶粒的電氣特性']","[1, 11, 16, 18, 20, 29]","['包括', '產品', '晶圓針', '是']","[2, 12, 14, 19]"
"['良率的高低', '晶圓', '過程']","[3, 7, 10]","['判', ' 斷', '製造', '有誤']","[5, 6, 8, 12]"
"['良品率', '時', '晶圓', '過程一切']","[0, 2, 4, 7]","['高', '表示', '製造', '正常']","[1, 3, 5, 8]"
"['晶圓', '過程中']","[2, 6]","['表示', '製造']","[0, 3]"
"['產品', '其電性功能', '分類']","[5, 9, 11]","['測試', '作']","[3, 10]"
"['最後', '產品', '外觀檢驗作業']","[0, 3, 7]",['作'],[4]
"['測試之機台', '產品', '測試項目', '測試程序']","[3, 6, 10, 16]","['不同', '加載', '不同']","[7, 12, 13]"
"['表面', '技術的發展']","[2, 7]",['黏'],[3]
"['測品', '分類機內', '測品']","[1, 4, 8]",['定位'],[9]
"['測試機台', '測試產品的電性功能種類', '邏輯IC測試機', 'IC測試機及混合式IC測試機三種']","[1, 8, 14, 23]","['分為', '內存']","[10, 15]"
"['測試機的主要功能', '測品', '電性訊號', '測品', '訊號後', '電性訊號', '產品電性測試結果的判斷']","[3, 7, 12, 16, 19, 24, 32]","['在於', '發出', '需', '接受', '待', '響應', '作出']","[4, 5, 9, 14, 15, 21, 26]"
"['此一', '測品', '測試程序']","[5, 7, 12]","['寫', '控制']","[9, 14]"
"['測品', '一家測試廠中']","[1, 6]",[],[]
"['測品', '電性測試', '一些測試配件：     A', '承載', '測試的自動化機械結構']","[1, 5, 12, 15, 23]","['完成', '需要', '測品', '']","[3, 7, 17, 20]"
"['測品', '測試時所', '溫度的測試環境']","[3, 7, 13]",['提供'],[1]
"['方式', '處理']","[4, 9]","['連接', '分為', '平行']","[2, 7, 8]"
"['大多', '客戶', '']","[1, 3, 5]",['提供'],[4]
"['每批', '測品', '測試機台的測試次數']","[1, 3, 9]","['待', '相同']","[2, 12]"
"['溫度的度數', '客戶', '要求']","[2, 4, 7]",[],[]
"['這', '客戶', '測品', '所']","[0, 5, 8, 11]","['不同', '不同', '待', '有', '不同']","[3, 6, 7, 10, 12]"
"['測品', '上預燒爐里', 'Burn In']","[1, 5, 7]",[],[]
"['其目', '測品一個高溫', '電壓', '電流的環境']","[1, 9, 12, 16]","['在於', '提供', '高', '高']","[2, 3, 10, 13]"
"['生命周期', '', '測品', '過程中', '']","[2, 5, 7, 12, 14]","['使', '短', '待', '提早', '顯現', '出來']","[0, 4, 6, 13, 15, 16]"
"['測品', '回預燒爐', 'Burn In']","[5, 8, 11]",['種'],[6]
"['此作業的目', '此', '測試機台測試', '測品', '數量']","[3, 6, 11, 13, 16]","['完成', '抽出']","[7, 14]"
"['內容', ' Mark的位置歪斜度及內容的清晰度']","[0, 9]","['包括', '等']","[1, 11]"
"['人工', '機器', '測品', '接腳的', '平整性及共面度']","[0, 3, 6, 10, 15]","['檢腳', '檢腳', 'IC', '對稱性']","[1, 4, 7, 11]"
"['產品', '烘烤爐中', '烘烤']","[0, 4, 6]","['進', '進行']","[2, 5]"
"['產品', '客戶手中之前', '水氣的腐蝕', '測品的質量']","[1, 7, 12, 17]","['使', '送至', '影響待']","[0, 3, 14]"
"['標準容器內的待測品的分類', '客戶', '包裝容器內']","[9, 11, 17]","['包裝成', '指定']","[10, 13]"
"['測試廠', '', 'Door to Door', '服務']","[0, 4, 6, 9]","['提供', '所謂']","[2, 3]"
"['客戶', '成品', '客戶', '地方']","[2, 5, 7, 10]","['幫助', '測試完', '送至', '指定']","[1, 4, 6, 8]"
"['表面', '型']","[3, 6]","['為', '黏']","[2, 4]"
"['外觀及', '應用', '下圖構裝', '構裝名稱常見應用產品', ',ROM,', ' EPROM', '敘述如下', 'DIP它的引腳', '長', 'IC的兩']","[3, 5, 9, 15, 19, 53, 65, 70, 72, 76]","['常見', '相關', '請見', '     Single In-Line Package(SIP) Power Transistor      Dual In-Line Package(DIP) SRAM', '：']","[0, 4, 6, 16, 66]"
"['另一種', '表面', '技術的構裝方式']","[3, 6, 12]","['有別於', '適用', '黏']","[0, 4, 7]"
"['SO系列型態', '', '', '', '', 'MSOP']","[2, 6, 8, 11, 13, 16]","['包括', '有']","[3, 4]"
"['Microcompoent', '產品', '', 'MPU、MCU、MPR']","[1, 5, 8, 14]","['包括', '主要', '有']","[3, 7, 9]"
"['大量', '表面', '技術之需求']","[1, 7, 11]","['適合', '生產', '滿足', '黏著']","[0, 2, 6, 8]"
"['/', '腳數']","[5, 7]","['提供', '高', '輸出']","[2, 3, 4]"
"['CPU、航天、軍事', '產品', '陶瓷構裝之必要性']","[5, 7, 14]","['有', '使用']","[9, 10]"
"['此技術', '晶片', '導線架上']","[1, 4, 8]",['固定'],[5]
"['打線', '技術', '挑戰']","[0, 2, 5]","['接合', '受到']","[1, 4]"
"['之', '機具、設備及', '技術']","[3, 10, 12]","['配合', '相關', '成熟']","[5, 11, 16]"
"['短期內', '技術', '乎', '技術所']","[2, 5, 7, 15]","['打線', '接合', '似', '容易', '為']","[3, 4, 6, 11, 12]"
"['晶片', '高分子卷帶上的金屬電路']","[4, 11]",['連接'],[13]
"['卷帶式', '厚度', '接腳間距', '/入接腳數', '優點']","[0, 4, 8, 16, 18]","['自動', '接合', '具有', '薄', '小', '提供', '高', '輸出']","[1, 2, 3, 5, 9, 12, 13, 14]"
"['電子', '技術']","[1, 4]","['製造', '發展', '演進']","[2, 6, 7]"
"['構裝之目', '四種：', '傳送', '熱', '保護', '產品', '以「電」為能源']","[3, 9, 11, 15, 18, 21, 28]","['有', '訊號', '', '電路', '所有', '皆']","[5, 12, 15, 17, 19, 22]"
"['IC構', '晶片', '機械強度及', '保護']","[1, 6, 13, 16]","['裝除', '易碎', '提供', '足夠', '適當']","[2, 4, 7, 9, 14]"
"['IC產品', '外表', '使用者', '使用及', '操作環境']","[4, 9, 12, 18, 22]","['具有', '優雅', '美觀', '為', '提供', '安全', '簡便']","[5, 6, 7, 11, 13, 15, 19]"
"['晶片', '機上']","[3, 6]","['送至', '切割', '進行', '切割']","[2, 4, 7, 8]"
"['檢驗晶片切割之目的為', '前製程', '晶圓', '檢驗之目的為確定構裝完成之', '是否', '使用']","[5, 8, 12, 23, 25, 27]","['將', '上', '一顆顆', '', '產品', '合於']","[6, 13, 14, 23, 24, 26]"
"['其中項目', '外引腳之平整性、共面度、腳距、印字是', '', '是', '等的外觀檢驗']","[1, 14, 17, 19, 26]","['包括', '', '損傷']","[2, 17, 22]"
"['工藝/特色工藝', '代工', '30多年來']","[4, 8, 17]","['先進', '瘦', '從', '到']","[0, 6, 9, 11]"
"['核心推動力', '定律的集成度', '晶 圓', '投資規模']","[1, 7, 10, 14]","['來自於', '基於', '提升', '使得', '加工', '增大']","[2, 3, 8, 9, 11, 16]"
"['資本實力', '廠商', '代工外包生產的方式']","[1, 6, 13]","['相對', '弱', '通過', '經營']","[2, 4, 8, 15]"
"['晶圓', '新建廠房', '工藝', '投入']","[1, 4, 7, 11]","['代工', '追求', '先進', '需', '持續', '增加']","[2, 5, 6, 9, 12, 13]"
"['更多的晶圓', '廠商', '工藝的投入']","[2, 4, 12]","['代工', '選擇', '暫停', '新']","[3, 7, 8, 9]"
"['我們', '工藝將', '', '國際持續', '目標']","[0, 4, 7, 12, 15]","['認為', '先進', '追求', '']","[1, 2, 13, 14]"
"['市場', '過去10 年時間內由晶圓', '產業所顯示']","[1, 8, 12]","['景氣', '周期']","[14, 15]"
"['復 蘇', '擴張', '周期循環']","[3, 5, 13]","['分為', '平穩', '收縮']","[1, 7, 9]"
"['電路設計', '晶圓', '兩個環節的分離']","[1, 3, 9]",['加工'],[4]
['成章'],[4],"['快速', '發展', '順理']","[0, 1, 3]"
