Entity,EntityIndex,Relation,RelationIndex
"['12吋晶圓後段製程之發展趨勢', '前瞻封裝系列2002年08月05日星期一瀏覽人次：台灣半導體產業結構完整']","[7, 23]",['探討'],[8]
"['其', '晶片製造合作模式']","[1, 8]","['緊密', '延伸']","[2, 3]"
"['數年間', '半導體製程供應鏈']","[3, 11]","['過去', '建立', '完整']","[1, 5, 7]"
"['附加價值', '製程發展']","[6, 9]","['持續', '朝向', '高']","[1, 2, 3]"
"['成本效益與縮短產品', '時程的考量']","[6, 10]",['上市'],[7]
"['12吋晶圓廠', '晶圓代工下一波的競爭主力']","[2, 12]",['成為'],[4]
"['國際整合元件大廠', '產能', '趨勢下']","[4, 7, 12]","['委外', '代工']","[8, 9]"
"['晶圓', '', '表現']","[3, 5, 7]","['造就', '代工', '亮麗']","[0, 4, 6]"
['半導體產業的競爭優勢'],[7],['建立'],[1]
"['國內晶圓', '兩', '龍頭', '積體電路', '科學園區', '科學園區', '12吋晶圓代工製造廠']","[1, 3, 5, 9, 15, 18, 27]","['代工', '大', '開始', '投資', '興建']","[2, 4, 20, 21, 22]"
['小部份產能'],[3],"['進行', '試產']","[1, 4]"
"['國際級的整合元件大廠', '12吋晶圓的發展趨勢']","[5, 14]",['前進'],[15]
"['後段的封裝製造廠', '整合性', '服務']","[4, 7, 10]","['使得', '提供', '化']","[0, 6, 9]"
['製程技術'],[4],['強化'],[2]
['晶圓尺寸增加後'],[5],['滿足'],[1]
"['封裝測試產業', '需求']","[4, 6]",[],[]
"['12吋晶圓的優勢', 'IC技術提昇的關鍵因素']","[4, 12]","['今日', '']","[6, 10]"
"['製程線幅微縮', '晶圓尺寸', '兩方面']","[5, 10, 14]","['在於', '加大']","[1, 11]"
"['製程線幅微縮', '方面']","[4, 6]",[],[]
"['線幅', '一半']","[0, 3]",['縮小'],[2]
"['晶粒', '4倍以上']","[0, 5]",['增加'],[2]
"['生產效能', '生產成本', 'IC功能']","[6, 9, 13]","['提高', '降低', '提昇']","[3, 7, 11]"
"['晶圓尺寸', '方面']","[4, 7]",['加大'],[5]
"['反應', '生產成本', '產能兩', '部分']","[2, 7, 10, 12]","['降低', '提高', '大']","[4, 8, 11]"
['8吋晶圓'],[4],['相較'],[0]
"['12吋晶圓的優勢', '兩方面']","[4, 10]","['直接', '表現']","[6, 7]"
"['下一波半導體', '必然趨勢']","[4, 8]",['發展'],[5]
[],[],[],[]
"['降低', '成本：根據', '', '運算']","[0, 4, 7, 9]",['生產'],[1]
"['12吋晶圓的表面', '8吋晶圓的2.25倍']","[4, 11]",['積為'],[5]
"['IC產品', '8吋晶圓上', '100顆IC']","[4, 9, 16]","['平', '均', '產出']","[10, 11, 13]"
['良率的12吋晶圓廠'],[6],['相同'],[1]
"['每片晶圓', '225顆IC']","[2, 7]",['產出'],[4]
"['生產成本', '兩倍的前提下']","[3, 10]",['提高'],[5]
['兩倍的晶粒'],[7],"['產出', '多於']","[2, 3]"
['生產成本'],[3],['降低'],[1]
[],[],[],[]
['增加'],[0],['產能'],[1]
['良率：12吋晶圓具備較大'],[9],"['提高', '尺寸']","[0, 10]"
['數量'],[3],"['產出', '提昇']","[1, 5]"
"['產能', '產品良率']","[3, 8]","['增加', '提高']","[2, 6]"
"['晶圓', '應用趨勢就晶圓尺寸的', '趨勢而言']","[0, 8, 11]",[],[]
"['6吋晶圓大多應用', '中', '產品']","[4, 6, 9]",[],[]
['消費性電子產品的應用'],[6],['廣泛'],[8]
"['8吋與12吋晶圓', '應用', '中央處理器、繪圖晶片與通訊晶片', '產品']","[6, 8, 18, 21]",['包括'],[10]
['12吋晶圓'],[4],[],[]
"['256M DRAM、1G DRAM', '積度', '嵌入式晶片', '整合晶片之生產上']","[8, 10, 14, 20]","['應用', '集', '高']","[2, 9, 11]"
['應用範圍'],[1],['廣泛'],[3]
['目前國內外晶圓製造廠'],[6],['而言'],[7]
"['8吋晶圓', '主流']","[4, 6]",['為'],[5]
['12吋晶圓量產'],[6],"['積極', '朝向']","[1, 2]"
"['12吋晶圓的後段製程', '吋晶圓的競爭優勢', '應用朝向', '趨勢']","[5, 14, 18, 22]","['發展', '高階']","[6, 19]"
"['目前全球前段晶圓製造廠', '12吋晶圓的發展方向']","[5, 14]","['積極', '邁向']","[7, 8]"
['後段封裝製造廠商'],[5],['而言'],[6]
"['技術', '製程腳步']","[4, 8]","['積極', '研發', '先進', '跟進']","[1, 2, 3, 6]"
"['產線機台上', '調整']","[3, 8]",['配合'],[7]
"['上膠膜、晶片研磨、黏片', '晶片切割', '步驟']","[7, 11, 13]",[],[]
"['機台的調整', '12吋晶圓', '尺寸']","[5, 11, 13]","['進行', '配合', '加大']","[2, 7, 12]"
[],[],[],[]
"['整體', '流程', '運輸晶片', '每個機台間的晶舟', '台']","[2, 4, 8, 15, 18]","['負責', '確保', '製作', '順暢', '載', '入', '調整']","[0, 1, 3, 5, 16, 17, 22]"
"['台灣半導體產業', '前端', '後端', '12吋晶圓生產線']","[4, 8, 10, 16]","['協助', '建立', '完整']","[1, 5, 11]"
['晶圓尺寸'],[3],['前進'],[5]
"['產品', '需求及', '產品的推陳']","[1, 6, 11]","['輕薄', '短小', '攜式', '出新']","[2, 3, 8, 12]"
"['IC晶片的效能', '整合的需求']","[4, 8]","['加', '擴大']","[10, 11]"
['半導體封裝產業'],[3],['而言'],[4]
"['目前', '晶片級尺寸封裝', '晶圓級封裝方向發展']","[0, 5, 11]",['延伸'],[6]
"['封裝技術', '晶圓級封裝技術、晶圓凸塊技術']","[3, 11]","['發展出', '包括']","[0, 4]"
"['目前各家廠商', '覆晶技術']","[4, 9]","['積極', '開發']","[5, 6]"
"['標準半導體製程設備', '', '調機時間']","[5, 8, 11]","['具備', '快速']","[7, 9]"
"['晶片', '調整彈性']","[1, 5]","['因應', '縮小']","[0, 2]"
"['晶圓級的高溫', '測試能力']","[3, 7]",['篩選'],[4]
['製程成本'],[3],['降低'],[1]
"['封裝產業中', '革命性的發展趨勢']","[3, 9]","['成為', '具']","[0, 5]"
"['其中', '覆晶技術', '全球導體市場的重要性']","[1, 4, 10]",['日增'],[11]
['晶圓凸塊技術的需求'],[5],"['相對', '增加']","[6, 7]"
['晶圓凸塊技術'],[3],['使得'],[0]
"['晶圓級構裝中', '技術']","[4, 8]","['成為', '相當', '主流']","[1, 5, 6]"
"['未來整體高科技產業發展', '關鍵性的影響']","[6, 10]",['具有'],[7]
"['晶圓級封裝技術', '重要性由於', '相較於', '面積縮小約', '-60']","[2, 6, 10, 16, 20]","['發展', '傳統', '方式', '30']","[3, 11, 13, 17]"
['電性表現'],[1],['優異'],[3]
['抗雜訊干擾能力'],[4],['提高'],[1]
"['應用', 'CPU、晶片組及繪圖IC', '產品']","[1, 9, 12]",['適合'],[0]
"['覆晶的關鍵技術-', '凸塊']","[5, 7]",[],[]
['覆晶技術市場'],[5],['起飛'],[7]
['封裝產業的重要性與日'],[6],['俱增'],[7]
"['應用', '0.13um銅製程、CPU、電腦與繪圖晶片、Switching與藍芽產品', '需要', '容量、高速率功能', '邏輯晶片上']","[1, 18, 20, 26, 30]","['廣泛', '高']","[0, 21]"
"['各項', '', '通訊產品', '電子產品']","[5, 8, 12, 16]","['應用', '輕薄', '短小', '先進']","[2, 6, 7, 13]"
"['現階段晶圓級封裝', '發展技術']","[4, 7]",['重要'],[5]
"['12吋晶圓凸塊技術與覆晶封裝的發展現況', '晶圓級封裝的發展現況而言']","[10, 18]",[],[]
"['覆晶技術', 'IC', '門檻', '基板來源', '成本', '問題']","[1, 4, 6, 10, 13, 16]","['有', '設計', '高', '不足', '高昂', '亟待', '解決']","[3, 5, 7, 11, 14, 17, 18]"
['晶圓凸塊技術的發展腳步'],[7],"['快速', '前進']","[9, 10]"
"['現階段', '元件大廠', '晶圓凸塊的需求']","[1, 4, 9]","['明顯', '提昇']","[10, 11]"
"['各家封測大廠的8吋晶圓廠', '量產階段']","[8, 13]","['使得', '進入', '穩定']","[0, 10, 11]"
[],[],['說'],[3]
['上游需求量的增加'],[4],['因應'],[0]
"['目前8吋晶圓', '10萬片']","[3, 8]","['產出', '逾']","[4, 6]"
"['12吋晶圓廠', '試產階段']","[3, 7]",['進入'],[5]
"['12吋晶圓凸塊', '近期內大量量產']","[4, 11]",['預估'],[0]
"['基於目前6吋和8', '晶圓之印刷技', '電鍍技術各擅勝場']","[5, 9, 15]",[],[]
"['12吋晶圓凸塊技術的發展', '印刷技術及電鍍技術']","[7, 14]",['導向'],[9]
"['其中12吋晶圓的印刷技術之基礎', '6吋及8吋晶圓之印刷技術']","[8, 19]",['延繼'],[10]
"['另一', '電鍍技術']","[1, 10]","['發展', '具', '獨特', '優勢']","[4, 5, 6, 7]"
['這兩項晶圓凸塊封裝技術'],[7],['比較'],[9]
['技術成本'],[2],"['印刷', '低']","[0, 4]"
['彈性'],[2],['具有'],[1]
['大量與小量的生產'],[6],['適用'],[0]
"['未來', '鉛', '封裝趨勢']","[2, 6, 10]","['朝向', '無', '化']","[4, 5, 7]"
['技術'],[1],"['印刷', '適用']","[0, 4]"
"['High Thermal與線', '能力']","[4, 6]","['寬', '而言']","[5, 7]"
"['電鍍技術', '技術']","[1, 6]","['明顯', '優於', '印刷']","[3, 4, 5]"
"['未來各家廠商', '產品製程需求', '凸塊封裝技術']","[3, 8, 16]","['選擇', '適用']","[10, 11]"
"['各家封裝大廠', '晶圓級封裝技術']","[4, 11]","['積極', '朝向', '先進', '前進']","[5, 6, 7, 12]"
['許多的研發挑戰'],[6],"['有', '克服']","[2, 9]"
['覆晶技術'],[2],['說'],[4]
"['傳統打線封裝', 'underfill製程與reflow製程']","[4, 12]",['下多'],[6]
"['過去', '封裝技術']","[2, 5]","['推翻', '傳統']","[0, 3]"
['困難度'],[1],['增加'],[2]
"['良率問題', '考驗']","[1, 4]",[],[]
['關鍵材料與製程'],[4],['掌握'],[6]
"['過程', '困難']","[2, 4]","['使得', '發展', '面臨', '重重']","[0, 1, 3, 5]"
['目前封裝廠商'],[4],['而言'],[5]
