Entity,Count,Ratio
資源,31,0.6%
所示,30,0.58%
溶劑,27,0.52%
後,26,0.5%
其,25,0.48%
時,20,0.38%
技術,20,0.38%
廢溶劑,19,0.36%
處理,18,0.35%
中,18,0.35%
成本,17,0.33%
晶圓,16,0.31%
等,16,0.31%
切削油,14,0.27%
2,14,0.27%
了,13,0.25%
矽晶圓,13,0.25%
3,13,0.25%
廢棄物,12,0.23%
水,12,0.23%
設備,12,0.23%
製程,12,0.23%
分離,11,0.21%
表面,11,0.21%
量,11,0.21%
工廠,11,0.21%
方式,11,0.21%
方法,11,0.21%
晶矽,11,0.21%
系統,11,0.21%
此,10,0.19%
回收,10,0.19%
：,10,0.19%
矽晶圓片,10,0.19%
以,10,0.19%
目的,10,0.19%
過程,10,0.19%
1,10,0.19%
在,10,0.19%
產業,10,0.19%
循環,9,0.17%
程序,9,0.17%
純水,9,0.17%
磷酸,9,0.17%
有,9,0.17%
晶片,9,0.17%
蝕刻,9,0.17%
金屬,9,0.17%
上,9,0.17%
處理方式,9,0.17%
污染,9,0.17%
成分,9,0.17%
雜質,9,0.17%
清洗,8,0.15%
4,8,0.15%
為,8,0.15%
圖6.1-,8,0.15%
離子,8,0.15%
再,8,0.15%
是,8,0.15%
流程,8,0.15%
製程中,7,0.13%
後段製程之環境特性分析,7,0.13%
資源化,7,0.13%
於,7,0.13%
過程中,7,0.13%
業者,7,0.13%
濃度,7,0.13%
原料,7,0.13%
例,7,0.13%
產生,7,0.13%
公司,7,0.13%
用途,7,0.13%
雙月刊,7,0.13%
冷卻、結晶,7,0.13%
問題,7,0.13%
萃取,7,0.13%
高,7,0.13%
供應商,7,0.13%
率,6,0.12%
溫度,6,0.12%
或,6,0.12%
工作,6,0.12%
化學,6,0.12%
萃取物,6,0.12%
用,6,0.12%
管理,6,0.12%
半導體,6,0.12%
原理,6,0.12%
結果,6,0.12%
而,6,0.12%
優點,6,0.12%
薄膜,6,0.12%
圖5.3-,6,0.12%
較,6,0.12%
資料,6,0.12%
環境,6,0.12%
設計,5,0.1%
廢酸,5,0.1%
油,5,0.1%
體系,5,0.1%
矽晶圓材料,5,0.1%
反應,5,0.1%
進行,5,0.1%
年,5,0.1%
部分,5,0.1%
生產,5,0.1%
說明,5,0.1%
4.1-,5,0.1%
純度,5,0.1%
氫氟酸,5,0.1%
時間,5,0.1%
者,5,0.1%
有機溶劑,5,0.1%
階段,5,0.1%
廢液,5,0.1%
方案,5,0.1%
化學蝕刻,5,0.1%
機相,5,0.1%
產品,5,0.1%
可,4,0.08%
/L,4,0.08%
若,4,0.08%
該公司,4,0.08%
兩種,4,0.08%
損傷層,4,0.08%
能源,4,0.08%
結晶罐中,4,0.08%
效果,4,0.08%
效率,4,0.08%
-,4,0.08%
%,4,0.08%
硫酸,4,0.08%
律,4,0.08%
方面,4,0.08%
一,4,0.08%
來源,4,0.08%
內,4,0.08%
需求,4,0.08%
廠內,4,0.08%
一種,4,0.08%
濃度後,4,0.08%
6.2-,4,0.08%
規劃,4,0.08%
地,4,0.08%
製造,4,0.08%
5.3-,4,0.08%
圖5.4-,4,0.08%
5,4,0.08%
工業出版社,4,0.08%
目前,4,0.08%
形成,4,0.08%
光片,4,0.08%
主要,4,0.08%
裝置,4,0.08%
國內,4,0.08%
作業,4,0.08%
使用,4,0.08%
情況,4,0.08%
單晶,4,0.08%
矽晶棒,4,0.08%
來,4,0.08%
濃縮,4,0.08%
品質,4,0.08%
至,4,0.08%
物質,4,0.08%
是否,4,0.08%
材料,4,0.08%
離子水,4,0.08%
晶棒,4,0.08%
切削,4,0.08%
最後,4,0.08%
都,4,0.08%
案例,4,0.08%
晶片表面,4,0.08%
去除,3,0.06%
半導體業,3,0.06%
不同,3,0.06%
工程で,3,0.06%
由於,3,0.06%
電子,3,0.06%
年來,3,0.06%
小松,3,0.06%
便,3,0.06%
半導體公司案例,3,0.06%
程度,3,0.06%
離心力,3,0.06%
氣體,3,0.06%
其化學反應式,3,0.06%
得,3,0.06%
人員,3,0.06%
性能,3,0.06%
酸性萃取劑,3,0.06%
速度,3,0.06%
到,3,0.06%
氟,3,0.06%
積體電路,3,0.06%
速率,3,0.06%
陰離子,3,0.06%
濾,3,0.06%
半導體產業,3,0.06%
費用,3,0.06%
  M,3,0.06%
它,3,0.06%
吸附,3,0.06%
規格,3,0.06%
示,3,0.06%
說明書,3,0.06%
晶種,3,0.06%
彙整,3,0.06%
影響,3,0.06%
和,3,0.06%
現象,3,0.06%
單位,3,0.06%
含,3,0.06%
科學與技術手冊,3,0.06%
要求,3,0.06%
需,3,0.06%
採用,3,0.06%
水溶性切削油,3,0.06%
同時,3,0.06%
度,3,0.06%
切削油中,3,0.06%
後破片,3,0.06%
液,3,0.06%
相關,3,0.06%
單晶矽晶棒,3,0.06%
圓片,3,0.06%
硝酸,3,0.06%
差異,3,0.06%
3.1-,3,0.06%
成長,3,0.06%
廢棄物資源,3,0.06%
該系統,3,0.06%
以後,3,0.06%
狀況,3,0.06%
發展,3,0.06%
生產過程中,3,0.06%
空氣中,3,0.06%
溶於,3,0.06%
沸點,3,0.06%
外,3,0.06%
應用技術手冊,3,0.06%
應用,3,0.06%
機構,3,0.06%
切片,3,0.06%
此結晶物溶液,3,0.06%
實驗,3,0.06%
其中,3,0.06%
圖5.5-,3,0.06%
功率,3,0.06%
輸送,3,0.06%
廢有機溶劑,3,0.06%
溶質,3,0.06%
機械,3,0.06%
廢,3,0.06%
許進發,3,0.06%
利用,3,0.06%
應,3,0.06%
作為,3,0.06%
冷,3,0.06%
91 年2 月,3,0.06%
圖6.2-,3,0.06%
大量,3,0.06%
丙醇,3,0.06%
途徑,3,0.06%
化學反應,3,0.06%
化學品,3,0.06%
91年2 月,3,0.06%
金屬離子,3,0.06%
生產之先期準備工作,3,0.06%
缺陷,3,0.06%
回收率,3,0.06%
爐,3,0.06%
應力,3,0.06%
6,3,0.06%
 程,3,0.06%
化,3,0.06%
毒性,3,0.06%
後段製程,2,0.04%
2對低,2,0.04%
先期,2,0.04%
顧問,2,0.04%
2＋,2,0.04%
能力,2,0.04%
矽石顆粒,2,0.04%
有機,2,0.04%
圓片製造業,2,0.04%
直徑,2,0.04%
D 廠廢溶劑資源化處理,2,0.04%
光片的加工技術,2,0.04%
88年8 月,2,0.04%
意圖,2,0.04%
少量,2,0.04%
矽量,2,0.04%
油性切削油,2,0.04%
考量,2,0.04%
性質,2,0.04%
IC設,2,0.04%
麥－泰法作圖計算,2,0.04%
全球,2,0.04%
形狀,2,0.04%
油脂,2,0.04%
必要,2,0.04%
進口,2,0.04%
法,2,0.04%
熟料燒成,2,0.04%
高濃度區,2,0.04%
各資源,2,0.04%
目,2,0.04%
精餾塔,2,0.04%
各種,2,0.04%
切割,2,0.04%
背面,2,0.04%
製程之原料,2,0.04%
圖4.1-,2,0.04%
沸物,2,0.04%
 晶 圓製 造 ,2,0.04%
研磨,2,0.04%
從,2,0.04%
情形,2,0.04%
消耗,2,0.04%
將,2,0.04%
機器,2,0.04%
精餾,2,0.04%
混酸的萃取,2,0.04%
含硫量,2,0.04%
以上,2,0.04%
材料公司,2,0.04%
潔淨,2,0.04%
90年,2,0.04%
國內的矽晶圓片主流尺寸,2,0.04%
常溫下,2,0.04%
蝕刻速率,2,0.04%
槽,2,0.04%
處理成本,2,0.04%
處理後,2,0.04%
供應,2,0.04%
限制,2,0.04%
93年7 月,2,0.04%
處理及處置現況,2,0.04%
處理及處置,2,0.04%
陶瓷,2,0.04%
差排,2,0.04%
回收系統,2,0.04%
人工方式,2,0.04%
清理廠商,2,0.04%
90 年12 月,2,0.04%
低濃度區,2,0.04%
5.4-,2,0.04%
國內廢溶劑,2,0.04%
鈣污泥,2,0.04%
矽 晶棒,2,0.04%
廠,2,0.04%
以前,2,0.04%
82.4℃,2,0.04%
鈰,2,0.04%
溶液,2,0.04%
廠內製程,2,0.04%
序,2,0.04%
廠商,2,0.04%
8吋矽晶圓材料,2,0.04%
鋼線上,2,0.04%
矽 晶 圓製,2,0.04%
晶片及容器,2,0.04%
75%,2,0.04%
處理流程,2,0.04%
廢棄,2,0.04%
但,2,0.04%
位置,2,0.04%
濃度分別,2,0.04%
個,2,0.04%
焚化,2,0.04%
4.2,2,0.04%
4.1,2,0.04%
單晶矽,2,0.04%
污泥,2,0.04%
表面平坦度,2,0.04%
單晶拋光片的加工技術,2,0.04%
二氧化碳,2,0.04%
晶片表面亮度與光滑程度判別,2,0.04%
業界,2,0.04%
萃取劑,2,0.04%
為廢,2,0.04%
單元,2,0.04%
優勢,2,0.04%
廢切削油,2,0.04%
混合物,2,0.04%
單一,2,0.04%
服務,2,0.04%
元件,2,0.04%
