Entity,EntityIndex,Relation,RelationIndex
"['製造業資源', '應用技術手冊', '：經濟部工業局出版', '96 年8 月      編著    序   半 ', '體 製 造', 'IC設', '', '晶 圓 ', ' 造、IC 封 裝', '測', ' 等 階 段']","[1, 5, 12, 18, 22, 25, 27, 30, 37, 39, 43]","['化', ' 計', '製', 'IC']","[2, 26, 31, 38]"
"[' 上', '', ' 游 來劃 分', '導 體 產', '整 體 結 構']","[1, 3, 8, 12, 17]","['半 ', ' 業']","[9, 13]"
"['IC設', '應 屬半 ', ' 體上', ' 產 業、IC 晶 圓製', '則 屬中 游 產', 'IC 封', 'IC測 試 則 屬 下', ' 產 業']","[1, 5, 8, 16, 22, 25, 33, 36]","[' 計', '導', ' 游', ' 業']","[2, 6, 9, 23]"
"['矽 晶 圓製', ' 業於整', ' 半 導 體 產 業 架 構 中 係 擔 任 晶 圓 材 料 供 應 者 角 色']","[3, 7, 28]",[' 造'],[4]
"['著', '導 體', '業 與 太 陽 ', '電 池 產 業的 蓬 勃 發 展']","[0, 3, 8, 18]",['產 '],[4]
"['矽 晶 圓 材料', '求 急 速', ' 加']","[6, 10, 12]",['需'],[7]
"['矽 晶 圓製', '業的產 能 不 斷 增']","[3, 11]",['造 '],[4]
"[' 生的是 如', '妥 善 解 決 廢 棄', '問 題 ']","[4, 11, 14]","['衍', ' 物']","[0, 12]"
"[' 因應 全', '永 續 發 展 的趨 勢']","[3, 10]",[' 球 '],[4]
"['於', ' 晶 圓製 造 ', '而 言']","[1, 6, 9]",['業 '],[7]
"['動', '棄 物', ' 源 化是', '向', '際 ', ' 永 續 經', '', '一 ']","[0, 3, 7, 9, 11, 15, 17, 23]","['廢 ', ' 資', ' 邁 ', '', ' 營', '施 ']","[1, 4, 8, 13, 16, 21]"
['於'],[1],[],[]
"['本局 特委 託財團法 人台 灣', ' 色 生 產', '金 會 廣 泛 蒐 集國 內 外 相 關', ' 源化 技 術 資 料']","[8, 12, 25, 32]","[' 綠', ' 力', ' 資']","[9, 13, 26]"
"[' 彙整', '印 ', ' 冊']","[1, 3, 5]","['編', '成']","[2, 4]"
"[' 手 冊內 容 共', '七 章']","[4, 6]",[],[]
"[' 分 別 針對', ' 面 向 進 行 探 討 說 明']","[3, 12]",[],[]
"[' 晶 圓製 造 ', '各類廢 棄', '資 源', '實 際 執 ', '情 形 彙整 成']","[6, 11, 13, 18, 24]","['將', '業 ', ' 物', ' 化', '行 ']","[1, 7, 12, 14, 19]"
"[' 提供', ' 關業 者從中 汲 ', '經 驗']","[2, 9, 11]",[' 相'],[3]
