Entity,EntityIndex,Relation,RelationIndex
"['圓製造業資源化應用技術手冊', '經', '部工業', '\n\n', '\n法人台灣綠色生產力基金會\n\n \n\n出版機關經濟部工業局', '出版日期', '民國968月\n\n \n\n編著', '序\n\n半', '體製', '程', '包', '設計晶圓製造封', '等階']","[5, 7, 11, 13, 26, 29, 36, 40, 43, 45, 47, 55, 61]","['手冊', '濟', '製', '程', '包', '裝', '測', '試']","[5, 8, 43, 45, 47, 56, 57, 58]"
"['上', '下', '劃分', '產業整體結構']","[0, 2, 5, 14]","['導', '體']","[7, 8]"
"['設計', '半', '導體上游產業', '圓製造則屬', '產業封裝', '試則屬', '\n游產']","[1, 4, 11, 17, 23, 27, 31]","['應', '屬', '游']","[2, 3, 19]"
"['晶圓製造業', '半導體產業架構', '晶圓材', '應\n', '角色']","[4, 14, 21, 24, 27]","['架', '構', '係', '擔', '任']","[13, 14, 16, 17, 18]"
"['半導體產業與太陽能電池產業', '發展']","[14, 18]",['展'],[18]
"['矽晶圓材\n', '求急']","[5, 8]","['材', '加']","[3, 11]"
['晶圓製造業的產能斷'],[8],['加'],[10]
"['', '廢棄物問題']","[1, 14]","['生', '是', '解', '決']","[0, 2, 8, 9]"
"['因', '全球', '趨勢']","[0, 3, 10]","['因', '應', '發', '展']","[0, 1, 6, 7]"
"['矽晶圓製造業', '而']","[6, 8]","['製', '言']","[4, 9]"
"['廢棄物資源化', '國際化', '經營', '措施之一']","[6, 13, 18, 24]","['動', '是', '邁', '向', '', '一']","[0, 7, 8, 9, 23, 24]"
"['有鑑', '此']","[1, 3]","['有', '鑑', '於']","[0, 1, 2]"
"['局', '財團法人台灣', '生產基', '廣', '蒐', '相關資', '技術資']","[0, 9, 13, 15, 17, 25, 30]","['委', '託', '國', '內']","[2, 3, 20, 21]"
['冊'],[5],"['彙', '整', '編', '印', '成']","[0, 1, 2, 3, 4]"
"['手冊內容', '七章']","[3, 7]",['分'],[5]
"['業概況廢', '性與清現況', '潔', '產\n', '化技', '估與設備選用程序', '進探\n討']","[8, 16, 18, 21, 28, 40, 47]",[],[]
"['矽晶圓製造業', '廢棄物資源化', '彙整', '資源化案']","[6, 14, 21, 30]","['化', '', '情', '成', '\n', '廢']","[13, 14, 18, 22, 23, 24]"
"['業者', '經驗']","[6, 12]","['能', '提', '供', '汲', '取']","[0, 1, 2, 9, 10]"
"['學\n術研究單位', '工程業界研究開發']","[9, 20]","['作', '為']","[0, 1]"
"['進', '業廢\n棄物資源化技術', '應']","[3, 16, 19]","['進', '該']","[3, 4]"
"['資源', '用']","[4, 7]","['開', '創']","[1, 2]"
['手冊編撰過程'],[5],"['過', '程']","[4, 5]"
"['朝陽科技大學環境工程與管系王文裕助', '教', '晶淨', '技公司蔡永興副總經合晶科', '份有限公司章', '原經及工業', '術', '院廖錦聰顧問等與資蒐集', '灣', '\n學', '境工', '研究所', '萬發教授勤科技大學化工系郭', '授以及\n明新科技大學工', '院翁', '等之審訂']","[17, 19, 22, 35, 43, 50, 52, 66, 70, 73, 76, 80, 94, 106, 109, 116]",['謝'],[0]
"['手冊', '梓']","[2, 6]","['得', '以', '付', '梓']","[3, 4, 5, 6]"
['時間'],[3],"['\n', '匆', '促']","[1, 4, 5]"
"['資', '集彙整']","[3, 7]",[],[]
"['容', '有', '']","[0, 2, 6]","['有', '錯', '誤', '']","[2, 3, 4, 6]"
['各界'],[3],"['祈', '正']","[1, 5]"
