Relation,Count,Ratio
可,102,4.39%
有,95,4.09%
是,86,3.7%
為,72,3.1%
進行,67,2.88%
回收,51,2.2%
用,50,2.15%
使用,49,2.11%
產生,48,2.07%
利用,46,1.98%
.,45,1.94%
能,36,1.55%
分離,35,1.51%
在,32,1.38%
-,31,1.33%
圖,29,1.25%
高,28,1.21%
清洗,28,1.21%
所示,27,1.16%
提供,26,1.12%
萃取,26,1.12%
採用,26,1.12%
於,25,1.08%
製程,23,0.99%
需,23,0.99%
去,21,0.9%
0,21,0.9%
造成,21,0.9%
形成,20,0.86%
低,20,0.86%
具有,20,0.86%
包括,19,0.82%
如下,19,0.82%
至,19,0.82%
流程,18,0.77%
系統,18,0.77%
方式,18,0.77%
大,18,0.77%
做,18,0.77%
應,18,0.77%
生產,18,0.77%
可以,18,0.77%
應用,18,0.77%
製造,17,0.73%
矽晶,17,0.73%
成長,17,0.73%
處理,17,0.73%
1,17,0.73%
後,17,0.73%
使,17,0.73%
分為,17,0.73%
技術,16,0.69%
到,16,0.69%
去除,16,0.69%
得,15,0.65%
2,15,0.65%
以,15,0.65%
會,15,0.65%
資料,15,0.65%
溶劑,14,0.6%
成,14,0.6%
3,14,0.6%
研磨,14,0.6%
蝕刻,14,0.6%
重要,14,0.6%
中,14,0.6%
要,13,0.56%
需要,13,0.56%
表面,13,0.56%
小,13,0.56%
達到,13,0.56%
不同,13,0.56%
反應,13,0.56%
"

 

",13,0.56%
增加,12,0.52%
符合,12,0.52%
或,12,0.52%
提高,12,0.52%
避免,12,0.52%
評估,12,0.52%
可能,12,0.52%
控制,12,0.52%
達,11,0.47%
過程,11,0.47%
磷酸,11,0.47%
向,11,0.47%
減少,11,0.47%
多,11,0.47%
成為,11,0.47%
而,11,0.47%
產,11,0.47%
混合,11,0.47%
收集,11,0.47%
5,11,0.47%
6,11,0.47%
考慮,11,0.47%
一,10,0.43%
說明,10,0.43%
成本,10,0.43%
削油,10,0.43%
機,10,0.43%
純化,10,0.43%
和,10,0.43%
程序,10,0.43%
資源化,10,0.43%
影響,10,0.43%
污泥,10,0.43%
穩定,9,0.39%
作為,9,0.39%
特性,9,0.39%
酸,9,0.39%
切割,9,0.39%
組成,9,0.39%
離子,9,0.39%
得到,9,0.39%
通入,9,0.39%
表,9,0.39%
進入,9,0.39%
是否,8,0.34%
發生,8,0.34%
操作,8,0.34%
消耗,8,0.34%
係,8,0.34%
固定,8,0.34%
蒸餾,8,0.34%
冷卻,8,0.34%
含量,8,0.34%
完成,8,0.34%
廢氣,8,0.34%
加,7,0.3%
開始,7,0.3%
要求,7,0.3%
予以,7,0.3%
計算,7,0.3%
進,7,0.3%
廢水,7,0.3%
供應,7,0.3%
吸附,7,0.3%
其,7,0.3%
選擇,7,0.3%
工廠,7,0.3%
"


 ",7,0.3%
矽,7,0.3%
5.,7,0.3%
稱為,7,0.3%
晶圓,7,0.3%
水泥,7,0.3%
濃度,7,0.3%
洗,7,0.3%
顯示,6,0.26%
溶解,6,0.26%
發展,6,0.26%
因,6,0.26%
均,6,0.26%
超過,6,0.26%
採,6,0.26%
上,6,0.26%
簡單,6,0.26%
達成,6,0.26%
設計,6,0.26%
所需,6,0.26%
設置,6,0.26%
決定,6,0.26%
規格,6,0.26%
規劃,6,0.26%
空氣,6,0.26%
製成,6,0.26%
製,6,0.26%
由,6,0.26%
脫水,6,0.26%
集塵,6,0.26%
濃縮,6,0.26%
具,6,0.26%
再,6,0.26%
配合,6,0.26%
原料,6,0.26%
出現,6,0.26%
燃燒,6,0.26%
加入,6,0.26%
收,6,0.26%
擴散,6,0.26%
比,5,0.22%
劑,5,0.22%
裝置,5,0.22%
除,5,0.22%
設定,5,0.22%
廢,5,0.22%
廢棄物,5,0.22%
防止,5,0.22%
分,5,0.22%
污染,5,0.22%
乾燥,5,0.22%
出來,5,0.22%
觀點,5,0.22%
長晶,5,0.22%
包含,5,0.22%
確保,5,0.22%
水,5,0.22%
複雜,5,0.22%
氣體,5,0.22%
適當,5,0.22%
審核,5,0.22%
體,5,0.22%
產出,5,0.22%
含,5,0.22%
-3,5,0.22%
停留,5,0.22%
單晶,5,0.22%
困難,5,0.22%
送,5,0.22%
圓片,5,0.22%
輸送,5,0.22%
袋式,5,0.22%
如,5,0.22%
注意,5,0.22%
如圖,5,0.22%
短,5,0.22%
作用,5,0.22%
存在,5,0.22%
貯存,5,0.22%
定,5,0.22%
公司,5,0.22%
現況,5,0.22%
用於,5,0.22%
必須,5,0.22%
納入,5,0.22%
5.5,5,0.22%
維持,5,0.22%
4.,5,0.22%
所,5,0.22%
排出,5,0.22%
採取,5,0.22%
應力,5,0.22%
拋光,5,0.22%
提升,5,0.22%
改善,5,0.22%
方面,5,0.22%
提出,5,0.22%
晶片,5,0.22%
投入,5,0.22%
金屬,5,0.22%
排放,5,0.22%
膜,5,0.22%
分析,5,0.22%
生,4,0.17%
作,4,0.17%
原,4,0.17%
陶瓷,4,0.17%
回,4,0.17%
含有,4,0.17%
即,4,0.17%
導致,4,0.17%
協助,4,0.17%
環境,4,0.17%
醋酸,4,0.17%
100,4,0.17%
保持,4,0.17%
清除,4,0.17%
相似,4,0.17%
添加,4,0.17%
送至,4,0.17%
能源,4,0.17%
選用,4,0.17%
",",4,0.17%
清潔,4,0.17%
替代,4,0.17%
混酸,4,0.17%
受到,4,0.17%
相同,4,0.17%
提,4,0.17%
大於,4,0.17%
太,4,0.17%
最佳,4,0.17%
取代,4,0.17%
放,4,0.17%
放入,4,0.17%
降低,4,0.17%
適合,4,0.17%
消除,4,0.17%
適用,4,0.17%
無,4,0.17%
估,4,0.17%
非,4,0.17%
出,4,0.17%
統計,4,0.17%
高達,4,0.17%
產製,4,0.17%
熔融,4,0.17%
過濾,4,0.17%
章,4,0.17%
成形,4,0.17%
進口,4,0.17%
"


 
",4,0.17%
氫,4,0.17%
關,4,0.17%
2-1,4,0.17%
25,4,0.17%
結合,4,0.17%
揮發,4,0.17%
系,4,0.17%
正,4,0.17%
分解,4,0.17%
法,4,0.17%
條件,4,0.17%
溶液,4,0.17%
設備,4,0.17%
時間,4,0.17%
接觸,4,0.17%
12,4,0.17%
管理,4,0.17%
有效,4,0.17%
加熱,4,0.17%
等,4,0.17%
溫度,4,0.17%
粗糙,4,0.17%
7.,4,0.17%
交由,4,0.17%
廢棄,4,0.17%
再生,4,0.17%
材料,4,0.17%
高溫,4,0.17%
簡易,4,0.17%
晶棒,3,0.13%
潔淨,3,0.13%
考量,3,0.13%
滿足,3,0.13%
產生量,3,0.13%
各,3,0.13%
新,3,0.13%
縮,3,0.13%
勻,3,0.13%
燒結,3,0.13%
於生,3,0.13%
於水,3,0.13%
結果,3,0.13%
開採,3,0.13%
熔化,3,0.13%
長,3,0.13%
鐵渣,3,0.13%
無機性,3,0.13%
加工,3,0.13%
方法,3,0.13%
邁,3,0.13%
獲,3,0.13%
包裝,3,0.13%
經濟,3,0.13%
酸),3,0.13%
原物,3,0.13%
維護,3,0.13%
原理,3,0.13%
生成,3,0.13%
取物,3,0.13%
產品,3,0.13%
而言,3,0.13%
情況,3,0.13%
運用,3,0.13%
沉降,3,0.13%
沉澱,3,0.13%
廠內,3,0.13%
設,3,0.13%
平坦,3,0.13%
萃,3,0.13%
帶,3,0.13%
差異,3,0.13%
廢液,3,0.13%
工程,3,0.13%
試,3,0.13%
工作,3,0.13%
試車,3,0.13%
組合,3,0.13%
節省,3,0.13%
管制,3,0.13%
硝酸,3,0.13%
晶體,3,0.13%
穿,3,0.13%
程度,3,0.13%
稱,3,0.13%
循環,3,0.13%
機相,3,0.13%
殘留,3,0.13%
移到,3,0.13%
確定,3,0.13%
蒸出,3,0.13%
規定,3,0.13%
棄物,3,0.13%
建立,3,0.13%
廢切,3,0.13%
廢電,3,0.13%
廢溶,3,0.13%
投資,3,0.13%
指,3,0.13%
實際,3,0.13%
書,3,0.13%
採購,3,0.13%
添,3,0.13%
被,3,0.13%
因素,3,0.13%
嚴格,3,0.13%
清理,3,0.13%
通過,3,0.13%
容易,3,0.13%
減量,3,0.13%
準備,3,0.13%
提昇,3,0.13%
吸收,3,0.13%
當,3,0.13%
滌,3,0.13%
輸入,3,0.13%
坦度,3,0.13%
執行,3,0.13%
增進,3,0.13%
混合物,3,0.13%
好,3,0.13%
相比,3,0.13%
液體,3,0.13%
如表,3,0.13%
瞭解,3,0.13%
排列,3,0.13%
資源,3,0.13%
短缺,3,0.13%
排入,3,0.13%
完整,3,0.13%
掌握,3,0.13%
论文集,3,0.13%
屬於,3,0.13%
燒,3,0.13%
3.1,3,0.13%
切削,3,0.13%
數據,3,0.13%
磊晶,3,0.13%
修改,3,0.13%
餾塔,3,0.13%
-2,3,0.13%
" 

",3,0.13%
供應商,3,0.13%
冷凝,3,0.13%
除切,3,0.13%
84,3,0.13%
ゐ廢,3,0.13%
供,3,0.13%
一定,3,0.13%
一般,3,0.13%
低於,3,0.13%
典型,3,0.13%
三丁酯,3,0.13%
/,3,0.13%
上升,3,0.13%
2-3,3,0.13%
亦可,3,0.13%
做為,3,0.13%
5.4,3,0.13%
50,3,0.13%
其他,3,0.13%
0002,3,0.13%
105,3,0.13%
內,3,0.13%
8,3,0.13%
分成,3,0.13%
交換,3,0.13%
０,3,0.13%
須,3,0.13%
14,3,0.13%
零件,3,0.13%
切片,3,0.13%
光片,3,0.13%
劣化,3,0.13%
17,3,0.13%
骨材,3,0.13%
槽,2,0.09%
工業,2,0.09%
以上,2,0.09%
檢出,2,0.09%
流入,2,0.09%
檢測,2,0.09%
介於,2,0.09%
變成,2,0.09%
變質,2,0.09%
評,2,0.09%
體系,2,0.09%
種類,2,0.09%
2005,2,0.09%
實驗,2,0.09%
以下,2,0.09%
低溫,2,0.09%
桃園,2,0.09%
積,2,0.09%
常用,2,0.09%
展,2,0.09%
少,2,0.09%
穩定性,2,0.09%
代表,2,0.09%
市場,2,0.09%
第一,2,0.09%
24,2,0.09%
機械,2,0.09%
伴隨,2,0.09%
市售,2,0.09%
極佳,2,0.09%
仰賴,2,0.09%
調整,2,0.09%
屬,2,0.09%
常溫,2,0.09%
密度,2,0.09%
示,2,0.09%
密閉,2,0.09%
寄,2,0.09%
依賴,2,0.09%
大小,2,0.09%
磚塊,2,0.09%
多重,2,0.09%
多少,2,0.09%
外來,2,0.09%
確認,2,0.09%
水沖,2,0.09%
類似,2,0.09%
較,2,0.09%
增大,2,0.09%
較佳,2,0.09%
增,2,0.09%
較少,2,0.09%
碰撞,2,0.09%
堵,2,0.09%
污染源,2,0.09%
破片,2,0.09%
破損,2,0.09%
基準,2,0.09%
破壞,2,0.09%
較高,2,0.09%
基己,2,0.09%
趨,2,0.09%
預期,2,0.09%
氫氣,2,0.09%
貯槽,2,0.09%
讓切,2,0.09%
佔,2,0.09%
步驟,2,0.09%
負責,2,0.09%
程,2,0.09%
顧問,2,0.09%
稀釋,2,0.09%
2.2,2,0.09%
完,2,0.09%
安全,2,0.09%
移動,2,0.09%
磨粒,2,0.09%
氟化,2,0.09%
氟酸,2,0.09%
