Segmented Element,POS,Dependecies
矽晶,NOUN,compound:nn
圓製,NOUN,compound:nn
造業,NOUN,compound:nn
資源化,NOUN,compound:nn
應用,NOUN,compound:nn
技術,NOUN,compound:nn
手冊,NOUN,ROOT
"

 

 

 

 

 

 

 

 

 

 

 

 
",SPACE,punct
經,NOUN,compound:nn
 ,SPACE,ROOT
濟,NOUN,compound:nn
 ,SPACE,compound:nn
部,NOUN,compound:nn
 ,SPACE,punct
工,NOUN,dobj
 ,SPACE,punct
業,NOUN,dep
 ,SPACE,dep
局,NOUN,compound:nn
"

",SPACE,compound:nn
財團,NOUN,compound:nn
"
",SPACE,compound:nn
法人,NOUN,dep
台灣,PROPN,nmod:assmod
綠色生,NOUN,compound:nn
產力,NOUN,dep
基金,NOUN,compound:nn
會,NOUN,compound:nn
"

 

",SPACE,punct
出版,NOUN,compound:nn
機關,NOUN,dep
：,PUNCT,punct
   ,SPACE,compound:nn
經濟部,NOUN,compound:nn
工業局,NOUN,compound:nn
"

",SPACE,compound:nn
出版,NOUN,compound:nn
日期,NOUN,dep
：,PUNCT,punct
中華,PROPN,name
民國,PROPN,nmod:assmod
96,NOUN,compound:nn
年,PUNCT,punct
8,NOUN,compound:nn
月,NOUN,ROOT
"

 

",SPACE,punct
編著,NOUN,ROOT
"


",SPACE,amod
序,NOUN,ROOT
"

",SPACE,punct
半,NOUN,compound:nn
導,NOUN,compound:nn
體,NOUN,compound:nn
製,NOUN,compound:nn
造,NOUN,compound:nn
流,PUNCT,compound:nn
程,NOUN,nsubj
係,VERB,conj
包,VERB,parataxis:prnmod
括,VERB,conj
IC,PUNCT,punct
設,NOUN,compound:nn
計,NOUN,conj
、,PUNCT,punct
IC,PUNCT,punct
晶,NOUN,compound:nn
圓,NOUN,compound:nn
製,NOUN,conj
造,NOUN,conj
、,PUNCT,punct
IC,PUNCT,punct
封,NOUN,compound:nn
裝,NOUN,conj
、,PUNCT,punct
IC,PUNCT,compound:nn
測,NOUN,dobj
試,NOUN,compound:nn
"
",SPACE,compound:nn
等,PART,etc
階,NOUN,ROOT
段,NOUN,dobj
，,PUNCT,punct
依,ADP,case
上,NOUN,conj
、,PUNCT,punct
中,NOUN,conj
、,PUNCT,punct
下,NOUN,compound:nn
游,NOUN,dep
來,PUNCT,punct
劃,VERB,nmod:prep
分,VERB,ROOT
半,NOUN,compound:nn
導,NOUN,compound:nn
體,NOUN,compound:nn
產,NOUN,compound:nn
業,NOUN,compound:nn
整,NOUN,compound:nn
體,NOUN,compound:nn
結,NOUN,dobj
構,NOUN,dobj
，,PUNCT,punct
IC,PUNCT,punct
設,NOUN,compound:nn
計,NOUN,nsubj
應,VERB,aux:modal
屬,VERB,conj
半,NOUN,compound:nn
"
",SPACE,punct
導,NOUN,compound:nn
體,NOUN,compound:nn
上,ADJ,compound:nn
游,NOUN,compound:nn
產,NOUN,dobj
業,NOUN,dobj
、,PUNCT,punct
IC,PUNCT,nsubj
晶,NOUN,compound:nn
圓,NOUN,compound:nn
製,NOUN,nsubj
造,NOUN,nsubj
則,ADV,advmod
屬,VERB,conj
中,NOUN,compound:nn
游,NOUN,compound:nn
產,NOUN,compound:nn
業,NOUN,dobj
；,PUNCT,punct
IC,PUNCT,nsubj
封,NOUN,compound:nn
裝,NOUN,conj
、,PUNCT,punct
IC,PUNCT,compound:nn
測,NOUN,compound:nn
試,NOUN,nsubj
則,ADV,advmod
屬,VERB,conj
下,NOUN,compound:nn
"
",SPACE,dobj
游,NOUN,compound:nn
產,NOUN,dobj
業,NOUN,dobj
。,PUNCT,punct
矽,NOUN,compound:nn
晶,NOUN,compound:nn
圓,NOUN,compound:nn
製,NOUN,nsubj
造,NOUN,nsubj
業,NOUN,nmod:assmod
於,ADP,case
整,DET,det
個,DET,det
半,NOUN,compound:nn
導,NOUN,compound:nn
體,NOUN,compound:nn
產,NOUN,compound:nn
業,NOUN,compound:nn
架,NOUN,nmod:prep
構,NOUN,nmod:prep
中,PART,case
係,VERB,conj
擔,VERB,ROOT
任,VERB,ROOT
晶,NOUN,compound:nn
圓,NOUN,compound:nn
材,NOUN,dep
料,PUNCT,punct
供,NOUN,compound:nn
應,NOUN,dobj
"
",SPACE,punct
者,NOUN,compound:nn
角,NOUN,dobj
色,NOUN,dobj
。,PUNCT,punct
隨,ADP,case
著,ADP,case
半,NOUN,compound:nn
導,NOUN,compound:nn
體,NOUN,compound:nn
產,NOUN,dep
業,NOUN,conj
與,CCONJ,cc
太,NOUN,compound:nn
陽,NOUN,compound:nn
能,NOUN,compound:nn
電,NOUN,compound:nn
池,NOUN,compound:nn
產,NOUN,compound:nn
業,NOUN,nmod:assmod
的,PART,case
蓬,ADJ,amod
勃,ADJ,amod
發,NOUN,dep
展,NOUN,nmod:prep
，,PUNCT,punct
對,ADP,case
矽,NOUN,compound:nn
晶,NOUN,compound:nn
圓,NOUN,compound:nn
材,NOUN,nmod:prep
"
",SPACE,dep
料,PUNCT,nmod
的,PART,case
需,NOUN,nsubj
求,NOUN,nsubj
急,ADV,advmod
速,ADV,advmod
增,VERB,ROOT
加,VERB,conj
，,PUNCT,punct
矽,NOUN,compound:nn
晶,NOUN,compound:nn
圓,NOUN,compound:nn
製,NOUN,dep
造,NOUN,dep
業,NOUN,nmod:assmod
的,PART,case
