Entity,Count,Ratio
技術,17,1.83%
測品,15,1.61%
表面,14,1.5%
晶片,10,1.07%
印字,9,0.97%
晶圓,9,0.97%
產品,8,0.86%
其,8,0.86%
此,7,0.75%
製程,7,0.75%
後,7,0.75%
客戶,7,0.75%
測試,7,0.75%
測試機台,6,0.64%
一,6,0.64%
方式,6,0.64%
部份,6,0.64%
便,5,0.54%
測試程式,5,0.54%
是,5,0.54%
過程,5,0.54%
成品,4,0.43%
了,4,0.43%
電子零件,4,0.43%
等,4,0.43%
圖,4,0.43%
之,4,0.43%
問題,4,0.43%
我們,3,0.32%
腳數,3,0.32%
晶圓針,3,0.32%
後的成品,3,0.32%
數個晶粒座,3,0.32%
目的,3,0.32%
電子,3,0.32%
插入型,3,0.32%
測試廠,3,0.32%
包裝型式,3,0.32%
電子級矽,3,0.32%
框架上,3,0.32%
二,3,0.32%
四,3,0.32%
樹脂,3,0.32%
小球,3,0.32%
過程中,3,0.32%
晶粒,3,0.32%
圓柱,3,0.32%
封裝,3,0.32%
在,3,0.32%
導線架,3,0.32%
其流程,2,0.21%
溫度,2,0.21%
成型,2,0.21%
多台分類機,2,0.21%
所,2,0.21%
使用,2,0.21%
導線,2,0.21%
三,2,0.21%
元件,2,0.21%
電路圖,2,0.21%
焊接,2,0.21%
電性訊號,2,0.21%
電晶體,2,0.21%
測品的電性特性,2,0.21%
導線架上,2,0.21%
成本,2,0.21%
電路板,2,0.21%
封裝型態,2,0.21%
封裝除,2,0.21%
設計,2,0.21%
邊,2,0.21%
工程師,2,0.21%
針測機,2,0.21%
定位,2,0.21%
五,2,0.21%
其中,2,0.21%
客戶的要求,2,0.21%
項目,2,0.21%
其他技術,2,0.21%
些,2,0.21%
完成,2,0.21%
彈匣內,2,0.21%
其內,2,0.21%
下,2,0.21%
人,2,0.21%
設備,2,0.21%
它,2,0.21%
主要,2,0.21%
雜質,2,0.21%
內,2,0.21%
入接腳數,2,0.21%
下面幾道作業,2,0.21%
以,2,0.21%
銀膠,2,0.21%
外觀,2,0.21%
分類機內,2,0.21%
膠體,2,0.21%
發展,2,0.21%
零件,2,0.21%
積體電路,2,0.21%
框架,2,0.21%
爐中,2,0.21%
 SO,2,0.21%
基板間電路,2,0.21%
六,2,0.21%
基板間的組裝,2,0.21%
IC晶粒電路的延伸腳,2,0.21%
時,2,0.21%
網路,2,0.21%
基板上,2,0.21%
晶種,2,0.21%
一盤,2,0.21%
坩堝內,2,0.21%
數量,2,0.21%
真空,2,0.21%
晶圓黏片,2,0.21%
另一種,2,0.21%
機械機構,2,0.21%
第二銲點,2,0.21%
檢測,2,0.21%
檢驗,2,0.21%
同時,2,0.21%
同一測試機台上,2,0.21%
塑膠封裝,2,0.21%
標準容器內,2,0.21%
材料,2,0.21%
 DIP,2,0.21%
度,2,0.21%
一方便,2,0.21%
功能,2,0.21%
膠帶,2,0.21%
離子純水,2,0.21%
高溫,2,0.21%
接合,2,0.21%
矽,2,0.21%
程序,2,0.21%
切,2,0.21%
包裝型態,2,0.21%
狀態,2,0.21%
插件的方式,2,0.21%
爾後,1,0.11%
研磨液,1,0.11%
溫度的度數,1,0.11%
研磨機內,1,0.11%
潛力的封裝方式,1,0.11%
熱量,1,0.11%
為,1,0.11%
無塵,1,0.11%
矽結晶時間,1,0.11%
矽石,1,0.11%
矽的純度,1,0.11%
矽晶圓上,1,0.11%
研磨墊磨擦,1,0.11%
矽層,1,0.11%
物理特性測試,1,0.11%
片狀的晶圓,1,0.11%
短期內,1,0.11%
產品的各種電性參數,1,0.11%
產品會,1,0.11%
溫耗時許多,1,0.11%
產品是否,1,0.11%
產品Mark 作檢測,1,0.11%
產品的評價依據最後並,1,0.11%
產品的電性功能,1,0.11%
產品的良品率,1,0.11%
產品設計製造,1,0.11%
產品電性測試結果的判斷,1,0.11%
產品需求量,1,0.11%
產業,1,0.11%
生管人員,1,0.11%
產業體系,1,0.11%
當中,1,0.11%
痕跡,1,0.11%
生命週期,1,0.11%
環境的溫度選擇,1,0.11%
的服務,1,0.11%
環境中,1,0.11%
瑕疵,1,0.11%
目,1,0.11%
目前,1,0.11%
物理特性量測,1,0.11%
目前商業,1,0.11%
目的為,1,0.11%
直徑,1,0.11%
矩陣式,1,0.11%
物質能量,1,0.11%
溫融,1,0.11%
測試機台的使用率,1,0.11%
溫,1,0.11%
比較,1,0.11%
步驟,1,0.11%
每,1,0.11%
每一層次,1,0.11%
每一接點,1,0.11%
每一條導線架上的每一顆晶粒,1,0.11%
每一道步驟,1,0.11%
每個測試頭,1,0.11%
每次的測試環境溫度要求,1,0.11%
每種,1,0.11%
每項工作,1,0.11%
比例,1,0.11%
清洗液,1,0.11%
氣密性,1,0.11%
氧化層,1,0.11%
氮氣,1,0.11%
水氣的腐蝕,1,0.11%
污染的可能性,1,0.11%
污漬,1,0.11%
決策,1,0.11%
海外者,1,0.11%
消費性電子 PDIP  SK-DIP   表面黏著型記憶體SOP  TSOP  SSOP    SO可程式,1,0.11%
清晰,1,0.11%
此種產品電性特性的測試機台,1,0.11%
此測試機台,1,0.11%
此檢測,1,0.11%
此一動作,1,0.11%
框架的支撐,1,0.11%
業者,1,0.11%
業更,1,0.11%
標準的圓柱,1,0.11%
模中,1,0.11%
模機,1,0.11%
樹脂硬殼,1,0.11%
機具,1,0.11%
機台測試的流程,1,0.11%
機台的測試次數並,1,0.11%
機器,1,0.11%
機器後,1,0.11%
機器檢腳檢驗,1,0.11%
機會,1,0.11%
機械,1,0.11%
機械強度,1,0.11%
機械方式,1,0.11%
檢腳,1,0.11%
檢驗的項目繁多,1,0.11%
檢驗流程,1,0.11%
此一,1,0.11%
清洗之後,1,0.11%
清理晶圓表面,1,0.11%
測試項目,1,0.11%
測試程式同時,1,0.11%
測試機台測試能力限制,1,0.11%
測試機台的機型規格,1,0.11%
測試機台的測試頭上,1,0.11%
測試機台的測試頭上的訊號,1,0.11%
測試溫度,1,0.11%
測試溫度的測試環境,1,0.11%
測試產品的電性功能,1,0.11%
測試產品的良率,1,0.11%
測試的服務外,1,0.11%
測試的機台,1,0.11%
測試程式測試同一批,1,0.11%
測品Burn In物理特性未,1,0.11%
測試程式的內容,1,0.11%
測試程式的語法,1,0.11%
測試程式來,1,0.11%
測試結果,1,0.11%
測試結果報告,1,0.11%
測試結果資料,1,0.11%
測試製程,1,0.11%
測試過程,1,0.11%
測試配件,1,0.11%
測試配件損壞,1,0.11%
測試機台測試,1,0.11%
測試機台故障,1,0.11%
測試機台外,1,0.11%
測試機台內的控制細節,1,0.11%
測品Hold住,1,0.11%
測品IC的接腳的對稱性、平整性及共面度,1,0.11%
測品一個高溫,1,0.11%
測品一顆顆,1,0.11%
測品上水氣,1,0.11%
測品其,1,0.11%
測品其產品的電性特性,1,0.11%
測品的分類,1,0.11%
測品的品質,1,0.11%
測品的外形,1,0.11%
測品的測試,1,0.11%
測品的現象產生,1,0.11%
測品的電性測試結果,1,0.11%
測品都,1,0.11%
測試區作電性量測,1,0.11%
測試完,1,0.11%
測試效果,1,0.11%
測試時,1,0.11%
測試機三種,1,0.11%
測試機台介面,1,0.11%
測試機台內,1,0.11%
硬化後,1,0.11%
       其,1,0.11%
硬度鋸片,1,0.11%
需求便,1,0.11%
靠度的產品,1,0.11%
頭尾兩端錐狀段,1,0.11%
顧客的要求,1,0.11%
顯微,1,0.11%
餾,1,0.11%
體積,1,0.11%
