Entity,EntityIndex,Relation,RelationIndex
"['圖', '一', '半導體產業體系架構']","[0, 3, 9]","['示為', '典型']","[2, 4]"
['晶圓'],[6],"['稱', '加工']","[4, 7]"
"['資金', '技術', '之處']","[0, 2, 6]",['密集'],[4]
"['晶圓', '上游產業', '產品設計製造']","[2, 6, 11]","['伴隨', '加工', '包括']","[0, 3, 8]"
"['其中', '半導體後段製程']","[0, 7]","['包括', '稱']","[1, 4]"
"['一', '產業體系']","[0, 5]","['結合', '緊密']","[1, 2]"
"['一', 'IC設計', '單晶矽']","[0, 3, 5]",['提煉成'],[4]
"['其', '過程', '矽石', '冶金']","[0, 2, 5, 7]","['製造', '一樣']","[1, 8]"
"['溫度', '一', '點']","[3, 7, 9]","['係', '降', '低', '設定']","[0, 4, 5, 8]"
"['晶種', '邊', '邊', '方式', '坩堝']","[1, 3, 5, 7, 10]","['拉', '旋轉', '抽', '離']","[4, 6, 8, 9]"
"['表面', '圓柱', '結晶棒']","[2, 5, 7]","['拉引成', '粗糙', '狀']","[1, 3, 6]"
"['部份', '冶煉']","[4, 8]","['切除', '磨削', '回收']","[0, 2, 6]"
"['硬度鋸片', '線鋸', '圓柱', '片狀的晶圓']","[5, 7, 9, 13]","['高', '切成']","[3, 10]"
"['部份', '痕跡']","[0, 2]",['切削'],[1]
"['晶圓', '鏡面樣']","[0, 3]","['像', '平滑']","[1, 4]"
"['晶圓', '研磨機內']","[3, 7]","['加工', '放置']","[0, 4]"
"['後的晶圓', '化學溶劑', '表面', '金屬碎屑', '雜質']","[2, 5, 7, 11, 14]","['需用', '清除', '殘留']","[3, 6, 8]"
"['五', '晶片', '嚴格', '', '下退火']","[1, 3, 5, 7, 10]","['', '條件']","[7, 8]"
"['晶片', '地拋光']","[0, 3]",[],[]
"['晶片', '晶片', '狀態']","[0, 4, 7]","['達到', '進行', '加工']","[1, 3, 5]"
"['表面', '度', '平坦度', '各項規格', '品質', '顧客的要求']","[1, 3, 5, 9, 12, 16]","['潔淨', '確保', '符合']","[2, 11, 13]"
"['晶片', '狀態']","[0, 6]","['維持', '無塵', '潔淨']","[1, 2, 4]"
"['容器', '晶片', '其中']","[0, 3, 6]","['確保', '固定']","[2, 4]"
"['部份', '光阻', '', '矽層']","[0, 3, 5, 7]","['保護', '除去']","[4, 9]"
"['整片晶圓', '磷原子']","[3, 6]","['進行', '植入']","[4, 7]"
"['金屬', '製程']","[2, 4]","['進行', '化']","[1, 3]"
"['便', '各個電晶體', '元件']","[0, 4, 6]",['連接'],[8]
