Entity,EntityIndex,Relation,RelationIndex
"['章半導體製造', '第二十三章半導體製造概論近幾年來']","[2, 12]",['概論'],[3]
"['電子科技', '網路', '技術的進步']","[1, 3, 8]",['相關'],[5]
['全球電子市場消費水準的提昇'],[6],[],[]
"['電腦', '多媒體', '工作站', '網路', '通信', '設備', '電子產品的需求']","[0, 2, 5, 7, 9, 11, 16]","['相關', '量激增']","[10, 17]"
"['整個世界半導體產業', '發展']","[5, 7]",['蓬勃'],[6]
['台灣'],[1],[],[]
"['業更', '國家經濟動脈的一個主力']","[0, 10]","['成為', '維繫']","[2, 3]"
"['上半導體', '一垂直分工', '附加價值的產業']","[0, 4, 11]","['製造為', '細密', '高']","[1, 5, 7]"
"['成長', '其他週邊產業的繁榮']","[2, 10]","['快速', '帶動']","[0, 5]"
"['圖', '一', '半導體產業體系架構']","[0, 3, 9]","['示為', '典型']","[2, 4]"
['這個體系中'],[3],[],[]
[],[],[],[]
['晶圓'],[6],"['稱', '加工']","[4, 7]"
"['資金', '技術', '之處']","[0, 2, 6]",['密集'],[4]
"['晶圓', '上游產業', '產品設計製造']","[2, 6, 11]","['伴隨', '加工', '包括']","[0, 3, 8]"
['產業'],[0],"['更為', '龐大']","[2, 3]"
"['其中', '半導體後段製程']","[0, 7]","['包括', '稱']","[1, 4]"
['週邊的導線架製造'],[4],[],[]
"['一', '產業體系']","[0, 5]","['結合', '緊密']","[1, 2]"
"['了今日', '經濟命脈之']","[2, 6]","['形成', '所繫']","[0, 7]"
"['一', 'IC設計', '單晶矽']","[0, 3, 5]",['提煉成'],[4]
"['其', '過程', '矽石', '冶金']","[0, 2, 5, 7]","['製造', '一樣']","[1, 8]"
"['爐中', '提煉']","[1, 3]",['熔解'],[2]
['冶金級矽'],[1],[],[]
"['冶金級矽中', '雜質']","[2, 5]",['含有'],[4]
[],[],[],[]
"['餾', '方法', '其']","[3, 7, 9]","['分', '還原', '純化']","[2, 5, 10]"
['電子級矽'],[1],[],[]
"['電子級矽', '矽的純度']","[1, 7]","['含', '高']","[3, 9]"
['99.999999999%'],[3],['達'],[0]
"['結晶方式', '雜亂']","[1, 4]",[],[]
['晶矽'],[2],"['稱為', '多']","[0, 1]"
['單晶結構'],[3],['排成'],[1]
"['電子級矽', '坩堝內', '溫融']","[3, 7, 9]","['置入', '加', '化']","[4, 8, 10]"
"['溫度', '一', '點']","[3, 7, 9]","['係', '降', '低', '設定']","[0, 4, 5, 8]"
['一塊單晶矽'],[4],['為'],[5]
['坩堝內'],[1],[],[]
"['矽', '晶種上']","[2, 6]","['融化', '沾附']","[0, 3]"
"['晶種', '邊', '邊', '方式', '坩堝']","[1, 3, 5, 7, 10]","['拉', '旋轉', '抽', '離']","[4, 6, 8, 9]"
"['晶種上的矽', '冷凝']","[5, 8]",['沾附'],[0]
"['晶種', '排列的結晶']","[1, 5]",['相同'],[2]
['晶種的旋轉'],[2],['上升'],[3]
['矽'],[1],['多'],[3]
"['表面', '圓柱', '結晶棒']","[2, 5, 7]","['拉引成', '粗糙', '狀']","[1, 3, 6]"
[],[],[],[]
['速度'],[3],"['旋轉', '慢']","[1, 5]"
['矽結晶時間'],[4],"['沾附', '久']","[0, 6]"
['直徑'],[1],['大'],[3]
[],[],['小'],[2]
"['長度達', '公尺']","[2, 4]",['一'],[3]
['一百公斤'],[2],['超過'],[0]
"['二從坩', '中', '晶柱']","[3, 5, 8]",[],[]
[],[],['平整'],[2]
['工業級鑽石磨具'],[4],"['經過', '加工']","[0, 5]"
['圓柱'],[2],['平滑'],[0]
['頭尾兩端錐狀段'],[2],['切除'],[0]
['標準的圓柱'],[2],[],[]
"['部份', '冶煉']","[4, 8]","['切除', '磨削', '回收']","[0, 2, 6]"
"['硬度鋸片', '線鋸', '圓柱', '片狀的晶圓']","[5, 7, 9, 13]","['高', '切成']","[3, 10]"
"['三將片狀晶圓的圓周邊緣', '磨具研磨成光滑的圓弧形']","[7, 13]",[],[]
"['未來製程中', '光阻層', '磊晶層的平坦度']","[5, 7, 11]","['增加', '鋪設']","[2, 6]"
"['四', '切削']","[1, 7]",['過'],[4]
['表面'],[0],['粗糙'],[1]
[],[],[],[]
"['切屑', '污漬']","[1, 3]",['沾附'],[0]
[],[],[],[]
['化學溶液'],[3],[],[]
"['部份', '痕跡']","[0, 2]",['切削'],[1]
"['離子純水', '吹乾後']","[3, 6]","['去', '沖洗']","[1, 4]"
['表面'],[0],"['研磨', '拋光']","[1, 2]"
"['晶圓', '鏡面樣']","[0, 3]","['像', '平滑']","[1, 4]"
['製程'],[2],['利'],[0]
"['機械', '化學加工方式同時']","[3, 8]","['拋光', '進行']","[0, 9]"
"['晶圓', '研磨機內']","[3, 7]","['加工', '放置']","[0, 4]"
"['工面', '研磨墊磨擦']","[2, 6]","['加', '壓貼']","[1, 3]"
"['腐蝕性的化學溶劑', '研磨液']","[5, 7]","['滴入', '具', '當']","[0, 1, 6]"
['腐蝕同時'],[3],"['磨削', '產生']","[0, 4]"
"['後的晶圓', '化學溶劑', '表面', '金屬碎屑', '雜質']","[2, 5, 7, 11, 14]","['需用', '清除', '殘留']","[3, 6, 8]"
"['離子純水', '吹乾']","[3, 5]","['去', '沖洗']","[1, 4]"
['電路製程'],[3],"['進入', '植入']","[0, 1]"
"['五', '晶片', '嚴格', '', '下退火']","[1, 3, 5, 7, 10]","['', '條件']","[7, 8]"
['晶片的阻質'],[3],"['使', '穩定']","[0, 4]"
"['晶片', '地拋光']","[0, 3]",[],[]
"['晶片表面', '平坦']","[1, 4]",['光滑'],[2]
['利將來'],[1],['加工'],[3]
"['七', '高度無', '程序']","[1, 7, 10]","['步驟', '污染', '洗淨']","[4, 8, 9]"
"['各種高度', '清洗液', '超音動處理']","[2, 6, 9]",['潔淨'],[3]
['晶片表面的所有污染物質'],[6],['去'],[0]
"['晶片', '晶片', '狀態']","[0, 4, 7]","['達到', '進行', '加工']","[1, 3, 5]"
"['無塵', '中進行嚴格']","[2, 7]","['', '檢查']","[7, 8]"
"['表面', '度', '平坦度', '各項規格', '品質', '顧客的要求']","[1, 3, 5, 9, 12, 16]","['潔淨', '確保', '符合']","[2, 11, 13]"
"['九', '晶片以', '容器包裝']","[1, 6, 11]","['檢驗', '', '設計']","[3, 4, 8]"
"['晶片', '狀態']","[0, 6]","['維持', '無塵', '潔淨']","[1, 2, 4]"
