Entity,EntityIndex,Relation,RelationIndex
"['章半導體製造概', '章半導體製造概\r\n \r\n近幾']","[3, 11]",[],[]
"['電子科技', '等', '']","[1, 3, 6]",[],[]
['全球電子市場消費水準的提昇'],[6],['提昇'],[6]
"['電腦', '工作站', '通信', '設備', '電子', '', '激增']","[0, 2, 4, 6, 8, 10, 12]",[],[]
"['世界半導體產業', '發展']","[4, 6]",[],[]
['台灣'],[1],['台灣'],[1]
"['業更', '國家經濟動脈的一個主力']","[0, 10]","['成為', '維繫']","[2, 3]"
"['半導體製造為一', '直分工細', '高', '價值的產業']","[3, 6, 8, 12]","['造為', '工細', '密且', '產業']","[2, 6, 7, 12]"
"['成長', '週邊產業的繁榮']","[2, 10]","['快速', '會', '帶動']","[0, 4, 5]"
"['一', '半導體產業體系架構']","[2, 9]","['示為', '典型', '架構']","[1, 3, 9]"
['體系'],[1],['體系'],[1]
[],[],[],[]
"['就是', '晶圓加工']","[1, 7]",['稱'],[4]
"['資', '技術', '處']","[0, 2, 7]",['密集'],[5]
"['著晶圓加工的上游產業則', '產品設計製造']","[7, 11]","['伴隨', '包括']","[0, 8]"
['產業'],[0],"['為龐', '大']","[2, 3]"
"['其中', '稱半導體後段製程']","[0, 7]","['包括', '稱半']","[1, 4]"
['週邊的導線架製造'],[5],[],[]
"['一', '產業體系']","[0, 5]","['結合', '緊密']","[1, 2]"
"['今日台灣經濟命脈', '繫']","[5, 7]",['形成'],[0]
"['一', '提煉']","[0, 2]","['提煉', '成單']","[2, 3]"
"['其製造過程', '將矽石', '一樣']","[2, 4, 8]","['是', '冶金', '一', '樣']","[3, 6, 7, 8]"
[],[],['提煉'],[2]
['級矽'],[1],['冶金'],[0]
"['金級矽', '雜質']","[2, 6]",['含有'],[5]
[],[],[],[]
"['', '方法', '其']","[3, 6, 8]","['分餾', '還原', '方法', '純化']","[2, 4, 6, 9]"
['級矽'],[1],[],[]
"['級矽', '矽的純度', '高']","[1, 7, 9]","['含', '高']","[3, 9]"
['99.999999999%'],[5],['達'],[0]
['結晶方式'],[1],['雜亂'],[5]
['晶矽'],[2],['稱為'],[0]
['單晶結構'],[3],"['重排', '成', '可']","[0, 1, 5]"
['級矽'],[3],"['置入', '溫融化']","[4, 6]"
['設定點'],[6],"['至', '一']","[3, 4]"
['一塊單晶矽'],[4],"['矽', '為']","[4, 5]"
[],[],[],[]
"['矽沾', '晶種']","[1, 3]","['矽沾', '附在', '晶種']","[1, 2, 3]"
"['晶種', '邊拉邊', '方式']","[1, 4, 6]","['旋轉', '方式', '抽離']","[5, 6, 7]"
"['晶種', '矽', '']","[2, 5, 8]","['沾附', '晶種', '冷凝']","[0, 2, 9]"
"['晶種', '結晶']","[1, 5]","['晶種', '排列']","[1, 3]"
['晶種的旋轉'],[2],['上升'],[3]
['矽愈'],[1],['多'],[2]
"['表面', '圓柱狀結晶棒']","[3, 8]","['拉引', '成', '粗糙']","[1, 2, 4]"
[],[],[],[]
"['', '速度']","[0, 3]","['旋轉', '愈慢']","[1, 4]"
['矽結晶時間'],[3],['愈久'],[4]
['直徑愈'],[1],['大'],[2]
[],[],['小'],[2]
"['右圖長', '一公尺']","[2, 5]","['\r\n \r\n', '度達']","[0, 3]"
['一百公斤'],[2],['超過'],[0]
"['二', '']","[1, 6]","['二', '中', '']","[1, 4, 6]"
[],[],['平整'],[1]
['鑽石磨具的加工'],[6],['加工'],[6]
['圓柱'],[2],['平滑'],[0]
['尾兩端錐狀段'],[3],['除頭'],[0]
['圓柱'],[2],[],[]
['部份'],[4],"['切除', '磨削', '回收', '冶煉']","[0, 2, 6, 8]"
