Relation,Count,Ratio
有,35,5.72%
是,32,5.23%
可,16,2.61%
測試,15,2.45%
提供,14,2.29%
" 
 
",13,2.12%
為,12,1.96%
進行,12,1.96%
要,12,1.96%
完成,12,1.96%
需要,10,1.63%
可以,10,1.63%
封裝,10,1.63%
不同,9,1.47%
在,8,1.31%
會,8,1.31%
能,8,1.31%
一,7,1.14%
晶圓,7,1.14%
包括,7,1.14%
使,7,1.14%
上,6,0.98%
稱,6,0.98%
"
 
",6,0.98%
避免,6,0.98%
技術,6,0.98%
到,6,0.98%
印字,5,0.82%
快速,5,0.82%
使用,5,0.82%
加以,5,0.82%
方式,5,0.82%
分為,5,0.82%
接受,4,0.65%
製造,4,0.65%
有所,4,0.65%
做,4,0.65%
用,4,0.65%
至,4,0.65%
檢驗,4,0.65%
等,4,0.65%
連接,4,0.65%
設計,4,0.65%
中,4,0.65%
成,4,0.65%
晶種,3,0.49%
所示,3,0.49%
研磨,3,0.49%
最,3,0.49%
稱為,3,0.49%
所需,3,0.49%
包裝,3,0.49%
加工,3,0.49%
樣,3,0.49%
產生,3,0.49%
功能,3,0.49%
固定,3,0.49%
具有,3,0.49%
烘烤,3,0.49%
放,3,0.49%
必須,3,0.49%
而,3,0.49%
達到,3,0.49%
上線,3,0.49%
過程,3,0.49%
送至,3,0.49%
重要,3,0.49%
高,3,0.49%
黏著,3,0.49%
達成,3,0.49%
點上,3,0.49%
去除,3,0.49%
去,3,0.49%
維持,3,0.49%
來作,3,0.49%
利用,3,0.49%
作,3,0.49%
大,2,0.33%
堅固,2,0.33%
增加,2,0.33%
壓銲,2,0.33%
外界,2,0.33%
接合,2,0.33%
外觀,2,0.33%
提昇,2,0.33%
基板,2,0.33%
好,2,0.33%
接,2,0.33%
後,2,0.33%
排列,2,0.33%
完,2,0.33%
指定,2,0.33%
定,2,0.33%
指,2,0.33%
定位,2,0.33%
拋光,2,0.33%
封膠,2,0.33%
小,2,0.33%
平滑,2,0.33%
成為,2,0.33%
延伸,2,0.33%
態,2,0.33%
待,2,0.33%
"
",2,0.33%
提煉,2,0.33%
結果,2,0.33%
縮,2,0.33%
義出,2,0.33%
考慮,2,0.33%
膠體,2,0.33%
要求,2,0.33%
訊號,2,0.33%
設,2,0.33%
設備,2,0.33%
試機台,2,0.33%
資料,2,0.33%
賴焊,2,0.33%
送到,2,0.33%
進,2,0.33%
適用,2,0.33%
適當,2,0.33%
長,2,0.33%
電性,2,0.33%
電路,2,0.33%
需,2,0.33%
項目,2,0.33%
都會,2,0.33%
經過,2,0.33%
結合,2,0.33%
放在,2,0.33%
粗糙,2,0.33%
旋轉,2,0.33%
框架,2,0.33%
植入,2,0.33%
機,2,0.33%
沖洗,2,0.33%
沾附,2,0.33%
減少,2,0.33%
測品,2,0.33%
為主,2,0.33%
環境,2,0.33%
生成,2,0.33%
產品,2,0.33%
用於,2,0.33%
發展,2,0.33%
發揮,2,0.33%
發生,2,0.33%
直接,2,0.33%
相同,2,0.33%
看到,2,0.33%
程式,2,0.33%
第一,2,0.33%
圖,2,0.33%
晶片,2,0.33%
冶金,2,0.33%
加溫,2,0.33%
可將,2,0.33%
叫做,2,0.33%
0,2,0.33%
其,2,0.33%
下,2,0.33%
五,2,0.33%
分離,2,0.33%
"
  
 
",2,0.33%
.,2,0.33%
吹乾,2,0.33%
二,2,0.33%
37%,2,0.33%
主要,2,0.33%
線鋸,1,0.16%
以,1,0.16%
低,1,0.16%
維繫,1,0.16%
腐蝕,1,0.16%
緊密,1,0.16%
介面,1,0.16%
線備,1,0.16%
背面,1,0.16%
耗時,1,0.16%
翻轉,1,0.16%
伴隨,1,0.16%
位置,1,0.16%
伸出,1,0.16%
美觀,1,0.16%
置入,1,0.16%
腳品,1,0.16%
線架,1,0.16%
缺少,1,0.16%
續性,1,0.16%
置,1,0.16%
臂,1,0.16%
腳數,1,0.16%
井然有序,1,0.16%
誤,1,0.16%
主導,1,0.16%
試,1,0.16%
註明,1,0.16%
設光,1,0.16%
也,1,0.16%
二氧化矽,1,0.16%
計,1,0.16%
視不,1,0.16%
視,1,0.16%
規格,1,0.16%
些,1,0.16%
膠帶,1,0.16%
製程,1,0.16%
裝置,1,0.16%
被,1,0.16%
表示,1,0.16%
薄,1,0.16%
著厚,1,0.16%
至導,1,0.16%
亦,1,0.16%
自動,1,0.16%
給予,1,0.16%
人工,1,0.16%
低廉,1,0.16%
單純,1,0.16%
住,1,0.16%
知識,1,0.16%
磨具,1,0.16%
確定,1,0.16%
碰撞,1,0.16%
硬殼,1,0.16%
硬化,1,0.16%
研磨墊,1,0.16%
保品,1,0.16%
矽沾,1,0.16%
矽晶,1,0.16%
矽,1,0.16%
短,1,0.16%
真,1,0.16%
磨擦,1,0.16%
看不,1,0.16%
看好,1,0.16%
保晶片,1,0.16%
看,1,0.16%
相連,1,0.16%
保證,1,0.16%
保護,1,0.16%
目前,1,0.16%
修復,1,0.16%
個,1,0.16%
值來,1,0.16%
磨削,1,0.16%
磷為,1,0.16%
作出,1,0.16%
符合,1,0.16%
結,1,0.16%
變異,1,0.16%
組裝,1,0.16%
細分,1,0.16%
純水,1,0.16%
純化,1,0.16%
系列型,1,0.16%
作業,1,0.16%
作為,1,0.16%
第二,1,0.16%
使得,1,0.16%
空區,1,0.16%
示乃,1,0.16%
穩定,1,0.16%
使用者,1,0.16%
稱半,1,0.16%
供,1,0.16%
種類,1,0.16%
種,1,0.16%
侷限,1,0.16%
程序,1,0.16%
移轉,1,0.16%
移至,1,0.16%
示為,1,0.16%
請見,1,0.16%
並預,1,0.16%
讓,1,0.16%
預熱,1,0.16%
拉引,1,0.16%
點膠,1,0.16%
-,1,0.16%
黏晶,1,0.16%
黃光定,1,0.16%
高溫,1,0.16%
體系,1,0.16%
驗待,1,0.16%
